confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200128,0,0,0,0,Germany,德国
4,3,0,0,4,3,20200129,0,0,0,0,Germany,德国
4,0,0,0,4,0,20200130,0,0,0,0,Germany,德国
5,1,0,0,5,1,20200131,0,0,0,0,Germany,德国
7,2,0,0,7,2,20200201,0,0,0,0,Germany,德国
8,1,0,0,8,1,20200202,0,0,0,0,Germany,德国
10,2,0,0,10,2,20200203,0,0,0,0,Germany,德国
12,2,0,0,12,2,20200204,0,0,0,0,Germany,德国
12,0,0,0,12,0,20200205,0,0,0,0,Germany,德国
12,0,0,0,12,0,20200206,0,0,0,0,Germany,德国
13,1,0,0,13,1,20200207,0,0,0,0,Germany,德国
14,1,0,0,14,1,20200208,0,0,0,0,Germany,德国
14,0,0,0,14,0,20200209,0,0,0,0,Germany,德国
14,0,0,0,14,0,20200210,0,0,0,0,Germany,德国
14,0,0,0,14,0,20200211,0,0,0,0,Germany,德国
16,2,0,0,16,2,20200212,0,0,0,0,Germany,德国
16,0,0,0,16,0,20200213,0,0,0,0,Germany,德国
16,0,0,0,16,0,20200214,0,0,0,0,Germany,德国
16,0,0,0,16,0,20200215,0,0,0,0,Germany,德国
16,0,0,0,16,0,20200216,0,0,0,0,Germany,德国
16,0,0,0,16,0,20200217,0,0,0,0,Germany,德国
16,0,0,0,16,0,20200218,0,0,0,0,Germany,德国
16,0,0,0,16,0,20200219,0,0,0,0,Germany,德国
16,0,0,0,16,0,20200220,0,0,0,0,Germany,德国
16,0,0,0,16,0,20200221,0,0,0,0,Germany,德国
16,0,0,0,16,0,20200222,0,0,0,0,Germany,德国
16,0,0,0,16,0,20200223,0,0,0,0,Germany,德国
16,0,0,0,16,0,20200224,0,0,0,0,Germany,德国
16,0,0,0,16,0,20200225,0,0,0,0,Germany,德国
18,2,0,0,18,2,20200226,0,0,0,0,Germany,德国
21,3,0,0,21,3,20200227,0,0,0,0,Germany,德国
26,5,0,0,26,5,20200228,0,0,0,0,Germany,德国
57,31,0,0,57,31,20200229,0,0,0,0,Germany,德国
57,0,0,0,57,0,20200301,0,0,0,0,Germany,德国
129,72,0,0,129,72,20200302,0,0,0,0,Germany,德国
157,28,0,0,157,28,20200303,0,0,0,0,Germany,德国
196,39,0,0,196,39,20200304,0,0,0,0,Germany,德国
262,66,0,0,262,66,20200305,0,0,0,0,Germany,德国
534,272,0,0,534,272,20200306,0,0,0,0,Germany,德国
639,105,0,0,639,105,20200307,0,0,0,0,Germany,德国
795,156,0,0,795,156,20200308,0,0,0,0,Germany,德国
1112,317,0,0,1112,317,20200309,0,0,0,0,Germany,德国
1139,27,0,0,1137,25,20200310,2,2,0,0,Germany,德国
1296,157,0,0,1294,157,20200311,2,0,0,0,Germany,德国
1567,271,0,0,1564,270,20200312,3,1,0,0,Germany,德国
2369,802,0,0,2363,799,20200313,6,3,0,0,Germany,德国
3062,693,0,0,3056,693,20200314,6,0,0,0,Germany,德国
3795,733,14,14,3773,717,20200315,8,2,0,0,Germany,德国
4838,1043,14,0,4812,1039,20200316,12,4,0,0,Germany,德国
6012,1174,135,121,5864,1052,20200317,13,1,0,0,Germany,德国
7156,1144,135,0,7008,1144,20200318,13,0,0,0,Germany,德国
15320,8164,135,0,15141,8133,20200319,44,31,0,0,Germany,德国
19848,4528,180,45,19600,4459,20200320,68,24,0,0,Germany,德国
22101,2253,209,29,21809,2209,20200321,83,15,0,0,Germany,德国
