confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200314,0,0,0,0,Ghana,加纳
2,1,0,0,2,1,20200315,0,0,0,0,Ghana,加纳
2,0,0,0,2,0,20200316,0,0,0,0,Ghana,加纳
6,4,0,0,6,4,20200317,0,0,0,0,Ghana,加纳
6,0,0,0,6,0,20200318,0,0,0,0,Ghana,加纳
11,5,0,0,11,5,20200319,0,0,0,0,Ghana,加纳
16,5,0,0,16,5,20200320,0,0,0,0,Ghana,加纳
21,5,0,0,20,4,20200321,1,1,0,0,Ghana,加纳
21,0,0,0,20,0,20200322,1,0,0,0,Ghana,加纳
27,6,0,0,25,5,20200323,2,1,0,0,Ghana,加纳
53,26,0,0,51,26,20200324,2,0,0,0,Ghana,加纳
68,15,0,0,65,14,20200325,3,1,0,0,Ghana,加纳
132,64,0,0,129,64,20200326,3,0,0,0,Ghana,加纳
137,5,2,2,131,2,20200327,4,1,0,0,Ghana,加纳
141,4,2,0,134,3,20200328,5,1,0,0,Ghana,加纳
152,11,2,0,145,11,20200329,5,0,0,0,Ghana,加纳
152,0,2,0,145,0,20200330,5,0,0,0,Ghana,加纳
161,9,3,1,153,8,20200331,5,0,0,0,Ghana,加纳
195,34,3,0,187,34,20200401,5,0,0,0,Ghana,加纳
204,9,3,0,196,9,20200402,5,0,0,0,Ghana,加纳
205,1,3,0,197,1,20200403,5,0,0,0,Ghana,加纳
205,0,3,0,197,0,20200404,5,0,0,0,Ghana,加纳
214,9,3,0,206,9,20200405,5,0,0,0,Ghana,加纳
214,0,3,0,206,0,20200406,5,0,0,0,Ghana,加纳
287,73,3,0,279,73,20200407,5,0,0,0,Ghana,加纳
313,26,49,46,258,-21,20200408,6,1,0,0,Ghana,加纳
313,0,49,0,258,0,20200409,6,0,0,0,Ghana,加纳
313,0,4,-45,303,45,20200410,6,0,0,0,Ghana,加纳
408,95,4,0,396,93,20200411,8,2,0,0,Ghana,加纳
566,158,4,0,554,158,20200412,8,0,0,0,Ghana,加纳
566,0,4,0,554,0,20200413,8,0,0,0,Ghana,加纳
636,70,17,13,611,57,20200414,8,0,0,0,Ghana,加纳
636,0,17,0,611,0,20200415,8,0,0,0,Ghana,加纳
641,5,83,66,550,-61,20200416,8,0,0,0,Ghana,加纳
641,0,83,0,550,0,20200417,8,0,0,0,Ghana,加纳
834,193,99,16,726,176,20200418,9,1,0,0,Ghana,加纳
1042,208,99,0,934,208,20200419,9,0,0,0,Ghana,加纳
1042,0,99,0,934,0,20200420,9,0,0,0,Ghana,加纳
1042,0,99,0,934,0,20200421,9,0,0,0,Ghana,加纳
1154,112,120,21,1025,91,20200422,9,0,0,0,Ghana,加纳
1154,0,120,0,1025,0,20200423,9,0,0,0,Ghana,加纳
1279,125,134,14,1135,110,20200424,10,1,0,0,Ghana,加纳
1279,0,134,0,1135,0,20200425,10,0,0,0,Ghana,加纳
1550,271,155,21,1384,249,20200426,11,1,0,0,Ghana,加纳
1550,0,155,0,1384,0,20200427,11,0,0,0,Ghana,加纳
1671,121,188,33,1467,83,20200428,16,5,0,0,Ghana,加纳
1671,0,188,0,1467,0,20200429,16,0,0,0,Ghana,加纳
2074,403,212,24,1845,378,20200430,17,1,0,0,Ghana,加纳
2074,0,212,0,1845,0,20200501,17,0,0,0,Ghana,加纳
2169,95,229,17,1922,77,20200502,18,1,0,0,Ghana,加纳
2169,0,229,0,1922,0,20200503,18,0,0,0,Ghana,加纳
2719,550,294,65,2407,485,20200504,18,0,0,0,Ghana,加纳
2719,0,294,0,2407,0,20200505,18,0,0,0,Ghana,加纳
2719,0,294,0,2407,0,20200506,18,0,0,0,Ghana,加纳
3091,372,303,9,2770,363,20200507,18,0,0,0,Ghana,加纳
4012,921,323,20,3671,901,20200508,18,0,0,0,Ghana,加纳
4263,251,378,55,3863,192,20200509,22,4,0,0,Ghana,加纳
4263,0,378,0,3863,0,20200510,22,0,0,0,Ghana,加纳
4700,437,494,116,4184,321,20200511,22,0,0,0,Ghana,加纳
5127,427,494,0,4611,427,20200512,22,0,0,0,Ghana,加纳
5408,281,514,20,4870,259,20200513,24,2,0,0,Ghana,加纳
5530,122,674,160,4832,-38,20200514,24,0,0,0,Ghana,加纳
5530,0,674,0,4832,0,20200515,24,0,0,0,Ghana,加纳
5638,108,1460,786,4150,-682,20200516,28,4,0,0,Ghana,加纳
5735,97,1754,294,3952,-198,20200517,29,1,0,0,Ghana,加纳
5735,0,1754,0,3952,0,20200518,29,0,0,0,Ghana,加纳
5918,183,1754,0,4133,181,20200519,31,2,0,0,Ghana,加纳
6096,178,1773,19,4292,159,20200520,31,0,0,0,Ghana,加纳
6269,173,1898,125,4340,48,20200521,31,0,0,0,Ghana,加纳
6486,217,1951,53,4504,164,20200522,31,0,0,0,Ghana,加纳
6617,131,1978,27,4608,104,20200523,31,0,0,0,Ghana,加纳
6683,66,1998,20,4653,45,20200524,32,1,0,0,Ghana,加纳
6808,125,2070,72,4706,53,20200525,32,0,0,0,Ghana,加纳
6964,156,2097,27,4835,129,20200526,32,0,0,0,Ghana,加纳
7117,153,2317,220,4766,-69,20200527,34,2,0,0,Ghana,加纳
7303,186,2412,95,4857,91,20200528,34,0,0,0,Ghana,加纳
7616,313,2421,9,5161,304,20200529,34,0,0,0,Ghana,加纳
7768,152,2540,119,5193,32,20200530,35,1,0,0,Ghana,加纳
7881,113,2841,301,5004,-189,20200531,36,1,0,0,Ghana,加纳
8070,189,2947,106,5087,83,20200601,36,0,0,0,Ghana,加纳
8297,227,2986,39,5273,186,20200602,38,2,0,0,Ghana,加纳
8548,251,3132,146,5378,105,20200603,38,0,0,0,Ghana,加纳
8885,337,3189,57,5658,280,20200604,38,0,0,0,Ghana,加纳
9168,283,3457,268,5669,11,20200605,42,4,0,0,Ghana,加纳
9462,294,3547,90,5871,202,20200606,44,2,0,0,Ghana,加纳
9638,176,3636,89,5958,87,20200607,44,0,0,0,Ghana,加纳
9910,272,3645,9,6217,259,20200608,48,4,0,0,Ghana,加纳
10201,291,3755,110,6398,181,20200609,48,0,0,0,Ghana,加纳
10201,0,3755,0,6398,0,20200610,48,0,0,0,Ghana,加纳
10358,157,3824,69,6486,88,20200611,48,0,0,0,Ghana,加纳
10856,498,3921,97,6887,401,20200612,48,0,0,0,Ghana,加纳
11118,262,3979,58,7091,204,20200613,48,0,0,0,Ghana,加纳
11422,304,4156,177,7215,124,20200614,51,3,0,0,Ghana,加纳
11964,542,4258,102,7652,437,20200615,54,3,0,0,Ghana,加纳
12193,229,4326,68,7809,157,20200616,58,4,0,0,Ghana,加纳
12590,397,4410,84,8114,305,20200617,66,8,0,0,Ghana,加纳
12929,339,4468,58,8395,281,20200618,66,0,0,0,Ghana,加纳
13203,274,4548,80,8585,190,20200619,70,4,0,0,Ghana,加纳
13717,514,10074,5526,3558,-5027,20200620,85,15,0,0,Ghana,加纳
14007,290,10473,399,3449,-109,20200621,85,0,0,0,Ghana,加纳
14154,147,10473,0,3596,147,20200622,85,0,0,0,Ghana,加纳
14568,414,10907,434,3566,-30,20200623,95,10,0,0,Ghana,加纳
15013,445,11078,171,3840,274,20200624,95,0,0,0,Ghana,加纳
15473,460,11431,353,3947,107,20200625,95,0,0,0,Ghana,加纳
15834,361,11755,324,3976,29,20200626,103,8,0,0,Ghana,加纳
16431,597,12257,502,4071,95,20200627,103,0,0,0,Ghana,加纳
16742,311,12720,463,3910,-161,20200628,112,9,0,0,Ghana,加纳
17351,609,12994,274,4245,335,20200629,112,0,0,0,Ghana,加纳
17741,390,13268,274,4361,116,20200630,112,0,0,0,Ghana,加纳
17741,0,13268,0,4361,0,20200701,112,0,0,0,Ghana,加纳
18630,889,14046,778,4467,106,20200702,117,5,0,0,Ghana,加纳
18630,0,14046,0,4467,0,20200703,117,0,0,0,Ghana,加纳
19388,758,14330,284,4941,474,20200704,117,0,0,0,Ghana,加纳
20085,697,14870,540,5093,152,20200705,122,5,0,0,Ghana,加纳
21077,992,16070,1200,4878,-215,20200706,129,7,0,0,Ghana,加纳
21968,891,17156,1086,4683,-195,20200707,129,0,0,0,Ghana,加纳
22822,854,17564,408,5129,446,20200708,129,0,0,0,Ghana,加纳
