confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200305,0,0,0,0,Gibraltar,直布罗陀
1,0,0,0,1,0,20200306,0,0,0,0,Gibraltar,直布罗陀
1,0,0,0,1,0,20200307,0,0,0,0,Gibraltar,直布罗陀
1,0,0,0,1,0,20200308,0,0,0,0,Gibraltar,直布罗陀
1,0,0,0,1,0,20200309,0,0,0,0,Gibraltar,直布罗陀
1,0,0,0,1,0,20200310,0,0,0,0,Gibraltar,直布罗陀
1,0,0,0,1,0,20200311,0,0,0,0,Gibraltar,直布罗陀
1,0,0,0,1,0,20200312,0,0,0,0,Gibraltar,直布罗陀
1,0,0,0,1,0,20200313,0,0,0,0,Gibraltar,直布罗陀
1,0,0,0,1,0,20200314,0,0,0,0,Gibraltar,直布罗陀
1,0,0,0,1,0,20200315,0,0,0,0,Gibraltar,直布罗陀
1,0,0,0,1,0,20200316,0,0,0,0,Gibraltar,直布罗陀
3,2,0,0,3,2,20200317,0,0,0,0,Gibraltar,直布罗陀
3,0,0,0,3,0,20200318,0,0,0,0,Gibraltar,直布罗陀
3,0,0,0,3,0,20200319,0,0,0,0,Gibraltar,直布罗陀
10,7,0,0,10,7,20200320,0,0,0,0,Gibraltar,直布罗陀
10,0,0,0,10,0,20200321,0,0,0,0,Gibraltar,直布罗陀
10,0,0,0,10,0,20200322,0,0,0,0,Gibraltar,直布罗陀
15,5,0,0,15,5,20200323,0,0,0,0,Gibraltar,直布罗陀
15,0,0,0,15,0,20200324,0,0,0,0,Gibraltar,直布罗陀
15,0,0,0,15,0,20200325,0,0,0,0,Gibraltar,直布罗陀
26,11,0,0,26,11,20200326,0,0,0,0,Gibraltar,直布罗陀
35,9,0,0,35,9,20200327,0,0,0,0,Gibraltar,直布罗陀
55,20,0,0,55,20,20200328,0,0,0,0,Gibraltar,直布罗陀
56,1,0,0,56,1,20200329,0,0,0,0,Gibraltar,直布罗陀
65,9,0,0,65,9,20200330,0,0,0,0,Gibraltar,直布罗陀
69,4,0,0,69,4,20200331,0,0,0,0,Gibraltar,直布罗陀
69,0,0,0,69,0,20200401,0,0,0,0,Gibraltar,直布罗陀
69,0,0,0,69,0,20200402,0,0,0,0,Gibraltar,直布罗陀
81,12,0,0,81,12,20200403,0,0,0,0,Gibraltar,直布罗陀
95,14,0,0,94,13,20200404,1,1,0,0,Gibraltar,直布罗陀
98,3,0,0,97,3,20200405,1,0,0,0,Gibraltar,直布罗陀
103,5,0,0,102,5,20200406,1,0,0,0,Gibraltar,直布罗陀
103,0,0,0,102,0,20200407,1,0,0,0,Gibraltar,直布罗陀
113,10,0,0,112,10,20200408,1,0,0,0,Gibraltar,直布罗陀
113,0,0,0,112,0,20200409,1,0,0,0,Gibraltar,直布罗陀
113,0,0,0,112,0,20200410,1,0,0,0,Gibraltar,直布罗陀
113,0,0,0,112,0,20200411,1,0,0,0,Gibraltar,直布罗陀
113,0,0,0,112,0,20200412,1,0,0,0,Gibraltar,直布罗陀
129,16,0,0,128,16,20200413,1,0,0,0,Gibraltar,直布罗陀
129,0,0,0,128,0,20200414,1,0,0,0,Gibraltar,直布罗陀
129,0,0,0,128,0,20200415,1,0,0,0,Gibraltar,直布罗陀
129,0,0,0,128,0,20200416,1,0,0,0,Gibraltar,直布罗陀
131,2,0,0,130,2,20200417,1,0,0,0,Gibraltar,直布罗陀
133,2,0,0,132,2,20200418,1,0,0,0,Gibraltar,直布罗陀
133,0,0,0,132,0,20200419,1,0,0,0,Gibraltar,直布罗陀
133,0,0,0,132,0,20200420,1,0,0,0,Gibraltar,直布罗陀
133,0,0,0,132,0,20200421,1,0,0,0,Gibraltar,直布罗陀
133,0,0,0,132,0,20200422,1,0,0,0,Gibraltar,直布罗陀
133,0,0,0,132,0,20200423,1,0,0,0,Gibraltar,直布罗陀
133,0,0,0,132,0,20200424,1,0,0,0,Gibraltar,直布罗陀
133,0,0,0,132,0,20200425,1,0,0,0,Gibraltar,直布罗陀
136,3,0,0,135,3,20200426,1,0,0,0,Gibraltar,直布罗陀
141,5,0,0,140,5,20200427,1,0,0,0,Gibraltar,直布罗陀
141,0,0,0,140,0,20200428,1,0,0,0,Gibraltar,直布罗陀
141,0,0,0,140,0,20200429,1,0,0,0,Gibraltar,直布罗陀
141,0,0,0,140,0,20200430,1,0,0,0,Gibraltar,直布罗陀
141,0,0,0,140,0,20200501,1,0,0,0,Gibraltar,直布罗陀
144,3,0,0,143,3,20200502,1,0,0,0,Gibraltar,直布罗陀
144,0,0,0,143,0,20200503,1,0,0,0,Gibraltar,直布罗陀
144,0,0,0,143,0,20200504,1,0,0,0,Gibraltar,直布罗陀
144,0,0,0,143,0,20200505,1,0,0,0,Gibraltar,直布罗陀
144,0,0,0,143,0,20200506,1,0,0,0,Gibraltar,直布罗陀
144,0,0,0,143,0,20200507,1,0,0,0,Gibraltar,直布罗陀
144,0,0,0,143,0,20200508,1,0,0,0,Gibraltar,直布罗陀
144,0,0,0,143,0,20200509,1,0,0,0,Gibraltar,直布罗陀
146,2,0,0,145,2,20200510,1,0,0,0,Gibraltar,直布罗陀
146,0,0,0,145,0,20200511,1,0,0,0,Gibraltar,直布罗陀
146,0,0,0,145,0,20200512,1,0,0,0,Gibraltar,直布罗陀
147,1,0,0,146,1,20200513,1,0,0,0,Gibraltar,直布罗陀
147,0,0,0,146,0,20200514,1,0,0,0,Gibraltar,直布罗陀
147,0,0,0,146,0,20200515,1,0,0,0,Gibraltar,直布罗陀
147,0,0,0,146,0,20200516,1,0,0,0,Gibraltar,直布罗陀
147,0,0,0,146,0,20200517,1,0,0,0,Gibraltar,直布罗陀
147,0,0,0,146,0,20200518,1,0,0,0,Gibraltar,直布罗陀
147,0,0,0,146,0,20200519,1,0,0,0,Gibraltar,直布罗陀
147,0,0,0,146,0,20200520,1,0,0,0,Gibraltar,直布罗陀
147,0,0,0,146,0,20200521,1,0,0,0,Gibraltar,直布罗陀
149,2,0,0,148,2,20200522,1,0,0,0,Gibraltar,直布罗陀
151,2,0,0,150,2,20200523,1,0,0,0,Gibraltar,直布罗陀
