confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200227,0,0,0,0,Greece,希腊
3,2,0,0,3,2,20200228,0,0,0,0,Greece,希腊
3,0,0,0,3,0,20200229,0,0,0,0,Greece,希腊
3,0,0,0,3,0,20200301,0,0,0,0,Greece,希腊
7,4,0,0,7,4,20200302,0,0,0,0,Greece,希腊
7,0,0,0,7,0,20200303,0,0,0,0,Greece,希腊
7,0,0,0,7,0,20200304,0,0,0,0,Greece,希腊
9,2,0,0,9,2,20200305,0,0,0,0,Greece,希腊
32,23,0,0,32,23,20200306,0,0,0,0,Greece,希腊
32,0,0,0,32,0,20200307,0,0,0,0,Greece,希腊
66,34,0,0,66,34,20200308,0,0,0,0,Greece,希腊
73,7,0,0,73,7,20200309,0,0,0,0,Greece,希腊
73,0,0,0,73,0,20200310,0,0,0,0,Greece,希腊
89,16,0,0,89,16,20200311,0,0,0,0,Greece,希腊
98,9,0,0,97,8,20200312,1,1,0,0,Greece,希腊
98,0,0,0,97,0,20200313,1,0,0,0,Greece,希腊
98,0,0,0,97,0,20200314,1,0,0,0,Greece,希腊
228,130,0,0,226,129,20200315,2,1,0,0,Greece,希腊
331,103,0,0,327,101,20200316,4,2,0,0,Greece,希腊
331,0,0,0,327,0,20200317,4,0,0,0,Greece,希腊
387,56,0,0,383,56,20200318,4,0,0,0,Greece,希腊
464,77,14,14,445,62,20200319,5,1,0,0,Greece,希腊
495,31,19,5,468,23,20200320,8,3,0,0,Greece,希腊
530,35,19,0,498,30,20200321,13,5,0,0,Greece,希腊
624,94,19,0,590,92,20200322,15,2,0,0,Greece,希腊
695,71,19,0,659,69,20200323,17,2,0,0,Greece,希腊
743,48,19,0,704,45,20200324,20,3,0,0,Greece,希腊
821,78,19,0,780,76,20200325,22,2,0,0,Greece,希腊
892,71,19,0,847,67,20200326,26,4,0,0,Greece,希腊
966,74,19,0,919,72,20200327,28,2,0,0,Greece,希腊
1061,95,19,0,1010,91,20200328,32,4,0,0,Greece,希腊
1156,95,19,0,1099,89,20200329,38,6,0,0,Greece,希腊
1212,56,19,0,1150,51,20200330,43,5,0,0,Greece,希腊
1314,102,19,0,1246,96,20200331,49,6,0,0,Greece,希腊
1415,101,19,0,1346,100,20200401,50,1,0,0,Greece,希腊
1584,169,19,0,1515,169,20200402,50,0,0,0,Greece,希腊
1613,29,19,0,1535,20,20200403,59,9,0,0,Greece,希腊
1673,60,19,0,1586,51,20200404,68,9,0,0,Greece,希腊
1735,62,19,0,1643,57,20200405,73,5,0,0,Greece,希腊
1755,20,19,0,1657,14,20200406,79,6,0,0,Greece,希腊
1832,77,19,0,1732,75,20200407,81,2,0,0,Greece,希腊
1884,52,19,0,1782,50,20200408,83,2,0,0,Greece,希腊
1955,71,19,0,1850,68,20200409,86,3,0,0,Greece,希腊
2011,56,19,0,1906,56,20200410,86,0,0,0,Greece,希腊
2081,70,19,0,1969,63,20200411,93,7,0,0,Greece,希腊
2114,33,19,0,1997,28,20200412,98,5,0,0,Greece,希腊
2145,31,19,0,2027,30,20200413,99,1,0,0,Greece,希腊
2170,25,19,0,2050,23,20200414,101,2,0,0,Greece,希腊
2192,22,19,0,2071,21,20200415,102,1,0,0,Greece,希腊
2207,15,19,0,2086,15,20200416,102,0,0,0,Greece,希腊
2224,17,19,0,2097,11,20200417,108,6,0,0,Greece,希腊
2235,11,19,0,2106,9,20200418,110,2,0,0,Greece,希腊
2235,0,19,0,2106,0,20200419,110,0,0,0,Greece,希腊
2245,10,19,0,2110,4,20200420,116,6,0,0,Greece,希腊
2401,156,19,0,2261,151,20200421,121,5,0,0,Greece,希腊
2401,0,19,0,2261,0,20200422,121,0,0,0,Greece,希腊
2463,62,19,0,2319,58,20200423,125,4,0,0,Greece,希腊
2490,27,19,0,2341,22,20200424,130,5,0,0,Greece,希腊
2506,16,19,0,2357,16,20200425,130,0,0,0,Greece,希腊
2517,11,19,0,2364,7,20200426,134,4,0,0,Greece,希腊
2517,0,19,0,2364,0,20200427,134,0,0,0,Greece,希腊
2534,17,577,558,1821,-543,20200428,136,2,0,0,Greece,希腊
2576,42,577,0,1860,39,20200429,139,3,0,0,Greece,希腊
2591,15,577,0,1874,14,20200430,140,1,0,0,Greece,希腊
2612,21,1374,797,1098,-776,20200501,140,0,0,0,Greece,希腊
2620,8,1374,0,1103,5,20200502,143,3,0,0,Greece,希腊
2626,6,1473,99,1009,-94,20200503,144,1,0,0,Greece,希腊
2626,0,1473,0,1009,0,20200504,144,0,0,0,Greece,希腊
2632,6,1473,0,1013,4,20200505,146,2,0,0,Greece,希腊
2663,31,1473,0,1043,30,20200506,147,1,0,0,Greece,希腊
2678,15,1473,0,1057,14,20200507,148,1,0,0,Greece,希腊
2678,0,1473,0,1057,0,20200508,148,0,0,0,Greece,希腊
2710,32,1473,0,1086,29,20200509,151,3,0,0,Greece,希腊
2710,0,1473,0,1086,0,20200510,151,0,0,0,Greece,希腊
2726,16,1473,0,1102,16,20200511,151,0,0,0,Greece,希腊
2744,18,1473,0,1119,17,20200512,152,1,0,0,Greece,希腊
2744,0,1473,0,1119,0,20200513,152,0,0,0,Greece,希腊
2770,26,1473,0,1141,22,20200514,156,4,0,0,Greece,希腊
2810,40,1473,0,1177,36,20200515,160,4,0,0,Greece,希腊
2819,9,1473,0,1184,7,20200516,162,2,0,0,Greece,希腊
2834,15,1473,0,1198,14,20200517,163,1,0,0,Greece,希腊
2834,0,1473,0,1198,0,20200518,163,0,0,0,Greece,希腊
2840,6,1473,0,1202,4,20200519,165,2,0,0,Greece,希腊
2850,10,1473,0,1211,9,20200520,166,1,0,0,Greece,希腊
2850,0,1473,0,1211,0,20200521,166,0,0,0,Greece,希腊
2853,3,1473,0,1212,1,20200522,168,2,0,0,Greece,希腊
2873,20,1473,0,1231,19,20200523,169,1,0,0,Greece,希腊
2878,5,1473,0,1234,3,20200524,171,2,0,0,Greece,希腊
2878,0,1473,0,1234,0,20200525,171,0,0,0,Greece,希腊
2882,4,1473,0,1237,3,20200526,172,1,0,0,Greece,希腊
2892,10,1473,0,1246,9,20200527,173,1,0,0,Greece,希腊
2903,11,1473,0,1257,11,20200528,173,0,0,0,Greece,希腊
2906,3,1473,0,1258,1,20200529,175,2,0,0,Greece,希腊
2909,3,1473,0,1261,3,20200530,175,0,0,0,Greece,希腊
2915,6,1473,0,1267,6,20200531,175,0,0,0,Greece,希腊
2917,2,1473,0,1269,2,20200601,175,0,0,0,Greece,希腊
2917,0,1473,0,1269,0,20200602,175,0,0,0,Greece,希腊
2918,1,1473,0,1266,-3,20200603,179,4,0,0,Greece,希腊
2937,19,1473,0,1285,19,20200604,179,0,0,0,Greece,希腊
2937,0,1473,0,1285,0,20200605,179,0,0,0,Greece,希腊
2937,0,1473,0,1285,0,20200606,179,0,0,0,Greece,希腊
2952,15,1473,0,1299,14,20200607,180,1,0,0,Greece,希腊
3049,97,1473,0,1394,95,20200608,182,2,0,0,Greece,希腊
3049,0,1473,0,1394,0,20200609,182,0,0,0,Greece,希腊
3068,19,1473,0,1412,18,20200610,183,1,0,0,Greece,希腊
3088,20,1473,0,1432,20,20200611,183,0,0,0,Greece,希腊
3088,0,1473,0,1432,0,20200612,183,0,0,0,Greece,希腊
3108,20,1473,0,1452,20,20200613,183,0,0,0,Greece,希腊
3112,4,1473,0,1456,4,20200614,183,0,0,0,Greece,希腊
3121,9,1473,0,1465,9,20200615,183,0,0,0,Greece,希腊
3134,13,1473,0,1477,12,20200616,184,1,0,0,Greece,希腊
