confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200323,0,0,0,0,Grenada,格林那达
1,0,0,0,1,0,20200324,0,0,0,0,Grenada,格林那达
1,0,0,0,1,0,20200325,0,0,0,0,Grenada,格林那达
1,0,0,0,1,0,20200326,0,0,0,0,Grenada,格林那达
7,6,0,0,7,6,20200327,0,0,0,0,Grenada,格林那达
7,0,0,0,7,0,20200328,0,0,0,0,Grenada,格林那达
7,0,0,0,7,0,20200329,0,0,0,0,Grenada,格林那达
7,0,0,0,7,0,20200330,0,0,0,0,Grenada,格林那达
9,2,0,0,9,2,20200331,0,0,0,0,Grenada,格林那达
9,0,0,0,9,0,20200401,0,0,0,0,Grenada,格林那达
9,0,0,0,9,0,20200402,0,0,0,0,Grenada,格林那达
10,1,0,0,10,1,20200403,0,0,0,0,Grenada,格林那达
10,0,0,0,10,0,20200404,0,0,0,0,Grenada,格林那达
12,2,0,0,12,2,20200405,0,0,0,0,Grenada,格林那达
12,0,0,0,12,0,20200406,0,0,0,0,Grenada,格林那达
12,0,0,0,12,0,20200407,0,0,0,0,Grenada,格林那达
12,0,0,0,12,0,20200408,0,0,0,0,Grenada,格林那达
12,0,0,0,12,0,20200409,0,0,0,0,Grenada,格林那达
12,0,0,0,12,0,20200410,0,0,0,0,Grenada,格林那达
14,2,0,0,14,2,20200411,0,0,0,0,Grenada,格林那达
14,0,0,0,14,0,20200412,0,0,0,0,Grenada,格林那达
14,0,0,0,14,0,20200413,0,0,0,0,Grenada,格林那达
14,0,0,0,14,0,20200414,0,0,0,0,Grenada,格林那达
14,0,0,0,14,0,20200415,0,0,0,0,Grenada,格林那达
14,0,0,0,14,0,20200416,0,0,0,0,Grenada,格林那达
14,0,0,0,14,0,20200417,0,0,0,0,Grenada,格林那达
14,0,0,0,14,0,20200418,0,0,0,0,Grenada,格林那达
14,0,0,0,14,0,20200419,0,0,0,0,Grenada,格林那达
14,0,0,0,14,0,20200420,0,0,0,0,Grenada,格林那达
14,0,0,0,14,0,20200421,0,0,0,0,Grenada,格林那达
14,0,0,0,14,0,20200422,0,0,0,0,Grenada,格林那达
14,0,0,0,14,0,20200423,0,0,0,0,Grenada,格林那达
15,1,0,0,15,1,20200424,0,0,0,0,Grenada,格林那达
15,0,0,0,15,0,20200425,0,0,0,0,Grenada,格林那达
15,0,0,0,15,0,20200426,0,0,0,0,Grenada,格林那达
18,3,0,0,18,3,20200427,0,0,0,0,Grenada,格林那达
18,0,0,0,18,0,20200428,0,0,0,0,Grenada,格林那达
