confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
6,6,0,0,6,6,20200316,0,0,0,0,Guadeloupe,瓜德罗普岛
18,12,0,0,18,12,20200317,0,0,0,0,Guadeloupe,瓜德罗普岛
18,0,0,0,18,0,20200318,0,0,0,0,Guadeloupe,瓜德罗普岛
18,0,0,0,18,0,20200319,0,0,0,0,Guadeloupe,瓜德罗普岛
45,27,0,0,45,27,20200320,0,0,0,0,Guadeloupe,瓜德罗普岛
51,6,0,0,51,6,20200321,0,0,0,0,Guadeloupe,瓜德罗普岛
51,0,0,0,51,0,20200322,0,0,0,0,Guadeloupe,瓜德罗普岛
56,5,0,0,56,5,20200323,0,0,0,0,Guadeloupe,瓜德罗普岛
62,6,0,0,62,6,20200324,0,0,0,0,Guadeloupe,瓜德罗普岛
73,11,0,0,73,11,20200325,0,0,0,0,Guadeloupe,瓜德罗普岛
76,3,0,0,76,3,20200326,0,0,0,0,Guadeloupe,瓜德罗普岛
76,0,0,0,76,0,20200327,0,0,0,0,Guadeloupe,瓜德罗普岛
96,20,0,0,94,18,20200328,2,2,0,0,Guadeloupe,瓜德罗普岛
96,0,0,0,94,0,20200329,2,0,0,0,Guadeloupe,瓜德罗普岛
96,0,0,0,94,0,20200330,2,0,0,0,Guadeloupe,瓜德罗普岛
106,10,0,0,102,8,20200331,4,2,0,0,Guadeloupe,瓜德罗普岛
114,8,0,0,109,7,20200401,5,1,0,0,Guadeloupe,瓜德罗普岛
125,11,0,0,119,10,20200402,6,1,0,0,Guadeloupe,瓜德罗普岛
128,3,0,0,122,3,20200403,6,0,0,0,Guadeloupe,瓜德罗普岛
130,2,0,0,123,1,20200404,7,1,0,0,Guadeloupe,瓜德罗普岛
130,0,0,0,123,0,20200405,7,0,0,0,Guadeloupe,瓜德罗普岛
134,4,0,0,127,4,20200406,7,0,0,0,Guadeloupe,瓜德罗普岛
135,1,0,0,128,1,20200407,7,0,0,0,Guadeloupe,瓜德罗普岛
139,4,0,0,132,4,20200408,7,0,0,0,Guadeloupe,瓜德罗普岛
139,0,0,0,131,-1,20200409,8,1,0,0,Guadeloupe,瓜德罗普岛
141,2,0,0,133,2,20200410,8,0,0,0,Guadeloupe,瓜德罗普岛
143,2,0,0,135,2,20200411,8,0,0,0,Guadeloupe,瓜德罗普岛
143,0,0,0,135,0,20200412,8,0,0,0,Guadeloupe,瓜德罗普岛
143,0,0,0,135,0,20200413,8,0,0,0,Guadeloupe,瓜德罗普岛
143,0,0,0,135,0,20200414,8,0,0,0,Guadeloupe,瓜德罗普岛
145,2,0,0,137,2,20200415,8,0,0,0,Guadeloupe,瓜德罗普岛
145,0,0,0,137,0,20200416,8,0,0,0,Guadeloupe,瓜德罗普岛
145,0,0,0,137,0,20200417,8,0,0,0,Guadeloupe,瓜德罗普岛
145,0,0,0,137,0,20200418,8,0,0,0,Guadeloupe,瓜德罗普岛
145,0,0,0,134,-3,20200419,11,3,0,0,Guadeloupe,瓜德罗普岛
148,3,0,0,137,3,20200420,11,0,0,0,Guadeloupe,瓜德罗普岛
148,0,0,0,137,0,20200421,11,0,0,0,Guadeloupe,瓜德罗普岛
148,0,0,0,136,-1,20200422,12,1,0,0,Guadeloupe,瓜德罗普岛
148,0,0,0,136,0,20200423,12,0,0,0,Guadeloupe,瓜德罗普岛
148,0,0,0,136,0,20200424,12,0,0,0,Guadeloupe,瓜德罗普岛
149,1,0,0,137,1,20200425,12,0,0,0,Guadeloupe,瓜德罗普岛
149,0,0,0,137,0,20200426,12,0,0,0,Guadeloupe,瓜德罗普岛
