confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
3,3,0,0,3,3,20200317,0,0,0,0,Guam,关岛
3,0,0,0,3,0,20200318,0,0,0,0,Guam,关岛
3,0,0,0,3,0,20200319,0,0,0,0,Guam,关岛
12,9,0,0,12,9,20200320,0,0,0,0,Guam,关岛
14,2,0,0,14,2,20200321,0,0,0,0,Guam,关岛
15,1,0,0,14,0,20200322,1,1,0,0,Guam,关岛
27,12,0,0,26,12,20200323,1,0,0,0,Guam,关岛
29,2,0,0,28,2,20200324,1,0,0,0,Guam,关岛
32,3,0,0,31,3,20200325,1,0,0,0,Guam,关岛
37,5,0,0,36,5,20200326,1,0,0,0,Guam,关岛
45,8,0,0,44,8,20200327,1,0,0,0,Guam,关岛
51,6,0,0,50,6,20200328,1,0,0,0,Guam,关岛
56,5,0,0,55,5,20200329,1,0,0,0,Guam,关岛
56,0,0,0,55,0,20200330,1,0,0,0,Guam,关岛
58,2,0,0,57,2,20200331,1,0,0,0,Guam,关岛
69,11,0,0,67,10,20200401,2,1,0,0,Guam,关岛
77,8,0,0,74,7,20200402,3,1,0,0,Guam,关岛
82,5,0,0,79,5,20200403,3,0,0,0,Guam,关岛
84,2,0,0,81,2,20200404,3,0,0,0,Guam,关岛
93,9,0,0,89,8,20200405,4,1,0,0,Guam,关岛
112,19,0,0,108,19,20200406,4,0,0,0,Guam,关岛
113,1,0,0,109,1,20200407,4,0,0,0,Guam,关岛
121,8,0,0,117,8,20200408,4,0,0,0,Guam,关岛
125,4,0,0,121,4,20200409,4,0,0,0,Guam,关岛
128,3,0,0,124,3,20200410,4,0,0,0,Guam,关岛
130,2,0,0,126,2,20200411,4,0,0,0,Guam,关岛
133,3,0,0,128,2,20200412,5,1,0,0,Guam,关岛
133,0,0,0,128,0,20200413,5,0,0,0,Guam,关岛
134,1,0,0,129,1,20200414,5,0,0,0,Guam,关岛
135,1,0,0,130,1,20200415,5,0,0,0,Guam,关岛
135,0,0,0,130,0,20200416,5,0,0,0,Guam,关岛
135,0,0,0,130,0,20200417,5,0,0,0,Guam,关岛
135,0,0,0,130,0,20200418,5,0,0,0,Guam,关岛
136,1,0,0,131,1,20200419,5,0,0,0,Guam,关岛
136,0,0,0,131,0,20200420,5,0,0,0,Guam,关岛
136,0,0,0,131,0,20200421,5,0,0,0,Guam,关岛
136,0,0,0,131,0,20200422,5,0,0,0,Guam,关岛
136,0,0,0,131,0,20200423,5,0,0,0,Guam,关岛
136,0,0,0,131,0,20200424,5,0,0,0,Guam,关岛
136,0,0,0,131,0,20200425,5,0,0,0,Guam,关岛
137,1,0,0,132,1,20200426,5,0,0,0,Guam,关岛
137,0,0,0,132,0,20200427,5,0,0,0,Guam,关岛
138,1,0,0,133,1,20200428,5,0,0,0,Guam,关岛
140,2,0,0,135,2,20200429,5,0,0,0,Guam,关岛
141,1,0,0,136,1,20200430,5,0,0,0,Guam,关岛
142,1,0,0,137,1,20200501,5,0,0,0,Guam,关岛
142,0,0,0,137,0,20200502,5,0,0,0,Guam,关岛
144,2,0,0,139,2,20200503,5,0,0,0,Guam,关岛
146,2,0,0,141,2,20200504,5,0,0,0,Guam,关岛
146,0,0,0,141,0,20200505,5,0,0,0,Guam,关岛
146,0,0,0,141,0,20200506,5,0,0,0,Guam,关岛
147,1,0,0,142,1,20200507,5,0,0,0,Guam,关岛
147,0,0,0,142,0,20200508,5,0,0,0,Guam,关岛
147,0,0,0,142,0,20200509,5,0,0,0,Guam,关岛
147,0,0,0,142,0,20200510,5,0,0,0,Guam,关岛
147,0,0,0,142,0,20200511,5,0,0,0,Guam,关岛
147,0,0,0,142,0,20200512,5,0,0,0,Guam,关岛
148,1,0,0,143,1,20200513,5,0,0,0,Guam,关岛
148,0,0,0,143,0,20200514,5,0,0,0,Guam,关岛
149,1,0,0,144,1,20200515,5,0,0,0,Guam,关岛
149,0,0,0,144,0,20200516,5,0,0,0,Guam,关岛
149,0,0,0,144,0,20200517,5,0,0,0,Guam,关岛
149,0,0,0,144,0,20200518,5,0,0,0,Guam,关岛
149,0,0,0,144,0,20200519,5,0,0,0,Guam,关岛
149,0,0,0,144,0,20200520,5,0,0,0,Guam,关岛
160,11,0,0,155,11,20200521,5,0,0,0,Guam,关岛
160,0,0,0,155,0,20200522,5,0,0,0,Guam,关岛
160,0,0,0,155,0,20200523,5,0,0,0,Guam,关岛
161,1,0,0,156,1,20200524,5,0,0,0,Guam,关岛
161,0,0,0,156,0,20200525,5,0,0,0,Guam,关岛
161,0,0,0,156,0,20200526,5,0,0,0,Guam,关岛
163,2,0,0,158,2,20200527,5,0,0,0,Guam,关岛
164,1,0,0,159,1,20200528,5,0,0,0,Guam,关岛
165,1,0,0,160,1,20200529,5,0,0,0,Guam,关岛
165,0,0,0,160,0,20200530,5,0,0,0,Guam,关岛
166,1,0,0,161,1,20200531,5,0,0,0,Guam,关岛
166,0,0,0,161,0,20200601,5,0,0,0,Guam,关岛
167,1,0,0,162,1,20200602,5,0,0,0,Guam,关岛
169,2,0,0,164,2,20200603,5,0,0,0,Guam,关岛
170,1,0,0,165,1,20200604,5,0,0,0,Guam,关岛
171,1,0,0,166,1,20200605,5,0,0,0,Guam,关岛
171,0,0,0,166,0,20200606,5,0,0,0,Guam,关岛
171,0,0,0,166,0,20200607,5,0,0,0,Guam,关岛
171,0,0,0,166,0,20200608,5,0,0,0,Guam,关岛
171,0,0,0,166,0,20200609,5,0,0,0,Guam,关岛
172,1,0,0,167,1,20200610,5,0,0,0,Guam,关岛
174,2,0,0,169,2,20200611,5,0,0,0,Guam,关岛
174,0,0,0,169,0,20200612,5,0,0,0,Guam,关岛
176,2,0,0,171,2,20200613,5,0,0,0,Guam,关岛
177,1,0,0,172,1,20200614,5,0,0,0,Guam,关岛
177,0,0,0,172,0,20200615,5,0,0,0,Guam,关岛
178,1,0,0,173,1,20200616,5,0,0,0,Guam,关岛
178,0,0,0,173,0,20200617,5,0,0,0,Guam,关岛
180,2,0,0,175,2,20200618,5,0,0,0,Guam,关岛
185,5,0,0,180,5,20200619,5,0,0,0,Guam,关岛
192,7,0,0,187,7,20200620,5,0,0,0,Guam,关岛
214,22,0,0,209,22,20200621,5,0,0,0,Guam,关岛
214,0,0,0,209,0,20200622,5,0,0,0,Guam,关岛
216,2,0,0,211,2,20200623,5,0,0,0,Guam,关岛
217,1,0,0,212,1,20200624,5,0,0,0,Guam,关岛
223,6,0,0,218,6,20200625,5,0,0,0,Guam,关岛
237,14,0,0,232,14,20200626,5,0,0,0,Guam,关岛
240,3,0,0,235,3,20200627,5,0,0,0,Guam,关岛
240,0,0,0,235,0,20200628,5,0,0,0,Guam,关岛
240,0,0,0,235,0,20200629,5,0,0,0,Guam,关岛
247,7,0,0,242,7,20200630,5,0,0,0,Guam,关岛
251,4,0,0,246,4,20200701,5,0,0,0,Guam,关岛
272,21,0,0,267,21,20200702,5,0,0,0,Guam,关岛
272,0,0,0,267,0,20200703,5,0,0,0,Guam,关岛
278,6,0,0,273,6,20200704,5,0,0,0,Guam,关岛
280,2,0,0,275,2,20200705,5,0,0,0,Guam,关岛
280,0,0,0,275,0,20200706,5,0,0,0,Guam,关岛
293,13,0,0,288,13,20200707,5,0,0,0,Guam,关岛
295,2,0,0,290,2,20200708,5,0,0,0,Guam,关岛
