confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,0,0,20200316,1,1,0,0,Guatemala,危地马拉
1,0,0,0,0,0,20200317,1,0,0,0,Guatemala,危地马拉
6,5,0,0,5,5,20200318,1,0,0,0,Guatemala,危地马拉
6,0,0,0,5,0,20200319,1,0,0,0,Guatemala,危地马拉
9,3,0,0,8,3,20200320,1,0,0,0,Guatemala,危地马拉
12,3,0,0,11,3,20200321,1,0,0,0,Guatemala,危地马拉
17,5,0,0,16,5,20200322,1,0,0,0,Guatemala,危地马拉
18,1,0,0,17,1,20200323,1,0,0,0,Guatemala,危地马拉
20,2,0,0,19,2,20200324,1,0,0,0,Guatemala,危地马拉
21,1,0,0,20,1,20200325,1,0,0,0,Guatemala,危地马拉
24,3,0,0,23,3,20200326,1,0,0,0,Guatemala,危地马拉
24,0,0,0,23,0,20200327,1,0,0,0,Guatemala,危地马拉
25,1,0,0,24,1,20200328,1,0,0,0,Guatemala,危地马拉
32,7,0,0,31,7,20200329,1,0,0,0,Guatemala,危地马拉
34,2,0,0,33,2,20200330,1,0,0,0,Guatemala,危地马拉
36,2,0,0,35,2,20200331,1,0,0,0,Guatemala,危地马拉
36,0,0,0,35,0,20200401,1,0,0,0,Guatemala,危地马拉
39,3,0,0,38,3,20200402,1,0,0,0,Guatemala,危地马拉
47,8,0,0,46,8,20200403,1,0,0,0,Guatemala,危地马拉
50,3,0,0,49,3,20200404,1,0,0,0,Guatemala,危地马拉
50,0,0,0,49,0,20200405,1,0,0,0,Guatemala,危地马拉
61,11,0,0,59,10,20200406,2,1,0,0,Guatemala,危地马拉
70,9,0,0,67,8,20200407,3,1,0,0,Guatemala,危地马拉
77,7,0,0,74,7,20200408,3,0,0,0,Guatemala,危地马拉
87,10,0,0,84,10,20200409,3,0,0,0,Guatemala,危地马拉
95,8,0,0,92,8,20200410,3,0,0,0,Guatemala,危地马拉
126,31,0,0,123,31,20200411,3,0,0,0,Guatemala,危地马拉
137,11,0,0,134,11,20200412,3,0,0,0,Guatemala,危地马拉
153,16,0,0,150,16,20200413,3,0,0,0,Guatemala,危地马拉
156,3,0,0,151,1,20200414,5,2,0,0,Guatemala,危地马拉
167,11,0,0,162,11,20200415,5,0,0,0,Guatemala,危地马拉
180,13,0,0,175,13,20200416,5,0,0,0,Guatemala,危地马拉
196,16,0,0,191,16,20200417,5,0,0,0,Guatemala,危地马拉
214,18,0,0,207,16,20200418,7,2,0,0,Guatemala,危地马拉
235,21,0,0,228,21,20200419,7,0,0,0,Guatemala,危地马拉
257,22,0,0,250,22,20200420,7,0,0,0,Guatemala,危地马拉
289,32,0,0,282,32,20200421,7,0,0,0,Guatemala,危地马拉
294,5,0,0,285,3,20200422,9,2,0,0,Guatemala,危地马拉
316,22,0,0,307,22,20200423,9,0,0,0,Guatemala,危地马拉
342,26,0,0,332,25,20200424,10,1,0,0,Guatemala,危地马拉
384,42,0,0,373,41,20200425,11,1,0,0,Guatemala,危地马拉
430,46,0,0,417,44,20200426,13,2,0,0,Guatemala,危地马拉
