confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200316,0,0,0,0,Guernsey,根西岛
1,0,0,0,1,0,20200317,0,0,0,0,Guernsey,根西岛
1,0,0,0,1,0,20200318,0,0,0,0,Guernsey,根西岛
1,0,0,0,1,0,20200319,0,0,0,0,Guernsey,根西岛
1,0,0,0,1,0,20200320,0,0,0,0,Guernsey,根西岛
17,16,0,0,17,16,20200321,0,0,0,0,Guernsey,根西岛
17,0,0,0,17,0,20200322,0,0,0,0,Guernsey,根西岛
17,0,0,0,17,0,20200323,0,0,0,0,Guernsey,根西岛
20,3,0,0,20,3,20200324,0,0,0,0,Guernsey,根西岛
23,3,0,0,23,3,20200325,0,0,0,0,Guernsey,根西岛
30,7,0,0,30,7,20200326,0,0,0,0,Guernsey,根西岛
34,4,0,0,34,4,20200327,0,0,0,0,Guernsey,根西岛
36,2,0,0,36,2,20200328,0,0,0,0,Guernsey,根西岛
39,3,0,0,39,3,20200329,0,0,0,0,Guernsey,根西岛
39,0,0,0,39,0,20200330,0,0,0,0,Guernsey,根西岛
45,6,0,0,45,6,20200331,0,0,0,0,Guernsey,根西岛
60,15,0,0,59,14,20200401,1,1,0,0,Guernsey,根西岛
78,18,0,0,77,18,20200402,1,0,0,0,Guernsey,根西岛
91,13,0,0,90,13,20200403,1,0,0,0,Guernsey,根西岛
114,23,0,0,112,22,20200404,2,1,0,0,Guernsey,根西岛
136,22,0,0,134,22,20200405,2,0,0,0,Guernsey,根西岛
154,18,0,0,151,17,20200406,3,1,0,0,Guernsey,根西岛
154,0,0,0,151,0,20200407,3,0,0,0,Guernsey,根西岛
166,12,0,0,162,11,20200408,4,1,0,0,Guernsey,根西岛
166,0,0,0,162,0,20200409,4,0,0,0,Guernsey,根西岛
181,15,0,0,176,14,20200410,5,1,0,0,Guernsey,根西岛
191,10,0,0,186,10,20200411,5,0,0,0,Guernsey,根西岛
200,9,0,0,194,8,20200412,6,1,0,0,Guernsey,根西岛
209,9,0,0,203,9,20200413,6,0,0,0,Guernsey,根西岛
218,9,0,0,212,9,20200414,6,0,0,0,Guernsey,根西岛
219,1,0,0,213,1,20200415,6,0,0,0,Guernsey,根西岛
223,4,0,0,216,3,20200416,7,1,0,0,Guernsey,根西岛
228,5,0,0,220,4,20200417,8,1,0,0,Guernsey,根西岛
234,6,0,0,225,5,20200418,9,1,0,0,Guernsey,根西岛
236,2,0,0,227,2,20200419,9,0,0,0,Guernsey,根西岛
239,3,0,0,230,3,20200420,9,0,0,0,Guernsey,根西岛
239,0,0,0,230,0,20200421,9,0,0,0,Guernsey,根西岛
239,0,0,0,229,-1,20200422,10,1,0,0,Guernsey,根西岛
241,2,0,0,231,2,20200423,10,0,0,0,Guernsey,根西岛
243,2,0,0,233,2,20200424,10,0,0,0,Guernsey,根西岛
245,2,0,0,235,2,20200425,10,0,0,0,Guernsey,根西岛
245,0,0,0,234,-1,20200426,11,1,0,0,Guernsey,根西岛
245,0,0,0,233,-1,20200427,12,1,0,0,Guernsey,根西岛
247,2,0,0,234,1,20200428,13,1,0,0,Guernsey,根西岛
247,0,0,0,234,0,20200429,13,0,0,0,Guernsey,根西岛
247,0,0,0,234,0,20200430,13,0,0,0,Guernsey,根西岛
251,4,0,0,238,4,20200501,13,0,0,0,Guernsey,根西岛
251,0,0,0,238,0,20200502,13,0,0,0,Guernsey,根西岛
252,1,0,0,239,1,20200503,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200504,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200505,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200506,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200507,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200508,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200509,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200510,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200511,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200512,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200513,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200514,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200515,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200516,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200517,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200518,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200519,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200520,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200521,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200522,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200523,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200524,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200525,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200526,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200527,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200528,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200529,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200530,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200531,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200601,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200602,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200603,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200604,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200605,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200606,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200607,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200608,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200609,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200610,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200611,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200612,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200613,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200614,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200615,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200616,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200617,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200618,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200619,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200620,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200621,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200622,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200623,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200624,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200625,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200626,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200627,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200628,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200629,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200630,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200701,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200702,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200703,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200704,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200705,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200706,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200707,13,0,0,0,Guernsey,根西岛
252,0,0,0,239,0,20200708,13,0,0,0,Guernsey,根西岛
