confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200325,0,0,0,0,Guinea-Bissau,几内亚比绍
2,0,0,0,2,0,20200326,0,0,0,0,Guinea-Bissau,几内亚比绍
2,0,0,0,2,0,20200327,0,0,0,0,Guinea-Bissau,几内亚比绍
2,0,0,0,2,0,20200328,0,0,0,0,Guinea-Bissau,几内亚比绍
2,0,0,0,2,0,20200329,0,0,0,0,Guinea-Bissau,几内亚比绍
2,0,0,0,2,0,20200330,0,0,0,0,Guinea-Bissau,几内亚比绍
2,0,0,0,2,0,20200331,0,0,0,0,Guinea-Bissau,几内亚比绍
9,7,0,0,9,7,20200401,0,0,0,0,Guinea-Bissau,几内亚比绍
9,0,0,0,9,0,20200402,0,0,0,0,Guinea-Bissau,几内亚比绍
15,6,0,0,15,6,20200403,0,0,0,0,Guinea-Bissau,几内亚比绍
15,0,0,0,15,0,20200404,0,0,0,0,Guinea-Bissau,几内亚比绍
18,3,0,0,18,3,20200405,0,0,0,0,Guinea-Bissau,几内亚比绍
33,15,0,0,33,15,20200406,0,0,0,0,Guinea-Bissau,几内亚比绍
33,0,0,0,33,0,20200407,0,0,0,0,Guinea-Bissau,几内亚比绍
33,0,0,0,33,0,20200408,0,0,0,0,Guinea-Bissau,几内亚比绍
36,3,0,0,36,3,20200409,0,0,0,0,Guinea-Bissau,几内亚比绍
38,2,0,0,38,2,20200410,0,0,0,0,Guinea-Bissau,几内亚比绍
39,1,0,0,39,1,20200411,0,0,0,0,Guinea-Bissau,几内亚比绍
39,0,0,0,39,0,20200412,0,0,0,0,Guinea-Bissau,几内亚比绍
40,1,3,3,37,-2,20200413,0,0,0,0,Guinea-Bissau,几内亚比绍
40,0,3,0,37,0,20200414,0,0,0,0,Guinea-Bissau,几内亚比绍
46,6,3,0,43,6,20200415,0,0,0,0,Guinea-Bissau,几内亚比绍
46,0,3,0,43,0,20200416,0,0,0,0,Guinea-Bissau,几内亚比绍
50,4,3,0,47,4,20200417,0,0,0,0,Guinea-Bissau,几内亚比绍
50,0,3,0,47,0,20200418,0,0,0,0,Guinea-Bissau,几内亚比绍
50,0,3,0,47,0,20200419,0,0,0,0,Guinea-Bissau,几内亚比绍
50,0,3,0,47,0,20200420,0,0,0,0,Guinea-Bissau,几内亚比绍
50,0,3,0,47,0,20200421,0,0,0,0,Guinea-Bissau,几内亚比绍
52,2,3,0,49,2,20200422,0,0,0,0,Guinea-Bissau,几内亚比绍
52,0,3,0,49,0,20200423,0,0,0,0,Guinea-Bissau,几内亚比绍
52,0,3,0,49,0,20200424,0,0,0,0,Guinea-Bissau,几内亚比绍
52,0,3,0,49,0,20200425,0,0,0,0,Guinea-Bissau,几内亚比绍
52,0,3,0,49,0,20200426,0,0,0,0,Guinea-Bissau,几内亚比绍
53,1,3,0,49,0,20200427,1,1,0,0,Guinea-Bissau,几内亚比绍
73,20,3,0,69,20,20200428,1,0,0,0,Guinea-Bissau,几内亚比绍
73,0,3,0,69,0,20200429,1,0,0,0,Guinea-Bissau,几内亚比绍
197,124,9,6,187,118,20200430,1,0,0,0,Guinea-Bissau,几内亚比绍
257,60,19,10,237,50,20200501,1,0,0,0,Guinea-Bissau,几内亚比绍
257,0,19,0,237,0,20200502,1,0,0,0,Guinea-Bissau,几内亚比绍
260,3,19,0,240,3,20200503,1,0,0,0,Guinea-Bissau,几内亚比绍
292,32,19,0,271,31,20200504,2,1,0,0,Guinea-Bissau,几内亚比绍
292,0,19,0,271,0,20200505,2,0,0,0,Guinea-Bissau,几内亚比绍
292,0,19,0,271,0,20200506,2,0,0,0,Guinea-Bissau,几内亚比绍
508,216,19,0,487,216,20200507,2,0,0,0,Guinea-Bissau,几内亚比绍
508,0,19,0,487,0,20200508,2,0,0,0,Guinea-Bissau,几内亚比绍
641,133,25,6,613,126,20200509,3,1,0,0,Guinea-Bissau,几内亚比绍
726,85,26,1,697,84,20200510,3,0,0,0,Guinea-Bissau,几内亚比绍
726,0,26,0,697,0,20200511,3,0,0,0,Guinea-Bissau,几内亚比绍
820,94,26,0,791,94,20200512,3,0,0,0,Guinea-Bissau,几内亚比绍
820,0,26,0,791,0,20200513,3,0,0,0,Guinea-Bissau,几内亚比绍
913,93,26,0,884,93,20200514,3,0,0,0,Guinea-Bissau,几内亚比绍
913,0,26,0,884,0,20200515,3,0,0,0,Guinea-Bissau,几内亚比绍
969,56,26,0,939,55,20200516,4,1,0,0,Guinea-Bissau,几内亚比绍
969,0,26,0,939,0,20200517,4,0,0,0,Guinea-Bissau,几内亚比绍
990,21,26,0,960,21,20200518,4,0,0,0,Guinea-Bissau,几内亚比绍
1038,48,26,0,1006,46,20200519,6,2,0,0,Guinea-Bissau,几内亚比绍
1089,51,42,16,1041,35,20200520,6,0,0,0,Guinea-Bissau,几内亚比绍
1109,20,42,0,1061,20,20200521,6,0,0,0,Guinea-Bissau,几内亚比绍
1109,0,42,0,1061,0,20200522,6,0,0,0,Guinea-Bissau,几内亚比绍
1114,5,42,0,1066,5,20200523,6,0,0,0,Guinea-Bissau,几内亚比绍
1114,0,42,0,1066,0,20200524,6,0,0,0,Guinea-Bissau,几内亚比绍
1173,59,42,0,1125,59,20200525,6,0,0,0,Guinea-Bissau,几内亚比绍
1178,5,42,0,1129,4,20200526,7,1,0,0,Guinea-Bissau,几内亚比绍
1195,17,42,0,1146,17,20200527,7,0,0,0,Guinea-Bissau,几内亚比绍
1195,0,42,0,1146,0,20200528,7,0,0,0,Guinea-Bissau,几内亚比绍
1195,0,42,0,1145,-1,20200529,8,1,0,0,Guinea-Bissau,几内亚比绍
1256,61,42,0,1206,61,20200530,8,0,0,0,Guinea-Bissau,几内亚比绍
1256,0,42,0,1206,0,20200531,8,0,0,0,Guinea-Bissau,几内亚比绍
1322,66,42,0,1272,66,20200601,8,0,0,0,Guinea-Bissau,几内亚比绍
1339,17,42,0,1289,17,20200602,8,0,0,0,Guinea-Bissau,几内亚比绍
1339,0,42,0,1289,0,20200603,8,0,0,0,Guinea-Bissau,几内亚比绍
1346,7,42,0,1295,6,20200604,9,1,0,0,Guinea-Bissau,几内亚比绍
1368,22,153,111,1203,-92,20200605,12,3,0,0,Guinea-Bissau,几内亚比绍
1368,0,153,0,1203,0,20200606,12,0,0,0,Guinea-Bissau,几内亚比绍
1368,0,153,0,1203,0,20200607,12,0,0,0,Guinea-Bissau,几内亚比绍
1389,21,153,0,1224,21,20200608,12,0,0,0,Guinea-Bissau,几内亚比绍
1389,0,153,0,1224,0,20200609,12,0,0,0,Guinea-Bissau,几内亚比绍
1389,0,153,0,1224,0,20200610,12,0,0,0,Guinea-Bissau,几内亚比绍
1389,0,153,0,1224,0,20200611,12,0,0,0,Guinea-Bissau,几内亚比绍
1460,71,153,0,1292,68,20200612,15,3,0,0,Guinea-Bissau,几内亚比绍
1460,0,153,0,1292,0,20200613,15,0,0,0,Guinea-Bissau,几内亚比绍
1460,0,153,0,1292,0,20200614,15,0,0,0,Guinea-Bissau,几内亚比绍
1492,32,153,0,1324,32,20200615,15,0,0,0,Guinea-Bissau,几内亚比绍
1492,0,153,0,1324,0,20200616,15,0,0,0,Guinea-Bissau,几内亚比绍
1492,0,153,0,1324,0,20200617,15,0,0,0,Guinea-Bissau,几内亚比绍
1492,0,153,0,1324,0,20200618,15,0,0,0,Guinea-Bissau,几内亚比绍
1512,20,153,0,1343,19,20200619,16,1,0,0,Guinea-Bissau,几内亚比绍
1512,0,153,0,1343,0,20200620,16,0,0,0,Guinea-Bissau,几内亚比绍
