confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200314,0,0,0,0,Guinea,几内亚
1,0,0,0,1,0,20200315,0,0,0,0,Guinea,几内亚
1,0,0,0,1,0,20200316,0,0,0,0,Guinea,几内亚
1,0,0,0,1,0,20200317,0,0,0,0,Guinea,几内亚
1,0,0,0,1,0,20200318,0,0,0,0,Guinea,几内亚
1,0,0,0,1,0,20200319,0,0,0,0,Guinea,几内亚
2,1,0,0,2,1,20200320,0,0,0,0,Guinea,几内亚
2,0,0,0,2,0,20200321,0,0,0,0,Guinea,几内亚
2,0,0,0,2,0,20200322,0,0,0,0,Guinea,几内亚
2,0,0,0,2,0,20200323,0,0,0,0,Guinea,几内亚
4,2,0,0,4,2,20200324,0,0,0,0,Guinea,几内亚
4,0,0,0,4,0,20200325,0,0,0,0,Guinea,几内亚
12,8,0,0,12,8,20200326,0,0,0,0,Guinea,几内亚
12,0,0,0,12,0,20200327,0,0,0,0,Guinea,几内亚
12,0,0,0,12,0,20200328,0,0,0,0,Guinea,几内亚
16,4,1,1,15,3,20200329,0,0,0,0,Guinea,几内亚
22,6,1,0,21,6,20200330,0,0,0,0,Guinea,几内亚
22,0,1,0,21,0,20200331,0,0,0,0,Guinea,几内亚
30,8,1,0,29,8,20200401,0,0,0,0,Guinea,几内亚
52,22,1,0,51,22,20200402,0,0,0,0,Guinea,几内亚
73,21,2,1,71,20,20200403,0,0,0,0,Guinea,几内亚
111,38,5,3,106,35,20200404,0,0,0,0,Guinea,几内亚
121,10,5,0,116,10,20200405,0,0,0,0,Guinea,几内亚
128,7,5,0,123,7,20200406,0,0,0,0,Guinea,几内亚
144,16,5,0,139,16,20200407,0,0,0,0,Guinea,几内亚
164,20,5,0,159,20,20200408,0,0,0,0,Guinea,几内亚
194,30,11,6,183,24,20200409,0,0,0,0,Guinea,几内亚
212,18,15,4,197,14,20200410,0,0,0,0,Guinea,几内亚
250,38,17,2,233,36,20200411,0,0,0,0,Guinea,几内亚
250,0,17,0,233,0,20200412,0,0,0,0,Guinea,几内亚
319,69,17,0,302,69,20200413,0,0,0,0,Guinea,几内亚
363,44,31,14,332,30,20200414,0,0,0,0,Guinea,几内亚
404,41,41,10,362,30,20200415,1,1,0,0,Guinea,几内亚
