confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,0,0,20200313,1,1,0,0,Guyana,圭亚那
6,5,0,0,5,5,20200314,1,0,0,0,Guyana,圭亚那
1,-5,0,0,0,-5,20200315,1,0,0,0,Guyana,圭亚那
4,3,0,0,3,3,20200316,1,0,0,0,Guyana,圭亚那
4,0,0,0,3,0,20200317,1,0,0,0,Guyana,圭亚那
4,0,0,0,3,0,20200318,1,0,0,0,Guyana,圭亚那
5,1,0,0,4,1,20200319,1,0,0,0,Guyana,圭亚那
5,0,0,0,4,0,20200320,1,0,0,0,Guyana,圭亚那
5,0,0,0,4,0,20200321,1,0,0,0,Guyana,圭亚那
5,0,0,0,4,0,20200322,1,0,0,0,Guyana,圭亚那
5,0,0,0,4,0,20200323,1,0,0,0,Guyana,圭亚那
5,0,0,0,4,0,20200324,1,0,0,0,Guyana,圭亚那
5,0,0,0,4,0,20200325,1,0,0,0,Guyana,圭亚那
5,0,0,0,4,0,20200326,1,0,0,0,Guyana,圭亚那
5,0,0,0,4,0,20200327,1,0,0,0,Guyana,圭亚那
5,0,0,0,4,0,20200328,1,0,0,0,Guyana,圭亚那
5,0,0,0,4,0,20200329,1,0,0,0,Guyana,圭亚那
5,0,0,0,4,0,20200330,1,0,0,0,Guyana,圭亚那
8,3,0,0,7,3,20200331,1,0,0,0,Guyana,圭亚那
12,4,0,0,10,3,20200401,2,1,0,0,Guyana,圭亚那
19,7,0,0,17,7,20200402,2,0,0,0,Guyana,圭亚那
19,0,0,0,15,-2,20200403,4,2,0,0,Guyana,圭亚那
23,4,0,0,19,4,20200404,4,0,0,0,Guyana,圭亚那
23,0,0,0,19,0,20200405,4,0,0,0,Guyana,圭亚那
29,6,0,0,25,6,20200406,4,0,0,0,Guyana,圭亚那
31,2,0,0,26,1,20200407,5,1,0,0,Guyana,圭亚那
33,2,0,0,28,2,20200408,5,0,0,0,Guyana,圭亚那
37,4,0,0,31,3,20200409,6,1,0,0,Guyana,圭亚那
40,3,0,0,34,3,20200410,6,0,0,0,Guyana,圭亚那
45,5,8,8,31,-3,20200411,6,0,0,0,Guyana,圭亚那
45,0,8,0,31,0,20200412,6,0,0,0,Guyana,圭亚那
45,0,8,0,31,0,20200413,6,0,0,0,Guyana,圭亚那
47,2,8,0,33,2,20200414,6,0,0,0,Guyana,圭亚那
48,1,8,0,34,1,20200415,6,0,0,0,Guyana,圭亚那
57,9,8,0,43,9,20200416,6,0,0,0,Guyana,圭亚那
63,6,8,0,49,6,20200417,6,0,0,0,Guyana,圭亚那
63,0,8,0,49,0,20200418,6,0,0,0,Guyana,圭亚那
65,2,9,1,49,0,20200419,7,1,0,0,Guyana,圭亚那
65,0,9,0,49,0,20200420,7,0,0,0,Guyana,圭亚那
