confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200312,0,0,0,0,Honduras,洪都拉斯
2,0,0,0,2,0,20200313,0,0,0,0,Honduras,洪都拉斯
2,0,0,0,2,0,20200314,0,0,0,0,Honduras,洪都拉斯
2,0,0,0,2,0,20200315,0,0,0,0,Honduras,洪都拉斯
2,0,0,0,2,0,20200316,0,0,0,0,Honduras,洪都拉斯
8,6,0,0,8,6,20200317,0,0,0,0,Honduras,洪都拉斯
8,0,0,0,8,0,20200318,0,0,0,0,Honduras,洪都拉斯
9,1,0,0,9,1,20200319,0,0,0,0,Honduras,洪都拉斯
24,15,0,0,24,15,20200320,0,0,0,0,Honduras,洪都拉斯
24,0,0,0,24,0,20200321,0,0,0,0,Honduras,洪都拉斯
24,0,0,0,24,0,20200322,0,0,0,0,Honduras,洪都拉斯
26,2,0,0,26,2,20200323,0,0,0,0,Honduras,洪都拉斯
30,4,0,0,30,4,20200324,0,0,0,0,Honduras,洪都拉斯
52,22,0,0,52,22,20200325,0,0,0,0,Honduras,洪都拉斯
68,16,0,0,67,15,20200326,1,1,0,0,Honduras,洪都拉斯
68,0,0,0,67,0,20200327,1,0,0,0,Honduras,洪都拉斯
68,0,0,0,67,0,20200328,1,0,0,0,Honduras,洪都拉斯
68,0,0,0,67,0,20200329,1,0,0,0,Honduras,洪都拉斯
139,71,0,0,136,69,20200330,3,2,0,0,Honduras,洪都拉斯
139,0,0,0,136,0,20200331,3,0,0,0,Honduras,洪都拉斯
139,0,0,0,136,0,20200401,3,0,0,0,Honduras,洪都拉斯
172,33,0,0,162,26,20200402,10,7,0,0,Honduras,洪都拉斯
219,47,0,0,205,43,20200403,14,4,0,0,Honduras,洪都拉斯
222,3,0,0,207,2,20200404,15,1,0,0,Honduras,洪都拉斯
264,42,0,0,249,42,20200405,15,0,0,0,Honduras,洪都拉斯
268,4,0,0,246,-3,20200406,22,7,0,0,Honduras,洪都拉斯
298,30,0,0,276,30,20200407,22,0,0,0,Honduras,洪都拉斯
305,7,0,0,283,7,20200408,22,0,0,0,Honduras,洪都拉斯
343,38,0,0,320,37,20200409,23,1,0,0,Honduras,洪都拉斯
343,0,0,0,320,0,20200410,23,0,0,0,Honduras,洪都拉斯
382,39,0,0,359,39,20200411,23,0,0,0,Honduras,洪都拉斯
392,10,0,0,368,9,20200412,24,1,0,0,Honduras,洪都拉斯
393,1,0,0,368,0,20200413,25,1,0,0,Honduras,洪都拉斯
397,4,0,0,372,4,20200414,25,0,0,0,Honduras,洪都拉斯
407,10,0,0,381,9,20200415,26,1,0,0,Honduras,洪都拉斯
419,12,0,0,388,7,20200416,31,5,0,0,Honduras,洪都拉斯
426,7,0,0,391,3,20200417,35,4,0,0,Honduras,洪都拉斯
442,16,0,0,401,10,20200418,41,6,0,0,Honduras,洪都拉斯
457,15,0,0,411,10,20200419,46,5,0,0,Honduras,洪都拉斯
472,15,0,0,426,15,20200420,46,0,0,0,Honduras,洪都拉斯
477,5,0,0,431,5,20200421,46,0,0,0,Honduras,洪都拉斯
494,17,0,0,448,17,20200422,46,0,0,0,Honduras,洪都拉斯
510,16,0,0,464,16,20200423,46,0,0,0,Honduras,洪都拉斯
519,9,0,0,472,8,20200424,47,1,0,0,Honduras,洪都拉斯
562,43,0,0,515,43,20200425,47,0,0,0,Honduras,洪都拉斯
591,29,0,0,536,21,20200426,55,8,0,0,Honduras,洪都拉斯
627,36,0,0,568,32,20200427,59,4,0,0,Honduras,洪都拉斯
661,34,0,0,600,32,20200428,61,2,0,0,Honduras,洪都拉斯
702,41,0,0,638,38,20200429,64,3,0,0,Honduras,洪都拉斯
738,36,0,0,672,34,20200430,66,2,0,0,Honduras,洪都拉斯
771,33,0,0,700,28,20200501,71,5,0,0,Honduras,洪都拉斯
804,33,0,0,729,29,20200502,75,4,0,0,Honduras,洪都拉斯
899,95,0,0,824,95,20200503,75,0,0,0,Honduras,洪都拉斯
1010,111,0,0,934,110,20200504,76,1,0,0,Honduras,洪都拉斯
1055,45,0,0,973,39,20200505,82,6,0,0,Honduras,洪都拉斯
1178,123,0,0,1089,116,20200506,89,7,0,0,Honduras,洪都拉斯
1270,92,0,0,1177,88,20200507,93,4,0,0,Honduras,洪都拉斯
1461,191,0,0,1362,185,20200508,99,6,0,0,Honduras,洪都拉斯
1685,224,0,0,1580,218,20200509,105,6,0,0,Honduras,洪都拉斯
1771,86,0,0,1664,84,20200510,107,2,0,0,Honduras,洪都拉斯
1830,59,0,0,1722,58,20200511,108,1,0,0,Honduras,洪都拉斯
1972,142,0,0,1864,142,20200512,108,0,0,0,Honduras,洪都拉斯
2100,128,0,0,1984,120,20200513,116,8,0,0,Honduras,洪都拉斯
2100,0,0,0,1979,-5,20200514,121,5,0,0,Honduras,洪都拉斯
2255,155,0,0,2132,153,20200515,123,2,0,0,Honduras,洪都拉斯
2318,63,0,0,2185,53,20200516,133,10,0,0,Honduras,洪都拉斯
2460,142,0,0,2326,141,20200517,134,1,0,0,Honduras,洪都拉斯
2565,105,0,0,2427,101,20200518,138,4,0,0,Honduras,洪都拉斯
2646,81,0,0,2504,77,20200519,142,4,0,0,Honduras,洪都拉斯
2798,152,0,0,2652,148,20200520,146,4,0,0,Honduras,洪都拉斯
2955,157,0,0,2808,156,20200521,147,1,0,0,Honduras,洪都拉斯
3100,145,0,0,2949,141,20200522,151,4,0,0,Honduras,洪都拉斯
3204,104,0,0,3048,99,20200523,156,5,0,0,Honduras,洪都拉斯
3477,273,0,0,3310,262,20200524,167,11,0,0,Honduras,洪都拉斯
3743,266,0,0,3569,259,20200525,174,7,0,0,Honduras,洪都拉斯
3950,207,0,0,3770,201,20200526,180,6,0,0,Honduras,洪都拉斯
4189,239,0,0,4007,237,20200527,182,2,0,0,Honduras,洪都拉斯
4401,212,0,0,4213,206,20200528,188,6,0,0,Honduras,洪都拉斯
4640,239,0,0,4446,233,20200529,194,6,0,0,Honduras,洪都拉斯
4752,112,0,0,4556,110,20200530,196,2,0,0,Honduras,洪都拉斯
4886,134,0,0,4687,131,20200531,199,3,0,0,Honduras,洪都拉斯
5094,208,0,0,4893,206,20200601,201,2,0,0,Honduras,洪都拉斯
5202,108,0,0,4990,97,20200602,212,11,0,0,Honduras,洪都拉斯
5362,160,0,0,5145,155,20200603,217,5,0,0,Honduras,洪都拉斯
5527,165,0,0,5302,157,20200604,225,8,0,0,Honduras,洪都拉斯
5690,163,0,0,5456,154,20200605,234,9,0,0,Honduras,洪都拉斯
5880,190,0,0,5637,181,20200606,243,9,0,0,Honduras,洪都拉斯
5971,91,0,0,5723,86,20200607,248,5,0,0,Honduras,洪都拉斯
6155,184,0,0,5905,182,20200608,250,2,0,0,Honduras,洪都拉斯
6327,172,0,0,6069,164,20200609,258,8,0,0,Honduras,洪都拉斯
6450,123,0,0,6188,119,20200610,262,4,0,0,Honduras,洪都拉斯
6935,485,0,0,6664,476,20200611,271,9,0,0,Honduras,洪都拉斯
7360,425,0,0,7070,406,20200612,290,19,0,0,Honduras,洪都拉斯
7669,309,0,0,7375,305,20200613,294,4,0,0,Honduras,洪都拉斯
8132,463,0,0,7826,451,20200614,306,12,0,0,Honduras,洪都拉斯
8455,323,0,0,8145,319,20200615,310,4,0,0,Honduras,洪都拉斯
