confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200305,0,0,0,0,Hungary,匈牙利
2,0,0,0,2,0,20200306,0,0,0,0,Hungary,匈牙利
5,3,0,0,5,3,20200307,0,0,0,0,Hungary,匈牙利
7,2,0,0,7,2,20200308,0,0,0,0,Hungary,匈牙利
9,2,0,0,9,2,20200309,0,0,0,0,Hungary,匈牙利
9,0,0,0,9,0,20200310,0,0,0,0,Hungary,匈牙利
13,4,0,0,13,4,20200311,0,0,0,0,Hungary,匈牙利
13,0,0,0,13,0,20200312,0,0,0,0,Hungary,匈牙利
16,3,0,0,16,3,20200313,0,0,0,0,Hungary,匈牙利
19,3,0,0,19,3,20200314,0,0,0,0,Hungary,匈牙利
32,13,1,1,31,12,20200315,0,0,0,0,Hungary,匈牙利
39,7,1,0,37,6,20200316,1,1,0,0,Hungary,匈牙利
50,11,1,0,48,11,20200317,1,0,0,0,Hungary,匈牙利
50,0,2,1,47,-1,20200318,1,0,0,0,Hungary,匈牙利
73,23,2,0,70,23,20200319,1,0,0,0,Hungary,匈牙利
85,12,2,0,82,12,20200320,1,0,0,0,Hungary,匈牙利
103,18,7,5,92,10,20200321,4,3,0,0,Hungary,匈牙利
131,28,7,0,120,28,20200322,4,0,0,0,Hungary,匈牙利
167,36,7,0,153,33,20200323,7,3,0,0,Hungary,匈牙利
187,20,21,14,158,5,20200324,8,1,0,0,Hungary,匈牙利
226,39,21,0,195,37,20200325,10,2,0,0,Hungary,匈牙利
261,35,28,7,223,28,20200326,10,0,0,0,Hungary,匈牙利
300,39,34,6,256,33,20200327,10,0,0,0,Hungary,匈牙利
343,43,34,0,298,42,20200328,11,1,0,0,Hungary,匈牙利
408,65,34,0,361,63,20200329,13,2,0,0,Hungary,匈牙利
447,39,34,0,398,37,20200330,15,2,0,0,Hungary,匈牙利
492,45,37,3,439,41,20200331,16,1,0,0,Hungary,匈牙利
525,33,40,3,465,26,20200401,20,4,0,0,Hungary,匈牙利
585,60,42,2,522,57,20200402,21,1,0,0,Hungary,匈牙利
632,47,43,1,563,41,20200403,26,5,0,0,Hungary,匈牙利
678,46,58,15,588,25,20200404,32,6,0,0,Hungary,匈牙利
733,55,66,8,633,45,20200405,34,2,0,0,Hungary,匈牙利
744,11,67,1,639,6,20200406,38,4,0,0,Hungary,匈牙利
817,73,71,4,699,60,20200407,47,9,0,0,Hungary,匈牙利
895,78,94,23,743,44,20200408,58,11,0,0,Hungary,匈牙利
980,85,94,0,820,77,20200409,66,8,0,0,Hungary,匈牙利
1190,210,112,18,1001,181,20200410,77,11,0,0,Hungary,匈牙利
1310,120,115,3,1110,109,20200411,85,8,0,0,Hungary,匈牙利
1410,100,118,3,1193,83,20200412,99,14,0,0,Hungary,匈牙利
1458,48,120,2,1229,36,20200413,109,10,0,0,Hungary,匈牙利
1512,54,122,2,1268,39,20200414,122,13,0,0,Hungary,匈牙利
1579,67,192,70,1253,-15,20200415,134,12,0,0,Hungary,匈牙利
1652,73,199,7,1311,58,20200416,142,8,0,0,Hungary,匈牙利
1763,111,207,8,1400,89,20200417,156,14,0,0,Hungary,匈牙利
1834,71,231,24,1431,31,20200418,172,16,0,0,Hungary,匈牙利
1916,82,250,19,1477,46,20200419,189,17,0,0,Hungary,匈牙利
1984,68,267,17,1518,41,20200420,199,10,0,0,Hungary,匈牙利
2098,114,287,20,1598,80,20200421,213,14,0,0,Hungary,匈牙利
2168,70,295,8,1648,50,20200422,225,12,0,0,Hungary,匈牙利
2284,116,390,95,1655,7,20200423,239,14,0,0,Hungary,匈牙利
2383,99,401,11,1732,77,20200424,250,11,0,0,Hungary,匈牙利
2443,60,458,57,1723,-9,20200425,262,12,0,0,Hungary,匈牙利
2500,57,485,27,1743,20,20200426,272,10,0,0,Hungary,匈牙利
2583,83,498,13,1805,62,20200427,280,8,0,0,Hungary,匈牙利
2649,66,516,18,1842,37,20200428,291,11,0,0,Hungary,匈牙利
2727,78,536,20,1891,49,20200429,300,9,0,0,Hungary,匈牙利
2775,48,581,45,1882,-9,20200430,312,12,0,0,Hungary,匈牙利
2863,88,609,28,1931,49,20200501,323,11,0,0,Hungary,匈牙利
2942,79,625,16,1982,51,20200502,335,12,0,0,Hungary,匈牙利
2998,56,629,4,2029,47,20200503,340,5,0,0,Hungary,匈牙利
3035,37,630,1,2054,25,20200504,351,11,0,0,Hungary,匈牙利
3065,30,709,79,1993,-61,20200505,363,12,0,0,Hungary,匈牙利
3111,46,759,50,1979,-14,20200506,373,10,0,0,Hungary,匈牙利
3150,39,801,42,1966,-13,20200507,383,10,0,0,Hungary,匈牙利
3178,28,865,64,1921,-45,20200508,392,9,0,0,Hungary,匈牙利
3213,35,904,39,1904,-17,20200509,405,13,0,0,Hungary,匈牙利
3263,50,933,29,1917,13,20200510,413,8,0,0,Hungary,匈牙利
3284,21,958,25,1905,-12,20200511,421,8,0,0,Hungary,匈牙利
3313,29,1007,49,1881,-24,20200512,425,4,0,0,Hungary,匈牙利
3341,28,1007,0,1904,23,20200513,430,5,0,0,Hungary,匈牙利
3380,39,1007,0,1937,33,20200514,436,6,0,0,Hungary,匈牙利
3417,37,1287,280,1688,-249,20200515,442,6,0,0,Hungary,匈牙利
3473,56,1371,84,1654,-34,20200516,448,6,0,0,Hungary,匈牙利
3509,36,1396,25,1662,8,20200517,451,3,0,0,Hungary,匈牙利
3535,26,1400,4,1673,11,20200518,462,11,0,0,Hungary,匈牙利
3556,21,1400,0,1689,16,20200519,467,5,0,0,Hungary,匈牙利
3598,42,1454,54,1674,-15,20200520,470,3,0,0,Hungary,匈牙利
3641,43,1509,55,1659,-15,20200521,473,3,0,0,Hungary,匈牙利
3678,37,1587,78,1615,-44,20200522,476,3,0,0,Hungary,匈牙利
3713,35,1655,68,1576,-39,20200523,482,6,0,0,Hungary,匈牙利
3741,28,1690,35,1565,-11,20200524,486,4,0,0,Hungary,匈牙利
3756,15,1711,21,1554,-11,20200525,491,5,0,0,Hungary,匈牙利
3771,15,1836,125,1436,-118,20200526,499,8,0,0,Hungary,匈牙利
3793,22,1856,20,1432,-4,20200527,505,6,0,0,Hungary,匈牙利
3816,23,1996,140,1311,-121,20200528,509,4,0,0,Hungary,匈牙利
3841,25,2024,28,1300,-11,20200529,517,8,0,0,Hungary,匈牙利
3867,26,2042,18,1301,1,20200530,524,7,0,0,Hungary,匈牙利
