confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200302,0,0,0,0,Iceland,冰岛
9,7,0,0,9,7,20200303,0,0,0,0,Iceland,冰岛
16,7,0,0,16,7,20200304,0,0,0,0,Iceland,冰岛
26,10,0,0,26,10,20200305,0,0,0,0,Iceland,冰岛
26,0,0,0,26,0,20200306,0,0,0,0,Iceland,冰岛
45,19,0,0,45,19,20200307,0,0,0,0,Iceland,冰岛
45,0,0,0,45,0,20200308,0,0,0,0,Iceland,冰岛
55,10,0,0,55,10,20200309,0,0,0,0,Iceland,冰岛
55,0,0,0,55,0,20200310,0,0,0,0,Iceland,冰岛
61,6,0,0,61,6,20200311,0,0,0,0,Iceland,冰岛
61,0,0,0,61,0,20200312,0,0,0,0,Iceland,冰岛
61,0,0,0,61,0,20200313,0,0,0,0,Iceland,冰岛
61,0,0,0,61,0,20200314,0,0,0,0,Iceland,冰岛
138,77,0,0,138,77,20200315,0,0,0,0,Iceland,冰岛
138,0,0,0,138,0,20200316,0,0,0,0,Iceland,冰岛
199,61,0,0,199,61,20200317,0,0,0,0,Iceland,冰岛
225,26,0,0,225,26,20200318,0,0,0,0,Iceland,冰岛
330,105,0,0,330,105,20200319,0,0,0,0,Iceland,冰岛
409,79,0,0,409,79,20200320,0,0,0,0,Iceland,冰岛
473,64,0,0,472,63,20200321,1,1,0,0,Iceland,冰岛
568,95,0,0,567,95,20200322,1,0,0,0,Iceland,冰岛
588,20,0,0,587,20,20200323,1,0,0,0,Iceland,冰岛
648,60,0,0,646,59,20200324,2,1,0,0,Iceland,冰岛
739,91,0,0,737,91,20200325,2,0,0,0,Iceland,冰岛
802,63,0,0,800,63,20200326,2,0,0,0,Iceland,冰岛
890,88,82,82,806,6,20200327,2,0,0,0,Iceland,冰岛
963,73,97,15,864,58,20200328,2,0,0,0,Iceland,冰岛
1020,57,124,27,894,30,20200329,2,0,0,0,Iceland,冰岛
1086,66,157,33,927,33,20200330,2,0,0,0,Iceland,冰岛
1135,49,198,41,935,8,20200331,2,0,0,0,Iceland,冰岛
1220,85,236,38,982,47,20200401,2,0,0,0,Iceland,冰岛
1319,99,284,48,1031,49,20200402,4,2,0,0,Iceland,冰岛
1364,45,336,52,1024,-7,20200403,4,0,0,0,Iceland,冰岛
1417,53,396,60,1017,-7,20200404,4,0,0,0,Iceland,冰岛
1486,69,428,32,1054,37,20200405,4,0,0,0,Iceland,冰岛
1562,76,460,32,1096,42,20200406,6,2,0,0,Iceland,冰岛
