confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200302,0,0,0,0,Indonesia,印度尼西亚
2,0,0,0,2,0,20200303,0,0,0,0,Indonesia,印度尼西亚
2,0,0,0,2,0,20200304,0,0,0,0,Indonesia,印度尼西亚
2,0,0,0,2,0,20200305,0,0,0,0,Indonesia,印度尼西亚
2,0,0,0,2,0,20200306,0,0,0,0,Indonesia,印度尼西亚
2,0,0,0,2,0,20200307,0,0,0,0,Indonesia,印度尼西亚
4,2,0,0,4,2,20200308,0,0,0,0,Indonesia,印度尼西亚
6,2,0,0,6,2,20200309,0,0,0,0,Indonesia,印度尼西亚
19,13,0,0,19,13,20200310,0,0,0,0,Indonesia,印度尼西亚
27,8,0,0,26,7,20200311,1,1,0,0,Indonesia,印度尼西亚
34,7,0,0,33,7,20200312,1,0,0,0,Indonesia,印度尼西亚
34,0,0,0,33,0,20200313,1,0,0,0,Indonesia,印度尼西亚
69,35,0,0,66,33,20200314,3,2,0,0,Indonesia,印度尼西亚
117,48,2,2,111,45,20200315,4,1,0,0,Indonesia,印度尼西亚
117,0,2,0,111,0,20200316,4,0,0,0,Indonesia,印度尼西亚
172,55,2,0,165,54,20200317,5,1,0,0,Indonesia,印度尼西亚
172,0,2,0,165,0,20200318,5,0,0,0,Indonesia,印度尼西亚
309,137,9,7,281,116,20200319,19,14,0,0,Indonesia,印度尼西亚
369,60,9,0,328,47,20200320,32,13,0,0,Indonesia,印度尼西亚
450,81,9,0,403,75,20200321,38,6,0,0,Indonesia,印度尼西亚
514,64,9,0,457,54,20200322,48,10,0,0,Indonesia,印度尼西亚
579,65,9,0,521,64,20200323,49,1,0,0,Indonesia,印度尼西亚
686,107,9,0,627,106,20200324,50,1,0,0,Indonesia,印度尼西亚
790,104,9,0,723,96,20200325,58,8,0,0,Indonesia,印度尼西亚
893,103,9,0,806,83,20200326,78,20,0,0,Indonesia,印度尼西亚
1046,153,9,0,950,144,20200327,87,9,0,0,Indonesia,印度尼西亚
1155,109,35,26,1018,68,20200328,102,15,0,0,Indonesia,印度尼西亚
1285,130,35,0,1136,118,20200329,114,12,0,0,Indonesia,印度尼西亚
1414,129,64,29,1228,92,20200330,122,8,0,0,Indonesia,印度尼西亚
1528,114,64,0,1328,100,20200331,136,14,0,0,Indonesia,印度尼西亚
1677,149,64,0,1456,128,20200401,157,21,0,0,Indonesia,印度尼西亚
1790,113,64,0,1556,100,20200402,170,13,0,0,Indonesia,印度尼西亚
1986,196,64,0,1741,185,20200403,181,11,0,0,Indonesia,印度尼西亚
2092,106,64,0,1837,96,20200404,191,10,0,0,Indonesia,印度尼西亚
2273,181,64,0,2011,174,20200405,198,7,0,0,Indonesia,印度尼西亚
2491,218,64,0,2218,207,20200406,209,11,0,0,Indonesia,印度尼西亚
2738,247,64,0,2453,235,20200407,221,12,0,0,Indonesia,印度尼西亚
2956,218,64,0,2652,199,20200408,240,19,0,0,Indonesia,印度尼西亚
3293,337,64,0,2949,297,20200409,280,40,0,0,Indonesia,印度尼西亚
3512,219,64,0,3142,193,20200410,306,26,0,0,Indonesia,印度尼西亚
3842,330,64,0,3451,309,20200411,327,21,0,0,Indonesia,印度尼西亚
4241,399,359,295,3509,58,20200412,373,46,0,0,Indonesia,印度尼西亚
4241,0,359,0,3509,0,20200413,373,0,0,0,Indonesia,印度尼西亚
4839,598,426,67,3954,445,20200414,459,86,0,0,Indonesia,印度尼西亚
5136,297,426,0,4241,287,20200415,469,10,0,0,Indonesia,印度尼西亚
5516,380,548,122,4472,231,20200416,496,27,0,0,Indonesia,印度尼西亚
5923,407,607,59,4796,324,20200417,520,24,0,0,Indonesia,印度尼西亚
6248,325,635,28,5078,282,20200418,535,15,0,0,Indonesia,印度尼西亚
6575,327,686,51,5307,229,20200419,582,47,0,0,Indonesia,印度尼西亚
6760,185,747,61,5423,116,20200420,590,8,0,0,Indonesia,印度尼西亚
6760,0,747,0,5423,0,20200421,590,0,0,0,Indonesia,印度尼西亚
7148,388,913,166,5600,177,20200422,635,45,0,0,Indonesia,印度尼西亚
7775,627,960,47,6168,568,20200423,647,12,0,0,Indonesia,印度尼西亚
8211,436,1002,42,6523,355,20200424,686,39,0,0,Indonesia,印度尼西亚
8607,396,1042,40,6845,322,20200425,720,34,0,0,Indonesia,印度尼西亚
8882,275,1107,65,7032,187,20200426,743,23,0,0,Indonesia,印度尼西亚
9096,214,1151,44,7180,148,20200427,765,22,0,0,Indonesia,印度尼西亚
9511,415,1254,103,7484,304,20200428,773,8,0,0,Indonesia,印度尼西亚
9771,260,1391,137,7596,112,20200429,784,11,0,0,Indonesia,印度尼西亚
10118,347,1522,131,7804,208,20200430,792,8,0,0,Indonesia,印度尼西亚
10551,433,1591,69,8160,356,20200501,800,8,0,0,Indonesia,印度尼西亚
10843,292,1665,74,8347,187,20200502,831,31,0,0,Indonesia,印度尼西亚
11192,349,1876,211,8471,124,20200503,845,14,0,0,Indonesia,印度尼西亚
11587,395,1954,78,8769,298,20200504,864,19,0,0,Indonesia,印度尼西亚
12071,484,2197,243,9002,233,20200505,872,8,0,0,Indonesia,印度尼西亚
12438,367,2317,120,9226,224,20200506,895,23,0,0,Indonesia,印度尼西亚
12776,338,2381,64,9465,239,20200507,930,35,0,0,Indonesia,印度尼西亚
13112,336,2494,113,9675,210,20200508,943,13,0,0,Indonesia,印度尼西亚
13645,533,2607,113,10079,404,20200509,959,16,0,0,Indonesia,印度尼西亚
14032,387,2698,91,10361,282,20200510,973,14,0,0,Indonesia,印度尼西亚
14265,233,2881,183,10393,32,20200511,991,18,0,0,Indonesia,印度尼西亚
14749,484,3063,182,10679,286,20200512,1007,16,0,0,Indonesia,印度尼西亚
15438,689,3287,224,11123,444,20200513,1028,21,0,0,Indonesia,印度尼西亚
16006,568,3518,231,11445,322,20200514,1043,15,0,0,Indonesia,印度尼西亚
16496,490,3803,285,11617,172,20200515,1076,33,0,0,Indonesia,印度尼西亚
17025,529,3911,108,12025,408,20200516,1089,13,0,0,Indonesia,印度尼西亚
17520,495,4129,218,12243,218,20200517,1148,59,0,0,Indonesia,印度尼西亚
18010,490,4324,195,12495,252,20200518,1191,43,0,0,Indonesia,印度尼西亚
18496,486,4467,143,12808,313,20200519,1221,30,0,0,Indonesia,印度尼西亚
19189,693,4575,108,13372,564,20200520,1242,21,0,0,Indonesia,印度尼西亚
20162,973,4838,263,14046,674,20200521,1278,36,0,0,Indonesia,印度尼西亚
20796,634,5057,219,14413,367,20200522,1326,48,0,0,Indonesia,印度尼西亚
21745,949,5249,192,15145,732,20200523,1351,25,0,0,Indonesia,印度尼西亚
22271,526,5402,153,15497,352,20200524,1372,21,0,0,Indonesia,印度尼西亚
22750,479,5642,240,15717,220,20200525,1391,19,0,0,Indonesia,印度尼西亚
23165,415,5877,235,15870,153,20200526,1418,27,0,0,Indonesia,印度尼西亚
23851,686,6057,180,16321,451,20200527,1473,55,0,0,Indonesia,印度尼西亚
24538,687,6240,183,16802,481,20200528,1496,23,0,0,Indonesia,印度尼西亚
25216,678,6492,252,17204,402,20200529,1520,24,0,0,Indonesia,印度尼西亚
25773,557,7015,523,17185,-19,20200530,1573,53,0,0,Indonesia,印度尼西亚
26473,700,7308,293,17552,367,20200531,1613,40,0,0,Indonesia,印度尼西亚
26940,467,7637,329,17662,110,20200601,1641,28,0,0,Indonesia,印度尼西亚
27549,609,7935,298,17951,289,20200602,1663,22,0,0,Indonesia,印度尼西亚
28233,684,8406,471,18129,178,20200603,1698,35,0,0,Indonesia,印度尼西亚
28818,585,8892,486,18205,76,20200604,1721,23,0,0,Indonesia,印度尼西亚
29521,703,9443,551,18308,103,20200605,1770,49,0,0,Indonesia,印度尼西亚
30514,993,9907,464,18806,498,20200606,1801,31,0,0,Indonesia,印度尼西亚
31186,672,10498,591,18837,31,20200607,1851,50,0,0,Indonesia,印度尼西亚
31186,0,10498,0,18837,0,20200608,1851,0,0,0,Indonesia,印度尼西亚
33076,1890,11414,916,19739,902,20200609,1923,72,0,0,Indonesia,印度尼西亚
34316,1240,12129,715,20228,489,20200610,1959,36,0,0,Indonesia,印度尼西亚
35295,979,12626,497,20669,441,20200611,2000,41,0,0,Indonesia,印度尼西亚
36406,1111,13213,587,21145,476,20200612,2048,48,0,0,Indonesia,印度尼西亚
37420,1014,13776,563,21553,408,20200613,2091,43,0,0,Indonesia,印度尼西亚
38277,857,14531,755,21612,59,20200614,2134,43,0,0,Indonesia,印度尼西亚
39294,1017,15123,592,21973,361,20200615,2198,64,0,0,Indonesia,印度尼西亚
40400,1106,15705,582,22464,491,20200616,2231,33,0,0,Indonesia,印度尼西亚
41431,1031,16243,538,22912,448,20200617,2276,45,0,0,Indonesia,印度尼西亚
42762,1331,16798,555,23625,713,20200618,2339,63,0,0,Indonesia,印度尼西亚
43803,1041,17349,551,24081,456,20200619,2373,34,0,0,Indonesia,印度尼西亚
45029,1226,17883,534,24717,636,20200620,2429,56,0,0,Indonesia,印度尼西亚
45891,862,18404,521,25022,305,20200621,2465,36,0,0,Indonesia,印度尼西亚
46845,954,18735,331,25610,588,20200622,2500,35,0,0,Indonesia,印度尼西亚
47896,1051,19241,506,26120,510,20200623,2535,35,0,0,Indonesia,印度尼西亚
49009,1113,19658,417,26778,658,20200624,2573,38,0,0,Indonesia,印度尼西亚
50187,1178,20449,791,27118,340,20200625,2620,47,0,0,Indonesia,印度尼西亚
51427,1240,21333,884,27411,293,20200626,2683,63,0,0,Indonesia,印度尼西亚
52812,1385,21909,576,28183,772,20200627,2720,37,0,0,Indonesia,印度尼西亚
54010,1198,22936,1027,28320,137,20200628,2754,34,0,0,Indonesia,印度尼西亚
55092,1082,23800,864,28487,167,20200629,2805,51,0,0,Indonesia,印度尼西亚
56385,1293,24806,1006,28703,216,20200630,2876,71,0,0,Indonesia,印度尼西亚
57770,1385,25595,789,29241,538,20200701,2934,58,0,0,Indonesia,印度尼西亚
59394,1624,26667,1072,29740,499,20200702,2987,53,0,0,Indonesia,印度尼西亚
60695,1301,27568,901,30091,351,20200703,3036,49,0,0,Indonesia,印度尼西亚
62142,1447,28219,651,30834,743,20200704,3089,53,0,0,Indonesia,印度尼西亚
63743,1601,29105,886,31467,633,20200705,3171,82,0,0,Indonesia,印度尼西亚
64958,1215,29919,814,31798,331,20200706,3241,70,0,0,Indonesia,印度尼西亚
66226,1268,30785,866,32132,334,20200707,3309,68,0,0,Indonesia,印度尼西亚
68079,1853,31585,800,33135,1003,20200708,3359,50,0,0,Indonesia,印度尼西亚
