confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,0,0,20200220,2,2,0,0,Iran (Islamic Republic of),伊朗
5,3,0,0,3,3,20200221,2,0,0,0,Iran (Islamic Republic of),伊朗
18,13,0,0,14,11,20200222,4,2,0,0,Iran (Islamic Republic of),伊朗
28,10,0,0,23,9,20200223,5,1,0,0,Iran (Islamic Republic of),伊朗
43,15,0,0,35,12,20200224,8,3,0,0,Iran (Islamic Republic of),伊朗
61,18,0,0,49,14,20200225,12,4,0,0,Iran (Islamic Republic of),伊朗
95,34,0,0,80,31,20200226,15,3,0,0,Iran (Islamic Republic of),伊朗
141,46,0,0,119,39,20200227,22,7,0,0,Iran (Islamic Republic of),伊朗
245,104,0,0,219,100,20200228,26,4,0,0,Iran (Islamic Republic of),伊朗
388,143,0,0,354,135,20200229,34,8,0,0,Iran (Islamic Republic of),伊朗
593,205,0,0,550,196,20200301,43,9,0,0,Iran (Islamic Republic of),伊朗
978,385,0,0,924,374,20200302,54,11,0,0,Iran (Islamic Republic of),伊朗
1501,523,0,0,1435,511,20200303,66,12,0,0,Iran (Islamic Republic of),伊朗
2336,835,0,0,2259,824,20200304,77,11,0,0,Iran (Islamic Republic of),伊朗
2922,586,0,0,2830,571,20200305,92,15,0,0,Iran (Islamic Republic of),伊朗
3513,591,0,0,3406,576,20200306,107,15,0,0,Iran (Islamic Republic of),伊朗
4747,1234,0,0,4623,1217,20200307,124,17,0,0,Iran (Islamic Republic of),伊朗
5823,1076,0,0,5678,1055,20200308,145,21,0,0,Iran (Islamic Republic of),伊朗
6566,743,0,0,6372,694,20200309,194,49,0,0,Iran (Islamic Republic of),伊朗
7161,595,0,0,6924,552,20200310,237,43,0,0,Iran (Islamic Republic of),伊朗
8042,881,0,0,7751,827,20200311,291,54,0,0,Iran (Islamic Republic of),伊朗
9000,958,0,0,8646,895,20200312,354,63,0,0,Iran (Islamic Republic of),伊朗
10075,1075,0,0,9646,1000,20200313,429,75,0,0,Iran (Islamic Republic of),伊朗
11364,1289,0,0,10850,1204,20200314,514,85,0,0,Iran (Islamic Republic of),伊朗
12729,1365,4590,4590,7531,-3319,20200315,608,94,0,0,Iran (Islamic Republic of),伊朗
14991,2262,4996,406,9142,1611,20200316,853,245,0,0,Iran (Islamic Republic of),伊朗
16169,1178,5389,393,9792,650,20200317,988,135,0,0,Iran (Islamic Republic of),伊朗
17361,1192,5710,321,10516,724,20200318,1135,147,0,0,Iran (Islamic Republic of),伊朗
18407,1046,5979,269,11144,628,20200319,1284,149,0,0,Iran (Islamic Republic of),伊朗
19644,1237,6745,766,11466,322,20200320,1433,149,0,0,Iran (Islamic Republic of),伊朗
20610,966,7635,890,11419,-47,20200321,1556,123,0,0,Iran (Islamic Republic of),伊朗
21638,1028,7913,278,12040,621,20200322,1685,129,0,0,Iran (Islamic Republic of),伊朗
23049,1411,7913,0,13324,1284,20200323,1812,127,0,0,Iran (Islamic Republic of),伊朗
24811,1762,8913,1000,13964,640,20200324,1934,122,0,0,Iran (Islamic Republic of),伊朗
27017,2206,9625,712,15315,1351,20200325,2077,143,0,0,Iran (Islamic Republic of),伊朗
29406,2389,10457,832,16715,1400,20200326,2234,157,0,0,Iran (Islamic Republic of),伊朗
32332,2926,11133,676,18821,2106,20200327,2378,144,0,0,Iran (Islamic Republic of),伊朗
35408,3076,11679,546,21212,2391,20200328,2517,139,0,0,Iran (Islamic Republic of),伊朗
38309,2901,12391,712,23278,2066,20200329,2640,123,0,0,Iran (Islamic Republic of),伊朗
41495,3186,12391,0,26464,3186,20200330,2640,0,0,0,Iran (Islamic Republic of),伊朗
44606,3111,14656,2265,27052,588,20200331,2898,258,0,0,Iran (Islamic Republic of),伊朗
47593,2987,15473,817,29084,2032,20200401,3036,138,0,0,Iran (Islamic Republic of),伊朗
50468,2875,16711,1238,30597,1513,20200402,3160,124,0,0,Iran (Islamic Republic of),伊朗
53183,2715,17935,1224,31954,1357,20200403,3294,134,0,0,Iran (Islamic Republic of),伊朗
55743,2560,19736,1801,32555,601,20200404,3452,158,0,0,Iran (Islamic Republic of),伊朗
