confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200225,0,0,0,0,Iraq,伊拉克
5,4,0,0,5,4,20200226,0,0,0,0,Iraq,伊拉克
6,1,0,0,6,1,20200227,0,0,0,0,Iraq,伊拉克
7,1,0,0,7,1,20200228,0,0,0,0,Iraq,伊拉克
8,1,0,0,8,1,20200229,0,0,0,0,Iraq,伊拉克
13,5,0,0,13,5,20200301,0,0,0,0,Iraq,伊拉克
19,6,0,0,19,6,20200302,0,0,0,0,Iraq,伊拉克
26,7,0,0,26,7,20200303,0,0,0,0,Iraq,伊拉克
31,5,0,0,31,5,20200304,0,0,0,0,Iraq,伊拉克
36,5,0,0,34,3,20200305,2,2,0,0,Iraq,伊拉克
36,0,0,0,34,0,20200306,2,0,0,0,Iraq,伊拉克
44,8,0,0,40,6,20200307,4,2,0,0,Iraq,伊拉克
54,10,0,0,50,10,20200308,4,0,0,0,Iraq,伊拉克
60,6,0,0,54,4,20200309,6,2,0,0,Iraq,伊拉克
61,1,0,0,55,1,20200310,6,0,0,0,Iraq,伊拉克
61,0,0,0,55,0,20200311,6,0,0,0,Iraq,伊拉克
70,9,0,0,63,8,20200312,7,1,0,0,Iraq,伊拉克
70,0,0,0,63,0,20200313,7,0,0,0,Iraq,伊拉克
93,23,0,0,84,21,20200314,9,2,0,0,Iraq,伊拉克
93,0,24,24,60,-24,20200315,9,0,0,0,Iraq,伊拉克
124,31,24,0,91,31,20200316,9,0,0,0,Iraq,伊拉克
124,0,41,17,74,-17,20200317,9,0,0,0,Iraq,伊拉克
154,30,43,2,100,26,20200318,11,2,0,0,Iraq,伊拉克
192,38,49,6,131,31,20200319,12,1,0,0,Iraq,伊拉克
208,16,49,0,142,11,20200320,17,5,0,0,Iraq,伊拉克
214,6,49,0,148,6,20200321,17,0,0,0,Iraq,伊拉克
233,19,57,8,156,8,20200322,20,3,0,0,Iraq,伊拉克
266,33,62,5,181,25,20200323,23,3,0,0,Iraq,伊拉克
316,50,75,13,214,33,20200324,27,4,0,0,Iraq,伊拉克
346,30,89,14,228,14,20200325,29,2,0,0,Iraq,伊拉克
382,36,107,18,239,11,20200326,36,7,0,0,Iraq,伊拉克
458,76,122,15,296,57,20200327,40,4,0,0,Iraq,伊拉克
506,48,131,9,333,37,20200328,42,2,0,0,Iraq,伊拉克
547,41,143,12,362,29,20200329,42,0,0,0,Iraq,伊拉克
630,83,152,9,432,70,20200330,46,4,0,0,Iraq,伊拉克
694,64,170,18,474,42,20200331,50,4,0,0,Iraq,伊拉克
728,34,182,12,494,20,20200401,52,2,0,0,Iraq,伊拉克
772,44,202,20,516,22,20200402,54,2,0,0,Iraq,伊拉克
820,48,202,0,564,48,20200403,54,0,0,0,Iraq,伊拉克
878,58,259,57,563,-1,20200404,56,2,0,0,Iraq,伊拉克
961,83,279,20,621,58,20200405,61,5,0,0,Iraq,伊拉克
1031,70,344,65,623,2,20200406,64,3,0,0,Iraq,伊拉克
1122,91,373,29,684,61,20200407,65,1,0,0,Iraq,伊拉克
1202,80,452,79,681,-3,20200408,69,4,0,0,Iraq,伊拉克
1232,30,496,44,667,-14,20200409,69,0,0,0,Iraq,伊拉克
1279,47,550,54,659,-8,20200410,70,1,0,0,Iraq,伊拉克
1318,39,601,51,645,-14,20200411,72,2,0,0,Iraq,伊拉克
1352,34,640,39,636,-9,20200412,76,4,0,0,Iraq,伊拉克
1378,26,717,77,583,-53,20200413,78,2,0,0,Iraq,伊拉克
1400,22,766,49,556,-27,20200414,78,0,0,0,Iraq,伊拉克
1415,15,812,46,524,-32,20200415,79,1,0,0,Iraq,伊拉克
