confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200301,0,0,0,0,Ireland,爱尔兰
1,0,0,0,1,0,20200302,0,0,0,0,Ireland,爱尔兰
1,0,0,0,1,0,20200303,0,0,0,0,Ireland,爱尔兰
2,1,0,0,2,1,20200304,0,0,0,0,Ireland,爱尔兰
2,0,0,0,2,0,20200305,0,0,0,0,Ireland,爱尔兰
14,12,0,0,14,12,20200306,0,0,0,0,Ireland,爱尔兰
18,4,0,0,18,4,20200307,0,0,0,0,Ireland,爱尔兰
19,1,0,0,19,1,20200308,0,0,0,0,Ireland,爱尔兰
21,2,0,0,21,2,20200309,0,0,0,0,Ireland,爱尔兰
24,3,0,0,24,3,20200310,0,0,0,0,Ireland,爱尔兰
34,10,0,0,34,10,20200311,0,0,0,0,Ireland,爱尔兰
43,9,0,0,42,8,20200312,1,1,0,0,Ireland,爱尔兰
70,27,0,0,69,27,20200313,1,0,0,0,Ireland,爱尔兰
90,20,0,0,89,20,20200314,1,0,0,0,Ireland,爱尔兰
129,39,0,0,127,38,20200315,2,1,0,0,Ireland,爱尔兰
169,40,0,0,167,40,20200316,2,0,0,0,Ireland,爱尔兰
223,54,0,0,221,54,20200317,2,0,0,0,Ireland,爱尔兰
292,69,0,0,290,69,20200318,2,0,0,0,Ireland,爱尔兰
557,265,0,0,555,265,20200319,2,0,0,0,Ireland,爱尔兰
683,126,0,0,680,125,20200320,3,1,0,0,Ireland,爱尔兰
785,102,0,0,782,102,20200321,3,0,0,0,Ireland,爱尔兰
906,121,0,0,902,120,20200322,4,1,0,0,Ireland,爱尔兰
1125,219,0,0,1119,217,20200323,6,2,0,0,Ireland,爱尔兰
1329,204,0,0,1322,203,20200324,7,1,0,0,Ireland,爱尔兰
1564,235,0,0,1555,233,20200325,9,2,0,0,Ireland,爱尔兰
1819,255,0,0,1800,245,20200326,19,10,0,0,Ireland,爱尔兰
2121,302,0,0,2099,299,20200327,22,3,0,0,Ireland,爱尔兰
2415,294,0,0,2379,280,20200328,36,14,0,0,Ireland,爱尔兰
2615,200,0,0,2569,190,20200329,46,10,0,0,Ireland,爱尔兰
2910,295,0,0,2856,287,20200330,54,8,0,0,Ireland,爱尔兰
3235,325,0,0,3164,308,20200331,71,17,0,0,Ireland,爱尔兰
3447,212,0,0,3362,198,20200401,85,14,0,0,Ireland,爱尔兰
3849,402,0,0,3751,389,20200402,98,13,0,0,Ireland,爱尔兰
4273,424,0,0,4153,402,20200403,120,22,0,0,Ireland,爱尔兰
4604,331,0,0,4467,314,20200404,137,17,0,0,Ireland,爱尔兰
4994,390,0,0,4836,369,20200405,158,21,0,0,Ireland,爱尔兰
