confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200320,0,0,0,0,Isle of Man,马恩岛
1,0,0,0,1,0,20200321,0,0,0,0,Isle of Man,马恩岛
2,1,0,0,2,1,20200322,0,0,0,0,Isle of Man,马恩岛
2,0,0,0,2,0,20200323,0,0,0,0,Isle of Man,马恩岛
13,11,0,0,13,11,20200324,0,0,0,0,Isle of Man,马恩岛
23,10,0,0,23,10,20200325,0,0,0,0,Isle of Man,马恩岛
23,0,0,0,23,0,20200326,0,0,0,0,Isle of Man,马恩岛
26,3,0,0,26,3,20200327,0,0,0,0,Isle of Man,马恩岛
29,3,0,0,29,3,20200328,0,0,0,0,Isle of Man,马恩岛
32,3,0,0,32,3,20200329,0,0,0,0,Isle of Man,马恩岛
42,10,0,0,42,10,20200330,0,0,0,0,Isle of Man,马恩岛
42,0,0,0,42,0,20200331,0,0,0,0,Isle of Man,马恩岛
52,10,0,0,52,10,20200401,0,0,0,0,Isle of Man,马恩岛
65,13,0,0,65,13,20200402,0,0,0,0,Isle of Man,马恩岛
71,6,0,0,70,5,20200403,1,1,0,0,Isle of Man,马恩岛
114,43,0,0,113,43,20200404,1,0,0,0,Isle of Man,马恩岛
126,12,0,0,125,12,20200405,1,0,0,0,Isle of Man,马恩岛
127,1,0,0,126,1,20200406,1,0,0,0,Isle of Man,马恩岛
127,0,0,0,126,0,20200407,1,0,0,0,Isle of Man,马恩岛
150,23,0,0,149,23,20200408,1,0,0,0,Isle of Man,马恩岛
150,0,0,0,149,0,20200409,1,0,0,0,Isle of Man,马恩岛
165,15,0,0,164,15,20200410,1,0,0,0,Isle of Man,马恩岛
190,25,0,0,189,25,20200411,1,0,0,0,Isle of Man,马恩岛
204,14,0,0,203,14,20200412,1,0,0,0,Isle of Man,马恩岛
226,22,0,0,225,22,20200413,1,0,0,0,Isle of Man,马恩岛
228,2,0,0,226,1,20200414,2,1,0,0,Isle of Man,马恩岛
242,14,0,0,240,14,20200415,2,0,0,0,Isle of Man,马恩岛
254,12,0,0,252,12,20200416,2,0,0,0,Isle of Man,马恩岛
258,4,0,0,254,2,20200417,4,2,0,0,Isle of Man,马恩岛
289,31,0,0,285,31,20200418,4,0,0,0,Isle of Man,马恩岛
291,2,0,0,287,2,20200419,4,0,0,0,Isle of Man,马恩岛
297,6,0,0,293,6,20200420,4,0,0,0,Isle of Man,马恩岛
297,0,0,0,293,0,20200421,4,0,0,0,Isle of Man,马恩岛
307,10,0,0,297,4,20200422,10,6,0,0,Isle of Man,马恩岛
307,0,0,0,297,0,20200423,10,0,0,0,Isle of Man,马恩岛
307,0,0,0,291,-6,20200424,16,6,0,0,Isle of Man,马恩岛
308,1,0,0,291,0,20200425,17,1,0,0,Isle of Man,马恩岛
308,0,0,0,290,-1,20200426,18,1,0,0,Isle of Man,马恩岛
308,0,0,0,290,0,20200427,18,0,0,0,Isle of Man,马恩岛
308,0,0,0,290,0,20200428,18,0,0,0,Isle of Man,马恩岛
308,0,0,0,288,-2,20200429,20,2,0,0,Isle of Man,马恩岛
309,1,0,0,288,0,20200430,21,1,0,0,Isle of Man,马恩岛
311,2,0,0,289,1,20200501,22,1,0,0,Isle of Man,马恩岛
311,0,0,0,289,0,20200502,22,0,0,0,Isle of Man,马恩岛
315,4,0,0,292,3,20200503,23,1,0,0,Isle of Man,马恩岛
320,5,0,0,297,5,20200504,23,0,0,0,Isle of Man,马恩岛
321,1,0,0,298,1,20200505,23,0,0,0,Isle of Man,马恩岛
325,4,0,0,302,4,20200506,23,0,0,0,Isle of Man,马恩岛
326,1,0,0,303,1,20200507,23,0,0,0,Isle of Man,马恩岛
327,1,0,0,304,1,20200508,23,0,0,0,Isle of Man,马恩岛
329,2,0,0,306,2,20200509,23,0,0,0,Isle of Man,马恩岛
329,0,0,0,306,0,20200510,23,0,0,0,Isle of Man,马恩岛
330,1,0,0,307,1,20200511,23,0,0,0,Isle of Man,马恩岛
330,0,0,0,307,0,20200512,23,0,0,0,Isle of Man,马恩岛
330,0,0,0,307,0,20200513,23,0,0,0,Isle of Man,马恩岛
331,1,0,0,308,1,20200514,23,0,0,0,Isle of Man,马恩岛
331,0,0,0,308,0,20200515,23,0,0,0,Isle of Man,马恩岛
333,2,0,0,309,1,20200516,24,1,0,0,Isle of Man,马恩岛
334,1,0,0,310,1,20200517,24,0,0,0,Isle of Man,马恩岛
335,1,0,0,311,1,20200518,24,0,0,0,Isle of Man,马恩岛
335,0,0,0,311,0,20200519,24,0,0,0,Isle of Man,马恩岛
335,0,0,0,311,0,20200520,24,0,0,0,Isle of Man,马恩岛
335,0,0,0,311,0,20200521,24,0,0,0,Isle of Man,马恩岛
336,1,0,0,312,1,20200522,24,0,0,0,Isle of Man,马恩岛
336,0,0,0,312,0,20200523,24,0,0,0,Isle of Man,马恩岛
336,0,0,0,312,0,20200524,24,0,0,0,Isle of Man,马恩岛
336,0,0,0,312,0,20200525,24,0,0,0,Isle of Man,马恩岛
336,0,0,0,312,0,20200526,24,0,0,0,Isle of Man,马恩岛
336,0,0,0,312,0,20200527,24,0,0,0,Isle of Man,马恩岛
336,0,0,0,312,0,20200528,24,0,0,0,Isle of Man,马恩岛
336,0,0,0,312,0,20200529,24,0,0,0,Isle of Man,马恩岛
