confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200222,0,0,0,0,Israel,以色列
1,0,0,0,1,0,20200223,0,0,0,0,Israel,以色列
1,0,0,0,1,0,20200224,0,0,0,0,Israel,以色列
2,1,0,0,2,1,20200225,0,0,0,0,Israel,以色列
2,0,0,0,2,0,20200226,0,0,0,0,Israel,以色列
2,0,0,0,2,0,20200227,0,0,0,0,Israel,以色列
3,1,0,0,3,1,20200228,0,0,0,0,Israel,以色列
5,2,0,0,5,2,20200229,0,0,0,0,Israel,以色列
7,2,0,0,7,2,20200301,0,0,0,0,Israel,以色列
7,0,0,0,7,0,20200302,0,0,0,0,Israel,以色列
10,3,0,0,10,3,20200303,0,0,0,0,Israel,以色列
12,2,0,0,12,2,20200304,0,0,0,0,Israel,以色列
15,3,0,0,15,3,20200305,0,0,0,0,Israel,以色列
15,0,0,0,15,0,20200306,0,0,0,0,Israel,以色列
19,4,0,0,19,4,20200307,0,0,0,0,Israel,以色列
25,6,0,0,25,6,20200308,0,0,0,0,Israel,以色列
39,14,0,0,39,14,20200309,0,0,0,0,Israel,以色列
39,0,0,0,39,0,20200310,0,0,0,0,Israel,以色列
75,36,0,0,75,36,20200311,0,0,0,0,Israel,以色列
75,0,0,0,75,0,20200312,0,0,0,0,Israel,以色列
75,0,0,0,75,0,20200313,0,0,0,0,Israel,以色列
100,25,0,0,100,25,20200314,0,0,0,0,Israel,以色列
178,78,2,2,176,76,20200315,0,0,0,0,Israel,以色列
200,22,2,0,198,22,20200316,0,0,0,0,Israel,以色列
250,50,5,3,245,47,20200317,0,0,0,0,Israel,以色列
304,54,5,0,299,54,20200318,0,0,0,0,Israel,以色列
677,373,14,9,663,364,20200319,0,0,0,0,Israel,以色列
705,28,15,1,689,26,20200320,1,1,0,0,Israel,以色列
883,178,15,0,867,178,20200321,1,0,0,0,Israel,以色列
1071,188,37,22,1033,166,20200322,1,0,0,0,Israel,以色列
1442,371,37,0,1404,371,20200323,1,0,0,0,Israel,以色列
1930,488,53,16,1874,470,20200324,3,2,0,0,Israel,以色列
2369,439,58,5,2306,432,20200325,5,2,0,0,Israel,以色列
2693,324,70,12,2615,309,20200326,8,3,0,0,Israel,以色列
3035,342,79,9,2946,331,20200327,10,2,0,0,Israel,以色列
