confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200131,0,0,0,0,Italy,意大利
2,0,0,0,2,0,20200201,0,0,0,0,Italy,意大利
2,0,0,0,2,0,20200202,0,0,0,0,Italy,意大利
2,0,0,0,2,0,20200203,0,0,0,0,Italy,意大利
2,0,0,0,2,0,20200204,0,0,0,0,Italy,意大利
2,0,0,0,2,0,20200205,0,0,0,0,Italy,意大利
2,0,0,0,2,0,20200206,0,0,0,0,Italy,意大利
3,1,0,0,3,1,20200207,0,0,0,0,Italy,意大利
3,0,0,0,3,0,20200208,0,0,0,0,Italy,意大利
3,0,0,0,3,0,20200209,0,0,0,0,Italy,意大利
3,0,0,0,3,0,20200210,0,0,0,0,Italy,意大利
3,0,0,0,3,0,20200211,0,0,0,0,Italy,意大利
3,0,0,0,3,0,20200212,0,0,0,0,Italy,意大利
3,0,0,0,3,0,20200213,0,0,0,0,Italy,意大利
3,0,0,0,3,0,20200214,0,0,0,0,Italy,意大利
3,0,0,0,3,0,20200215,0,0,0,0,Italy,意大利
3,0,0,0,3,0,20200216,0,0,0,0,Italy,意大利
3,0,0,0,3,0,20200217,0,0,0,0,Italy,意大利
3,0,0,0,3,0,20200218,0,0,0,0,Italy,意大利
3,0,0,0,3,0,20200219,0,0,0,0,Italy,意大利
3,0,0,0,3,0,20200220,0,0,0,0,Italy,意大利
3,0,0,0,3,0,20200221,0,0,0,0,Italy,意大利
9,6,0,0,9,6,20200222,0,0,0,0,Italy,意大利
76,67,0,0,74,65,20200223,2,2,0,0,Italy,意大利
124,48,0,0,122,48,20200224,2,0,0,0,Italy,意大利
229,105,0,0,223,101,20200225,6,4,0,0,Italy,意大利
322,93,0,0,311,88,20200226,11,5,0,0,Italy,意大利
400,78,0,0,388,77,20200227,12,1,0,0,Italy,意大利
650,250,0,0,633,245,20200228,17,5,0,0,Italy,意大利
888,238,0,0,867,234,20200229,21,4,0,0,Italy,意大利
1128,240,0,0,1099,232,20200301,29,8,0,0,Italy,意大利
1689,561,0,0,1654,555,20200302,35,6,0,0,Italy,意大利
2036,347,0,0,1984,330,20200303,52,17,0,0,Italy,意大利
2502,466,0,0,2422,438,20200304,80,28,0,0,Italy,意大利
3089,587,0,0,2982,560,20200305,107,27,0,0,Italy,意大利
3858,769,0,0,3710,728,20200306,148,41,0,0,Italy,意大利
4636,778,0,0,4439,729,20200307,197,49,0,0,Italy,意大利
