confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200311,0,0,0,0,Jamaica,牙买加
1,0,0,0,1,0,20200312,0,0,0,0,Jamaica,牙买加
1,0,0,0,1,0,20200313,0,0,0,0,Jamaica,牙买加
7,6,0,0,7,6,20200314,0,0,0,0,Jamaica,牙买加
8,1,0,0,8,1,20200315,0,0,0,0,Jamaica,牙买加
10,2,0,0,10,2,20200316,0,0,0,0,Jamaica,牙买加
10,0,0,0,10,0,20200317,0,0,0,0,Jamaica,牙买加
12,2,0,0,12,2,20200318,0,0,0,0,Jamaica,牙买加
15,3,0,0,14,2,20200319,1,1,0,0,Jamaica,牙买加
15,0,0,0,14,0,20200320,1,0,0,0,Jamaica,牙买加
16,1,0,0,15,1,20200321,1,0,0,0,Jamaica,牙买加
16,0,0,0,15,0,20200322,1,0,0,0,Jamaica,牙买加
19,3,0,0,18,3,20200323,1,0,0,0,Jamaica,牙买加
19,0,0,0,18,0,20200324,1,0,0,0,Jamaica,牙买加
21,2,0,0,20,2,20200325,1,0,0,0,Jamaica,牙买加
26,5,0,0,25,5,20200326,1,0,0,0,Jamaica,牙买加
26,0,0,0,25,0,20200327,1,0,0,0,Jamaica,牙买加
26,0,0,0,25,0,20200328,1,0,0,0,Jamaica,牙买加
30,4,0,0,29,4,20200329,1,0,0,0,Jamaica,牙买加
32,2,0,0,31,2,20200330,1,0,0,0,Jamaica,牙买加
36,4,0,0,35,4,20200331,1,0,0,0,Jamaica,牙买加
36,0,0,0,35,0,20200401,1,0,0,0,Jamaica,牙买加
38,2,0,0,37,2,20200402,1,0,0,0,Jamaica,牙买加
44,6,0,0,41,4,20200403,3,2,0,0,Jamaica,牙买加
47,3,0,0,44,3,20200404,3,0,0,0,Jamaica,牙买加
53,6,0,0,50,6,20200405,3,0,0,0,Jamaica,牙买加
55,2,0,0,52,2,20200406,3,0,0,0,Jamaica,牙买加
58,3,0,0,55,3,20200407,3,0,0,0,Jamaica,牙买加
59,1,0,0,56,1,20200408,3,0,0,0,Jamaica,牙买加
63,4,0,0,60,4,20200409,3,0,0,0,Jamaica,牙买加
63,0,0,0,59,-1,20200410,4,1,0,0,Jamaica,牙买加
63,0,0,0,59,0,20200411,4,0,0,0,Jamaica,牙买加
65,2,0,0,61,2,20200412,4,0,0,0,Jamaica,牙买加
69,4,0,0,65,4,20200413,4,0,0,0,Jamaica,牙买加
72,3,0,0,68,3,20200414,4,0,0,0,Jamaica,牙买加
73,1,0,0,69,1,20200415,4,0,0,0,Jamaica,牙买加
105,32,0,0,100,31,20200416,5,1,0,0,Jamaica,牙买加
125,20,0,0,120,20,20200417,5,0,0,0,Jamaica,牙买加
143,18,0,0,138,18,20200418,5,0,0,0,Jamaica,牙买加
163,20,0,0,158,20,20200419,5,0,0,0,Jamaica,牙买加
173,10,0,0,168,10,20200420,5,0,0,0,Jamaica,牙买加
196,23,0,0,191,23,20200421,5,0,0,0,Jamaica,牙买加
223,27,0,0,217,26,20200422,6,1,0,0,Jamaica,牙买加
233,10,0,0,227,10,20200423,6,0,0,0,Jamaica,牙买加
243,10,0,0,237,10,20200424,6,0,0,0,Jamaica,牙买加
257,14,0,0,250,13,20200425,7,1,0,0,Jamaica,牙买加
288,31,0,0,281,31,20200426,7,0,0,0,Jamaica,牙买加
305,17,0,0,298,17,20200427,7,0,0,0,Jamaica,牙买加
305,0,0,0,298,0,20200428,7,0,0,0,Jamaica,牙买加
364,59,0,0,357,59,20200429,7,0,0,0,Jamaica,牙买加
381,17,0,0,374,17,20200430,7,0,0,0,Jamaica,牙买加
396,15,0,0,389,15,20200501,7,0,0,0,Jamaica,牙买加
422,26,0,0,414,25,20200502,8,1,0,0,Jamaica,牙买加
432,10,0,0,424,10,20200503,8,0,0,0,Jamaica,牙买加
463,31,0,0,455,31,20200504,8,0,0,0,Jamaica,牙买加
469,6,0,0,460,5,20200505,9,1,0,0,Jamaica,牙买加
471,2,0,0,462,2,20200506,9,0,0,0,Jamaica,牙买加
473,2,0,0,464,2,20200507,9,0,0,0,Jamaica,牙买加
478,5,0,0,469,5,20200508,9,0,0,0,Jamaica,牙买加
488,10,0,0,479,10,20200509,9,0,0,0,Jamaica,牙买加
490,2,0,0,481,2,20200510,9,0,0,0,Jamaica,牙买加
498,8,0,0,489,8,20200511,9,0,0,0,Jamaica,牙买加
502,4,0,0,493,4,20200512,9,0,0,0,Jamaica,牙买加
505,3,0,0,496,3,20200513,9,0,0,0,Jamaica,牙买加
507,2,0,0,498,2,20200514,9,0,0,0,Jamaica,牙买加
509,2,0,0,500,2,20200515,9,0,0,0,Jamaica,牙买加
509,0,0,0,500,0,20200516,9,0,0,0,Jamaica,牙买加
511,2,0,0,502,2,20200517,9,0,0,0,Jamaica,牙买加
517,6,0,0,508,6,20200518,9,0,0,0,Jamaica,牙买加
520,3,0,0,511,3,20200519,9,0,0,0,Jamaica,牙买加
520,0,0,0,511,0,20200520,9,0,0,0,Jamaica,牙买加
520,0,0,0,511,0,20200521,9,0,0,0,Jamaica,牙买加
529,9,0,0,520,9,20200522,9,0,0,0,Jamaica,牙买加
