confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200316,0,0,0,0,Jersey,泽西岛
2,0,0,0,2,0,20200317,0,0,0,0,Jersey,泽西岛
5,3,0,0,5,3,20200318,0,0,0,0,Jersey,泽西岛
5,0,0,0,5,0,20200319,0,0,0,0,Jersey,泽西岛
12,7,0,0,12,7,20200320,0,0,0,0,Jersey,泽西岛
12,0,0,0,12,0,20200321,0,0,0,0,Jersey,泽西岛
15,3,0,0,15,3,20200322,0,0,0,0,Jersey,泽西岛
15,0,0,0,15,0,20200323,0,0,0,0,Jersey,泽西岛
18,3,0,0,18,3,20200324,0,0,0,0,Jersey,泽西岛
18,0,0,0,18,0,20200325,0,0,0,0,Jersey,泽西岛
18,0,0,0,18,0,20200326,0,0,0,0,Jersey,泽西岛
32,14,0,0,31,13,20200327,1,1,0,0,Jersey,泽西岛
52,20,0,0,51,20,20200328,1,0,0,0,Jersey,泽西岛
61,9,0,0,60,9,20200329,1,0,0,0,Jersey,泽西岛
63,2,0,0,61,1,20200330,2,1,0,0,Jersey,泽西岛
63,0,0,0,61,0,20200331,2,0,0,0,Jersey,泽西岛
63,0,0,0,61,0,20200401,2,0,0,0,Jersey,泽西岛
81,18,0,0,79,18,20200402,2,0,0,0,Jersey,泽西岛
81,0,0,0,79,0,20200403,2,0,0,0,Jersey,泽西岛
118,37,0,0,116,37,20200404,2,0,0,0,Jersey,泽西岛
123,5,0,0,120,4,20200405,3,1,0,0,Jersey,泽西岛
155,32,0,0,152,32,20200406,3,0,0,0,Jersey,泽西岛
155,0,0,0,152,0,20200407,3,0,0,0,Jersey,泽西岛
170,15,0,0,167,15,20200408,3,0,0,0,Jersey,泽西岛
170,0,0,0,167,0,20200409,3,0,0,0,Jersey,泽西岛
170,0,0,0,167,0,20200410,3,0,0,0,Jersey,泽西岛
183,13,0,0,179,12,20200411,4,1,0,0,Jersey,泽西岛
198,15,0,0,194,15,20200412,4,0,0,0,Jersey,泽西岛
198,0,0,0,194,0,20200413,4,0,0,0,Jersey,泽西岛
213,15,0,0,209,15,20200414,4,0,0,0,Jersey,泽西岛
217,4,0,0,213,4,20200415,4,0,0,0,Jersey,泽西岛
217,0,0,0,211,-2,20200416,6,2,0,0,Jersey,泽西岛
219,2,0,0,212,1,20200417,7,1,0,0,Jersey,泽西岛
223,4,0,0,213,1,20200418,10,3,0,0,Jersey,泽西岛
234,11,0,0,223,10,20200419,11,1,0,0,Jersey,泽西岛
245,11,0,0,233,10,20200420,12,1,0,0,Jersey,泽西岛
249,4,0,0,237,4,20200421,12,0,0,0,Jersey,泽西岛
250,1,0,0,236,-1,20200422,14,2,0,0,Jersey,泽西岛
255,5,0,0,241,5,20200423,14,0,0,0,Jersey,泽西岛
255,0,0,0,237,-4,20200424,18,4,0,0,Jersey,泽西岛
276,21,0,0,257,20,20200425,19,1,0,0,Jersey,泽西岛
278,2,0,0,259,2,20200426,19,0,0,0,Jersey,泽西岛
280,2,0,0,261,2,20200427,19,0,0,0,Jersey,泽西岛
281,1,0,0,262,1,20200428,19,0,0,0,Jersey,泽西岛
283,2,0,0,264,2,20200429,19,0,0,0,Jersey,泽西岛
284,1,0,0,264,0,20200430,20,1,0,0,Jersey,泽西岛
