confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200303,0,0,0,0,Jordan,约旦
1,0,0,0,1,0,20200304,0,0,0,0,Jordan,约旦
1,0,0,0,1,0,20200305,0,0,0,0,Jordan,约旦
1,0,0,0,1,0,20200306,0,0,0,0,Jordan,约旦
1,0,0,0,1,0,20200307,0,0,0,0,Jordan,约旦
1,0,0,0,1,0,20200308,0,0,0,0,Jordan,约旦
1,0,0,0,1,0,20200309,0,0,0,0,Jordan,约旦
1,0,0,0,1,0,20200310,0,0,0,0,Jordan,约旦
1,0,0,0,1,0,20200311,0,0,0,0,Jordan,约旦
1,0,0,0,1,0,20200312,0,0,0,0,Jordan,约旦
1,0,0,0,1,0,20200313,0,0,0,0,Jordan,约旦
1,0,0,0,1,0,20200314,0,0,0,0,Jordan,约旦
1,0,1,1,0,-1,20200315,0,0,0,0,Jordan,约旦
6,5,1,0,5,5,20200316,0,0,0,0,Jordan,约旦
35,29,1,0,34,29,20200317,0,0,0,0,Jordan,约旦
35,0,1,0,34,0,20200318,0,0,0,0,Jordan,约旦
70,35,1,0,69,35,20200319,0,0,0,0,Jordan,约旦
86,16,1,0,85,16,20200320,0,0,0,0,Jordan,约旦
99,13,1,0,98,13,20200321,0,0,0,0,Jordan,约旦
112,13,1,0,111,13,20200322,0,0,0,0,Jordan,约旦
127,15,1,0,126,15,20200323,0,0,0,0,Jordan,约旦
153,26,1,0,152,26,20200324,0,0,0,0,Jordan,约旦
172,19,1,0,171,19,20200325,0,0,0,0,Jordan,约旦
212,40,1,0,211,40,20200326,0,0,0,0,Jordan,约旦
235,23,17,16,218,7,20200327,0,0,0,0,Jordan,约旦
246,11,18,1,227,9,20200328,1,1,0,0,Jordan,约旦
259,13,18,0,239,12,20200329,2,1,0,0,Jordan,约旦
268,9,26,8,237,-2,20200330,5,3,0,0,Jordan,约旦
274,6,30,4,239,2,20200331,5,0,0,0,Jordan,约旦
278,4,36,6,237,-2,20200401,5,0,0,0,Jordan,约旦
299,21,45,9,249,12,20200402,5,0,0,0,Jordan,约旦
310,11,45,0,260,11,20200403,5,0,0,0,Jordan,约旦
323,13,74,29,244,-16,20200404,5,0,0,0,Jordan,约旦
345,22,110,36,230,-14,20200405,5,0,0,0,Jordan,约旦
349,4,126,16,218,-12,20200406,5,0,0,0,Jordan,约旦
353,4,138,12,209,-9,20200407,6,1,0,0,Jordan,约旦
358,5,150,12,202,-7,20200408,6,0,0,0,Jordan,约旦
372,14,161,11,204,2,20200409,7,1,0,0,Jordan,约旦
372,0,170,9,195,-9,20200410,7,0,0,0,Jordan,约旦
381,9,177,7,197,2,20200411,7,0,0,0,Jordan,约旦
389,8,201,24,181,-16,20200412,7,0,0,0,Jordan,约旦
391,2,215,14,169,-12,20200413,7,0,0,0,Jordan,约旦
397,6,235,20,155,-14,20200414,7,0,0,0,Jordan,约旦
401,4,250,15,144,-11,20200415,7,0,0,0,Jordan,约旦
402,1,259,9,136,-8,20200416,7,0,0,0,Jordan,约旦
407,5,265,6,135,-1,20200417,7,0,0,0,Jordan,约旦
413,6,269,4,137,2,20200418,7,0,0,0,Jordan,约旦
417,4,276,7,134,-3,20200419,7,0,0,0,Jordan,约旦
425,8,282,6,136,2,20200420,7,0,0,0,Jordan,约旦
428,3,297,15,124,-12,20200421,7,0,0,0,Jordan,约旦
435,7,297,0,131,7,20200422,7,0,0,0,Jordan,约旦
437,2,318,21,112,-19,20200423,7,0,0,0,Jordan,约旦
441,4,326,8,108,-4,20200424,7,0,0,0,Jordan,约旦
444,3,332,6,105,-3,20200425,7,0,0,0,Jordan,约旦
444,0,332,0,105,0,20200426,7,0,0,0,Jordan,约旦
447,3,337,5,103,-2,20200427,7,0,0,0,Jordan,约旦
449,2,348,11,93,-10,20200428,8,1,0,0,Jordan,约旦
451,2,356,8,87,-6,20200429,8,0,0,0,Jordan,约旦
453,2,362,6,83,-4,20200430,8,0,0,0,Jordan,约旦
459,6,364,2,87,4,20200501,8,0,0,0,Jordan,约旦
460,1,367,3,84,-3,20200502,9,1,0,0,Jordan,约旦
460,0,367,0,84,0,20200503,9,0,0,0,Jordan,约旦
461,1,367,0,85,1,20200504,9,0,0,0,Jordan,约旦
465,4,375,8,81,-4,20200505,9,0,0,0,Jordan,约旦
473,8,377,2,87,6,20200506,9,0,0,0,Jordan,约旦
484,11,381,4,94,7,20200507,9,0,0,0,Jordan,约旦
494,10,381,0,104,10,20200508,9,0,0,0,Jordan,约旦
508,14,381,0,118,14,20200509,9,0,0,0,Jordan,约旦
540,32,389,8,142,24,20200510,9,0,0,0,Jordan,约旦
562,22,390,1,163,21,20200511,9,0,0,0,Jordan,约旦
576,14,390,0,177,14,20200512,9,0,0,0,Jordan,约旦
582,6,390,0,183,6,20200513,9,0,0,0,Jordan,约旦
586,4,390,0,187,4,20200514,9,0,0,0,Jordan,约旦
596,10,390,0,197,10,20200515,9,0,0,0,Jordan,约旦
607,11,390,0,208,11,20200516,9,0,0,0,Jordan,约旦
613,6,390,0,214,6,20200517,9,0,0,0,Jordan,约旦
629,16,390,0,230,16,20200518,9,0,0,0,Jordan,约旦
649,20,413,23,227,-3,20200519,9,0,0,0,Jordan,约旦
672,23,446,33,217,-10,20200520,9,0,0,0,Jordan,约旦
684,12,457,11,218,1,20200521,9,0,0,0,Jordan,约旦
684,0,457,0,218,0,20200522,9,0,0,0,Jordan,约旦
700,16,457,0,234,16,20200523,9,0,0,0,Jordan,约旦
704,4,457,0,238,4,20200524,9,0,0,0,Jordan,约旦
708,4,457,0,242,4,20200525,9,0,0,0,Jordan,约旦
711,3,457,0,245,3,20200526,9,0,0,0,Jordan,约旦
718,7,457,0,252,7,20200527,9,0,0,0,Jordan,约旦
720,2,457,0,254,2,20200528,9,0,0,0,Jordan,约旦
728,8,457,0,262,8,20200529,9,0,0,0,Jordan,约旦
730,2,457,0,264,2,20200530,9,0,0,0,Jordan,约旦
734,4,457,0,268,4,20200531,9,0,0,0,Jordan,约旦
739,5,457,0,273,5,20200601,9,0,0,0,Jordan,约旦
746,7,457,0,280,7,20200602,9,0,0,0,Jordan,约旦
755,9,457,0,289,9,20200603,9,0,0,0,Jordan,约旦
757,2,457,0,291,2,20200604,9,0,0,0,Jordan,约旦
784,27,571,114,204,-87,20200605,9,0,0,0,Jordan,约旦
784,0,571,0,204,0,20200606,9,0,0,0,Jordan,约旦
795,11,571,0,215,11,20200607,9,0,0,0,Jordan,约旦
808,13,571,0,228,13,20200608,9,0,0,0,Jordan,约旦
831,23,571,0,251,23,20200609,9,0,0,0,Jordan,约旦
863,32,663,92,191,-60,20200610,9,0,0,0,Jordan,约旦
863,0,663,0,191,0,20200611,9,0,0,0,Jordan,约旦
890,27,663,0,218,27,20200612,9,0,0,0,Jordan,约旦
953,63,678,15,266,48,20200613,9,0,0,0,Jordan,约旦
953,0,678,0,266,0,20200614,9,0,0,0,Jordan,约旦
979,26,692,14,278,12,20200615,9,0,0,0,Jordan,约旦
979,0,692,0,278,0,20200616,9,0,0,0,Jordan,约旦
979,0,692,0,278,0,20200617,9,0,0,0,Jordan,约旦
987,8,692,0,286,8,20200618,9,0,0,0,Jordan,约旦
