confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
6,6,0,0,6,6,20200315,0,0,0,0,Kazakhstan,哈萨克斯坦
6,0,0,0,6,0,20200316,0,0,0,0,Kazakhstan,哈萨克斯坦
6,0,0,0,6,0,20200317,0,0,0,0,Kazakhstan,哈萨克斯坦
33,27,0,0,33,27,20200318,0,0,0,0,Kazakhstan,哈萨克斯坦
44,11,0,0,44,11,20200319,0,0,0,0,Kazakhstan,哈萨克斯坦
52,8,0,0,52,8,20200320,0,0,0,0,Kazakhstan,哈萨克斯坦
54,2,0,0,54,2,20200321,0,0,0,0,Kazakhstan,哈萨克斯坦
56,2,0,0,56,2,20200322,0,0,0,0,Kazakhstan,哈萨克斯坦
60,4,0,0,60,4,20200323,0,0,0,0,Kazakhstan,哈萨克斯坦
66,6,0,0,66,6,20200324,0,0,0,0,Kazakhstan,哈萨克斯坦
80,14,2,2,78,12,20200325,0,0,0,0,Kazakhstan,哈萨克斯坦
111,31,2,0,108,30,20200326,1,1,0,0,Kazakhstan,哈萨克斯坦
145,34,4,2,140,32,20200327,1,0,0,0,Kazakhstan,哈萨克斯坦
204,59,4,0,199,59,20200328,1,0,0,0,Kazakhstan,哈萨克斯坦
283,79,20,16,262,63,20200329,1,0,0,0,Kazakhstan,哈萨克斯坦
302,19,21,1,280,18,20200330,1,0,0,0,Kazakhstan,哈萨克斯坦
340,38,24,3,314,34,20200331,2,1,0,0,Kazakhstan,哈萨克斯坦
348,8,24,0,322,8,20200401,2,0,0,0,Kazakhstan,哈萨克斯坦
386,38,24,0,359,37,20200402,3,1,0,0,Kazakhstan,哈萨克斯坦
435,49,24,0,408,49,20200403,3,0,0,0,Kazakhstan,哈萨克斯坦
460,25,28,4,429,21,20200404,3,0,0,0,Kazakhstan,哈萨克斯坦
551,91,36,8,510,81,20200405,5,2,0,0,Kazakhstan,哈萨克斯坦
629,78,45,9,578,68,20200406,6,1,0,0,Kazakhstan,哈萨克斯坦
670,41,46,1,618,40,20200407,6,0,0,0,Kazakhstan,哈萨克斯坦
709,39,51,5,652,34,20200408,6,0,0,0,Kazakhstan,哈萨克斯坦
727,18,51,0,669,17,20200409,7,1,0,0,Kazakhstan,哈萨克斯坦
802,75,51,0,742,73,20200410,9,2,0,0,Kazakhstan,哈萨克斯坦
859,57,51,0,798,56,20200411,10,1,0,0,Kazakhstan,哈萨克斯坦
897,38,81,30,806,8,20200412,10,0,0,0,Kazakhstan,哈萨克斯坦
979,82,138,57,829,23,20200413,12,2,0,0,Kazakhstan,哈萨克斯坦
1091,112,138,0,941,112,20200414,12,0,0,0,Kazakhstan,哈萨克斯坦
1275,184,138,0,1125,184,20200415,12,0,0,0,Kazakhstan,哈萨克斯坦
1295,20,138,0,1141,16,20200416,16,4,0,0,Kazakhstan,哈萨克斯坦
1480,185,277,139,1186,45,20200417,17,1,0,0,Kazakhstan,哈萨克斯坦
1591,111,347,70,1227,41,20200418,17,0,0,0,Kazakhstan,哈萨克斯坦
1654,63,347,0,1290,63,20200419,17,0,0,0,Kazakhstan,哈萨克斯坦
1735,81,401,54,1315,25,20200420,19,2,0,0,Kazakhstan,哈萨克斯坦
1949,214,447,46,1483,168,20200421,19,0,0,0,Kazakhstan,哈萨克斯坦
2025,76,489,42,1517,34,20200422,19,0,0,0,Kazakhstan,哈萨克斯坦
2207,182,536,47,1651,134,20200423,20,1,0,0,Kazakhstan,哈萨克斯坦
2334,127,560,24,1752,101,20200424,22,2,0,0,Kazakhstan,哈萨克斯坦
2482,148,604,44,1853,101,20200425,25,3,0,0,Kazakhstan,哈萨克斯坦
2652,170,646,42,1981,128,20200426,25,0,0,0,Kazakhstan,哈萨克斯坦
2791,139,682,36,2084,103,20200427,25,0,0,0,Kazakhstan,哈萨克斯坦
3019,228,769,87,2225,141,20200428,25,0,0,0,Kazakhstan,哈萨克斯坦
3078,59,774,5,2279,54,20200429,25,0,0,0,Kazakhstan,哈萨克斯坦
3333,255,819,45,2489,210,20200430,25,0,0,0,Kazakhstan,哈萨克斯坦
3551,218,819,0,2707,218,20200501,25,0,0,0,Kazakhstan,哈萨克斯坦
3785,234,819,0,2941,234,20200502,25,0,0,0,Kazakhstan,哈萨克斯坦
3877,92,995,176,2856,-85,20200503,26,1,0,0,Kazakhstan,哈萨克斯坦
3988,111,995,0,2966,110,20200504,27,1,0,0,Kazakhstan,哈萨克斯坦
4160,172,995,0,3136,170,20200505,29,2,0,0,Kazakhstan,哈萨克斯坦
4298,138,995,0,3274,138,20200506,29,0,0,0,Kazakhstan,哈萨克斯坦
4509,211,995,0,3484,210,20200507,30,1,0,0,Kazakhstan,哈萨克斯坦
4578,69,995,0,3553,69,20200508,30,0,0,0,Kazakhstan,哈萨克斯坦
4922,344,995,0,3896,343,20200509,31,1,0,0,Kazakhstan,哈萨克斯坦
5056,134,1766,771,3259,-637,20200510,31,0,0,0,Kazakhstan,哈萨克斯坦
5138,82,1766,0,3341,82,20200511,31,0,0,0,Kazakhstan,哈萨克斯坦
5207,69,1766,0,3409,68,20200512,32,1,0,0,Kazakhstan,哈萨克斯坦
5417,210,2223,457,3162,-247,20200513,32,0,0,0,Kazakhstan,哈萨克斯坦
5571,154,2408,185,3130,-32,20200514,33,1,0,0,Kazakhstan,哈萨克斯坦
5689,118,2408,0,3247,117,20200515,34,1,0,0,Kazakhstan,哈萨克斯坦
5850,161,2408,0,3408,161,20200516,34,0,0,0,Kazakhstan,哈萨克斯坦
6157,307,2980,572,3143,-265,20200517,34,0,0,0,Kazakhstan,哈萨克斯坦
6440,283,3256,276,3150,7,20200518,34,0,0,0,Kazakhstan,哈萨克斯坦
6751,311,3256,0,3460,310,20200519,35,1,0,0,Kazakhstan,哈萨克斯坦
6969,218,3256,0,3678,218,20200520,35,0,0,0,Kazakhstan,哈萨克斯坦
7234,265,3734,478,3465,-213,20200521,35,0,0,0,Kazakhstan,哈萨克斯坦
7597,363,3843,109,3719,254,20200522,35,0,0,0,Kazakhstan,哈萨克斯坦
7919,322,4096,253,3788,69,20200523,35,0,0,0,Kazakhstan,哈萨克斯坦
8322,403,4214,118,4073,285,20200524,35,0,0,0,Kazakhstan,哈萨克斯坦
8531,209,4214,0,4282,209,20200525,35,0,0,0,Kazakhstan,哈萨克斯坦
8969,438,4214,0,4720,438,20200526,35,0,0,0,Kazakhstan,哈萨克斯坦
9304,335,4214,0,5053,333,20200527,37,2,0,0,Kazakhstan,哈萨克斯坦
9576,272,4214,0,5325,272,20200528,37,0,0,0,Kazakhstan,哈萨克斯坦
9932,356,4214,0,5681,356,20200529,37,0,0,0,Kazakhstan,哈萨克斯坦
10382,450,4214,0,6131,450,20200530,37,0,0,0,Kazakhstan,哈萨克斯坦
10858,476,4214,0,6606,475,20200531,38,1,0,0,Kazakhstan,哈萨克斯坦
11308,450,4214,0,7053,447,20200601,41,3,0,0,Kazakhstan,哈萨克斯坦
