confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200316,0,0,0,0,Kenya,肯尼亚
3,2,0,0,3,2,20200317,0,0,0,0,Kenya,肯尼亚
3,0,0,0,3,0,20200318,0,0,0,0,Kenya,肯尼亚
7,4,0,0,7,4,20200319,0,0,0,0,Kenya,肯尼亚
7,0,0,0,7,0,20200320,0,0,0,0,Kenya,肯尼亚
7,0,0,0,7,0,20200321,0,0,0,0,Kenya,肯尼亚
15,8,0,0,15,8,20200322,0,0,0,0,Kenya,肯尼亚
16,1,0,0,16,1,20200323,0,0,0,0,Kenya,肯尼亚
25,9,0,0,25,9,20200324,0,0,0,0,Kenya,肯尼亚
28,3,1,1,27,2,20200325,0,0,0,0,Kenya,肯尼亚
31,3,1,0,29,2,20200326,1,1,0,0,Kenya,肯尼亚
31,0,1,0,29,0,20200327,1,0,0,0,Kenya,肯尼亚
38,7,1,0,36,7,20200328,1,0,0,0,Kenya,肯尼亚
42,4,1,0,40,4,20200329,1,0,0,0,Kenya,肯尼亚
50,8,1,0,48,8,20200330,1,0,0,0,Kenya,肯尼亚
59,9,1,0,57,9,20200331,1,0,0,0,Kenya,肯尼亚
81,22,3,2,77,20,20200401,1,0,0,0,Kenya,肯尼亚
110,29,3,0,104,27,20200402,3,2,0,0,Kenya,肯尼亚
122,12,4,1,114,10,20200403,4,1,0,0,Kenya,肯尼亚
126,4,4,0,118,4,20200404,4,0,0,0,Kenya,肯尼亚
142,16,4,0,134,16,20200405,4,0,0,0,Kenya,肯尼亚
158,16,4,0,148,14,20200406,6,2,0,0,Kenya,肯尼亚
172,14,7,3,159,11,20200407,6,0,0,0,Kenya,肯尼亚
179,7,7,0,166,7,20200408,6,0,0,0,Kenya,肯尼亚
184,5,12,5,165,-1,20200409,7,1,0,0,Kenya,肯尼亚
189,5,22,10,160,-5,20200410,7,0,0,0,Kenya,肯尼亚
191,2,24,2,160,0,20200411,7,0,0,0,Kenya,肯尼亚
197,6,25,1,165,5,20200412,7,0,0,0,Kenya,肯尼亚
208,11,40,15,159,-6,20200413,9,2,0,0,Kenya,肯尼亚
216,8,40,0,167,8,20200414,9,0,0,0,Kenya,肯尼亚
225,9,53,13,162,-5,20200415,10,1,0,0,Kenya,肯尼亚
234,9,53,0,170,8,20200416,11,1,0,0,Kenya,肯尼亚
246,12,53,0,182,12,20200417,11,0,0,0,Kenya,肯尼亚
262,16,60,7,189,7,20200418,13,2,0,0,Kenya,肯尼亚
270,8,67,7,189,0,20200419,14,1,0,0,Kenya,肯尼亚
281,11,69,2,198,9,20200420,14,0,0,0,Kenya,肯尼亚
296,15,74,5,208,10,20200421,14,0,0,0,Kenya,肯尼亚
303,7,83,9,206,-2,20200422,14,0,0,0,Kenya,肯尼亚
320,17,89,6,217,11,20200423,14,0,0,0,Kenya,肯尼亚
336,16,94,5,228,11,20200424,14,0,0,0,Kenya,肯尼亚
343,7,98,4,231,3,20200425,14,0,0,0,Kenya,肯尼亚
343,0,98,0,231,0,20200426,14,0,0,0,Kenya,肯尼亚
363,20,114,16,235,4,20200427,14,0,0,0,Kenya,肯尼亚
374,11,124,10,236,1,20200428,14,0,0,0,Kenya,肯尼亚
384,10,129,5,241,5,20200429,14,0,0,0,Kenya,肯尼亚
396,12,144,15,235,-6,20200430,17,3,0,0,Kenya,肯尼亚
411,15,150,6,240,5,20200501,21,4,0,0,Kenya,肯尼亚
435,24,152,2,261,21,20200502,22,1,0,0,Kenya,肯尼亚
465,30,167,15,274,13,20200503,24,2,0,0,Kenya,肯尼亚
490,25,173,6,293,19,20200504,24,0,0,0,Kenya,肯尼亚
535,45,182,9,329,36,20200505,24,0,0,0,Kenya,肯尼亚
582,47,190,8,366,37,20200506,26,2,0,0,Kenya,肯尼亚
607,25,197,7,381,15,20200507,29,3,0,0,Kenya,肯尼亚
607,0,197,0,381,0,20200508,29,0,0,0,Kenya,肯尼亚
649,42,207,10,412,31,20200509,30,1,0,0,Kenya,肯尼亚
672,23,239,32,401,-11,20200510,32,2,0,0,Kenya,肯尼亚
700,28,251,12,416,15,20200511,33,1,0,0,Kenya,肯尼亚
715,15,259,8,420,4,20200512,36,3,0,0,Kenya,肯尼亚
