confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
3,3,0,0,3,3,20200224,0,0,0,0,Kuwait,科威特
8,5,0,0,8,5,20200225,0,0,0,0,Kuwait,科威特
12,4,0,0,12,4,20200226,0,0,0,0,Kuwait,科威特
43,31,0,0,43,31,20200227,0,0,0,0,Kuwait,科威特
43,0,0,0,43,0,20200228,0,0,0,0,Kuwait,科威特
45,2,0,0,45,2,20200229,0,0,0,0,Kuwait,科威特
45,0,0,0,45,0,20200301,0,0,0,0,Kuwait,科威特
56,11,0,0,56,11,20200302,0,0,0,0,Kuwait,科威特
56,0,0,0,56,0,20200303,0,0,0,0,Kuwait,科威特
56,0,0,0,56,0,20200304,0,0,0,0,Kuwait,科威特
58,2,0,0,58,2,20200305,0,0,0,0,Kuwait,科威特
58,0,0,0,58,0,20200306,0,0,0,0,Kuwait,科威特
58,0,0,0,58,0,20200307,0,0,0,0,Kuwait,科威特
62,4,0,0,62,4,20200308,0,0,0,0,Kuwait,科威特
64,2,0,0,64,2,20200309,0,0,0,0,Kuwait,科威特
65,1,0,0,65,1,20200310,0,0,0,0,Kuwait,科威特
69,4,0,0,69,4,20200311,0,0,0,0,Kuwait,科威特
80,11,0,0,80,11,20200312,0,0,0,0,Kuwait,科威特
80,0,0,0,80,0,20200313,0,0,0,0,Kuwait,科威特
100,20,0,0,100,20,20200314,0,0,0,0,Kuwait,科威特
112,12,5,5,107,7,20200315,0,0,0,0,Kuwait,科威特
112,0,5,0,107,0,20200316,0,0,0,0,Kuwait,科威特
130,18,12,7,118,11,20200317,0,0,0,0,Kuwait,科威特
130,0,12,0,118,0,20200318,0,0,0,0,Kuwait,科威特
148,18,12,0,136,18,20200319,0,0,0,0,Kuwait,科威特
159,11,12,0,147,11,20200320,0,0,0,0,Kuwait,科威特
176,17,27,15,149,2,20200321,0,0,0,0,Kuwait,科威特
188,12,30,3,158,9,20200322,0,0,0,0,Kuwait,科威特
189,1,30,0,159,1,20200323,0,0,0,0,Kuwait,科威特
191,2,39,9,152,-7,20200324,0,0,0,0,Kuwait,科威特
195,4,43,4,152,0,20200325,0,0,0,0,Kuwait,科威特
208,13,49,6,159,7,20200326,0,0,0,0,Kuwait,科威特
225,17,57,8,168,9,20200327,0,0,0,0,Kuwait,科威特
235,10,64,7,171,3,20200328,0,0,0,0,Kuwait,科威特
255,20,64,0,191,20,20200329,0,0,0,0,Kuwait,科威特
266,11,72,8,194,3,20200330,0,0,0,0,Kuwait,科威特
289,23,73,1,216,22,20200331,0,0,0,0,Kuwait,科威特
317,28,73,0,244,28,20200401,0,0,0,0,Kuwait,科威特
342,25,81,8,261,17,20200402,0,0,0,0,Kuwait,科威特
417,75,82,1,335,74,20200403,0,0,0,0,Kuwait,科威特
479,62,93,11,385,50,20200404,1,1,0,0,Kuwait,科威特
556,77,99,6,451,66,20200405,6,5,0,0,Kuwait,科威特
665,109,103,4,556,105,20200406,6,0,0,0,Kuwait,科威特
743,78,105,2,637,81,20200407,1,-5,0,0,Kuwait,科威特
855,112,112,7,742,105,20200408,1,0,0,0,Kuwait,科威特
910,55,112,0,797,55,20200409,1,0,0,0,Kuwait,科威特
993,83,112,0,880,83,20200410,1,0,0,0,Kuwait,科威特
1154,161,112,0,1041,161,20200411,1,0,0,0,Kuwait,科威特
1234,80,142,30,1091,50,20200412,1,0,0,0,Kuwait,科威特
1300,66,150,8,1148,57,20200413,2,1,0,0,Kuwait,科威特
1355,55,176,26,1176,28,20200414,3,1,0,0,Kuwait,科威特
1405,50,206,30,1196,20,20200415,3,0,0,0,Kuwait,科威特
1524,119,225,19,1296,100,20200416,3,0,0,0,Kuwait,科威特
1658,134,258,33,1395,99,20200417,5,2,0,0,Kuwait,科威特
1751,93,280,22,1466,71,20200418,5,0,0,0,Kuwait,科威特
1915,164,305,25,1603,137,20200419,7,2,0,0,Kuwait,科威特
1995,80,367,62,1621,18,20200420,7,0,0,0,Kuwait,科威特
2080,85,412,45,1657,36,20200421,11,4,0,0,Kuwait,科威特
2248,168,443,31,1792,135,20200422,13,2,0,0,Kuwait,科威特
2399,151,498,55,1887,95,20200423,14,1,0,0,Kuwait,科威特
2614,215,613,115,1986,99,20200424,15,1,0,0,Kuwait,科威特
2892,278,656,43,2217,231,20200425,19,4,0,0,Kuwait,科威特
3075,183,806,150,2249,32,20200426,20,1,0,0,Kuwait,科威特
3288,213,1012,206,2254,5,20200427,22,2,0,0,Kuwait,科威特
3440,152,1176,164,2241,-13,20200428,23,1,0,0,Kuwait,科威特
3740,300,1389,213,2327,86,20200429,24,1,0,0,Kuwait,科威特
4024,284,1539,150,2459,132,20200430,26,2,0,0,Kuwait,科威特
4377,353,1602,63,2745,286,20200501,30,4,0,0,Kuwait,科威特
4619,242,1703,101,2883,138,20200502,33,3,0,0,Kuwait,科威特
4893,274,1776,73,3079,196,20200503,38,5,0,0,Kuwait,科威特
5278,385,1947,171,3291,212,20200504,40,2,0,0,Kuwait,科威特
5804,526,2032,85,3732,441,20200505,40,0,0,0,Kuwait,科威特
6289,485,2219,187,4028,296,20200506,42,2,0,0,Kuwait,科威特
6567,278,2381,162,4142,114,20200507,44,2,0,0,Kuwait,科威特
7208,641,2466,85,4695,553,20200508,47,3,0,0,Kuwait,科威特
7623,415,2622,156,4952,257,20200509,49,2,0,0,Kuwait,科威特
8688,1065,2729,107,5901,949,20200510,58,9,0,0,Kuwait,科威特
9286,598,2907,178,6314,413,20200511,65,7,0,0,Kuwait,科威特
10277,991,3101,194,7101,787,20200512,75,10,0,0,Kuwait,科威特
11028,751,3263,162,7683,582,20200513,82,7,0,0,Kuwait,科威特
