confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
3,3,0,0,3,3,20200319,0,0,0,0,Kyrgyzstan,吉尔吉斯斯坦
6,3,0,0,6,3,20200320,0,0,0,0,Kyrgyzstan,吉尔吉斯斯坦
12,6,0,0,12,6,20200321,0,0,0,0,Kyrgyzstan,吉尔吉斯斯坦
14,2,0,0,14,2,20200322,0,0,0,0,Kyrgyzstan,吉尔吉斯斯坦
16,2,0,0,16,2,20200323,0,0,0,0,Kyrgyzstan,吉尔吉斯斯坦
16,0,0,0,16,0,20200324,0,0,0,0,Kyrgyzstan,吉尔吉斯斯坦
42,26,0,0,42,26,20200325,0,0,0,0,Kyrgyzstan,吉尔吉斯斯坦
44,2,0,0,44,2,20200326,0,0,0,0,Kyrgyzstan,吉尔吉斯斯坦
58,14,0,0,58,14,20200327,0,0,0,0,Kyrgyzstan,吉尔吉斯斯坦
58,0,0,0,58,0,20200328,0,0,0,0,Kyrgyzstan,吉尔吉斯斯坦
84,26,0,0,84,26,20200329,0,0,0,0,Kyrgyzstan,吉尔吉斯斯坦
84,0,0,0,84,0,20200330,0,0,0,0,Kyrgyzstan,吉尔吉斯斯坦
107,23,0,0,107,23,20200331,0,0,0,0,Kyrgyzstan,吉尔吉斯斯坦
111,4,0,0,111,4,20200401,0,0,0,0,Kyrgyzstan,吉尔吉斯斯坦
116,5,0,0,116,5,20200402,0,0,0,0,Kyrgyzstan,吉尔吉斯斯坦
130,14,0,0,129,13,20200403,1,1,0,0,Kyrgyzstan,吉尔吉斯斯坦
144,14,0,0,143,14,20200404,1,0,0,0,Kyrgyzstan,吉尔吉斯斯坦
147,3,0,0,146,3,20200405,1,0,0,0,Kyrgyzstan,吉尔吉斯斯坦
216,69,16,16,196,50,20200406,4,3,0,0,Kyrgyzstan,吉尔吉斯斯坦
228,12,33,17,191,-5,20200407,4,0,0,0,Kyrgyzstan,吉尔吉斯斯坦
270,42,33,0,233,42,20200408,4,0,0,0,Kyrgyzstan,吉尔吉斯斯坦
280,10,33,0,243,10,20200409,4,0,0,0,Kyrgyzstan,吉尔吉斯斯坦
298,18,33,0,260,17,20200410,5,1,0,0,Kyrgyzstan,吉尔吉斯斯坦
