confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200303,0,0,0,0,Latvia,拉脱维亚
1,0,0,0,1,0,20200304,0,0,0,0,Latvia,拉脱维亚
1,0,0,0,1,0,20200305,0,0,0,0,Latvia,拉脱维亚
1,0,0,0,1,0,20200306,0,0,0,0,Latvia,拉脱维亚
1,0,0,0,1,0,20200307,0,0,0,0,Latvia,拉脱维亚
1,0,0,0,1,0,20200308,0,0,0,0,Latvia,拉脱维亚
3,2,0,0,3,2,20200309,0,0,0,0,Latvia,拉脱维亚
6,3,0,0,6,3,20200310,0,0,0,0,Latvia,拉脱维亚
8,2,0,0,8,2,20200311,0,0,0,0,Latvia,拉脱维亚
16,8,0,0,16,8,20200312,0,0,0,0,Latvia,拉脱维亚
16,0,0,0,16,0,20200313,0,0,0,0,Latvia,拉脱维亚
16,0,0,0,16,0,20200314,0,0,0,0,Latvia,拉脱维亚
30,14,0,0,30,14,20200315,0,0,0,0,Latvia,拉脱维亚
31,1,0,0,31,1,20200316,0,0,0,0,Latvia,拉脱维亚
36,5,0,0,36,5,20200317,0,0,0,0,Latvia,拉脱维亚
60,24,0,0,60,24,20200318,0,0,0,0,Latvia,拉脱维亚
86,26,0,0,86,26,20200319,0,0,0,0,Latvia,拉脱维亚
111,25,0,0,111,25,20200320,0,0,0,0,Latvia,拉脱维亚
124,13,0,0,124,13,20200321,0,0,0,0,Latvia,拉脱维亚
139,15,0,0,139,15,20200322,0,0,0,0,Latvia,拉脱维亚
180,41,0,0,180,41,20200323,0,0,0,0,Latvia,拉脱维亚
197,17,0,0,197,17,20200324,0,0,0,0,Latvia,拉脱维亚
221,24,0,0,221,24,20200325,0,0,0,0,Latvia,拉脱维亚
244,23,0,0,244,23,20200326,0,0,0,0,Latvia,拉脱维亚
280,36,0,0,280,36,20200327,0,0,0,0,Latvia,拉脱维亚
305,25,0,0,305,25,20200328,0,0,0,0,Latvia,拉脱维亚
347,42,0,0,347,42,20200329,0,0,0,0,Latvia,拉脱维亚
376,29,0,0,376,29,20200330,0,0,0,0,Latvia,拉脱维亚
398,22,0,0,398,22,20200331,0,0,0,0,Latvia,拉脱维亚
446,48,0,0,446,48,20200401,0,0,0,0,Latvia,拉脱维亚
458,12,0,0,458,12,20200402,0,0,0,0,Latvia,拉脱维亚
493,35,0,0,492,34,20200403,1,1,0,0,Latvia,拉脱维亚
509,16,0,0,508,16,20200404,1,0,0,0,Latvia,拉脱维亚
533,24,0,0,532,24,20200405,1,0,0,0,Latvia,拉脱维亚
542,9,0,0,541,9,20200406,1,0,0,0,Latvia,拉脱维亚
548,6,0,0,546,5,20200407,2,1,0,0,Latvia,拉脱维亚
577,29,0,0,575,29,20200408,2,0,0,0,Latvia,拉脱维亚
589,12,0,0,587,12,20200409,2,0,0,0,Latvia,拉脱维亚
589,0,0,0,587,0,20200410,2,0,0,0,Latvia,拉脱维亚
630,41,0,0,627,40,20200411,3,1,0,0,Latvia,拉脱维亚
651,21,0,0,646,19,20200412,5,2,0,0,Latvia,拉脱维亚
653,2,0,0,648,2,20200413,5,0,0,0,Latvia,拉脱维亚
657,4,0,0,652,4,20200414,5,0,0,0,Latvia,拉脱维亚
666,9,0,0,661,9,20200415,5,0,0,0,Latvia,拉脱维亚
675,9,57,57,613,-48,20200416,5,0,0,0,Latvia,拉脱维亚
682,7,88,31,589,-24,20200417,5,0,0,0,Latvia,拉脱维亚
682,0,88,0,589,0,20200418,5,0,0,0,Latvia,拉脱维亚
727,45,64,-24,658,69,20200419,5,0,0,0,Latvia,拉脱维亚
739,12,64,0,670,12,20200420,5,0,0,0,Latvia,拉脱维亚
748,9,67,3,676,6,20200421,5,0,0,0,Latvia,拉脱维亚
761,13,71,4,679,3,20200422,11,6,0,0,Latvia,拉脱维亚
778,17,133,62,634,-45,20200423,11,0,0,0,Latvia,拉脱维亚
784,6,133,0,639,5,20200424,12,1,0,0,Latvia,拉脱维亚
804,20,267,134,525,-114,20200425,12,0,0,0,Latvia,拉脱维亚
804,0,267,0,525,0,20200426,12,0,0,0,Latvia,拉脱维亚
812,8,267,0,533,8,20200427,12,0,0,0,Latvia,拉脱维亚
818,6,267,0,538,5,20200428,13,1,0,0,Latvia,拉脱维亚
849,31,348,81,486,-52,20200429,15,2,0,0,Latvia,拉脱维亚
858,9,348,0,495,9,20200430,15,0,0,0,Latvia,拉脱维亚
870,12,348,0,506,11,20200501,16,1,0,0,Latvia,拉脱维亚
871,1,348,0,507,1,20200502,16,0,0,0,Latvia,拉脱维亚
871,0,348,0,507,0,20200503,16,0,0,0,Latvia,拉脱维亚
871,0,348,0,507,0,20200504,16,0,0,0,Latvia,拉脱维亚
896,25,348,0,531,24,20200505,17,1,0,0,Latvia,拉脱维亚
900,4,102,-246,781,250,20200506,17,0,0,0,Latvia,拉脱维亚
909,9,105,3,786,5,20200507,18,1,0,0,Latvia,拉脱维亚
909,0,105,0,786,0,20200508,18,0,0,0,Latvia,拉脱维亚
928,19,105,0,805,19,20200509,18,0,0,0,Latvia,拉脱维亚
930,2,105,0,807,2,20200510,18,0,0,0,Latvia,拉脱维亚
946,16,464,359,464,-343,20200511,18,0,0,0,Latvia,拉脱维亚
950,4,464,0,468,4,20200512,18,0,0,0,Latvia,拉脱维亚
950,0,464,0,468,0,20200513,18,0,0,0,Latvia,拉脱维亚
951,1,464,0,468,0,20200514,19,1,0,0,Latvia,拉脱维亚
962,11,464,0,479,11,20200515,19,0,0,0,Latvia,拉脱维亚
970,8,464,0,487,8,20200516,19,0,0,0,Latvia,拉脱维亚
997,27,464,0,514,27,20200517,19,0,0,0,Latvia,拉脱维亚
1008,11,464,0,525,11,20200518,19,0,0,0,Latvia,拉脱维亚
