confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200222,0,0,0,0,Lebanon,黎巴嫩
1,0,0,0,1,0,20200223,0,0,0,0,Lebanon,黎巴嫩
1,0,0,0,1,0,20200224,0,0,0,0,Lebanon,黎巴嫩
1,0,0,0,1,0,20200225,0,0,0,0,Lebanon,黎巴嫩
1,0,0,0,1,0,20200226,0,0,0,0,Lebanon,黎巴嫩
2,1,0,0,2,1,20200227,0,0,0,0,Lebanon,黎巴嫩
2,0,0,0,2,0,20200228,0,0,0,0,Lebanon,黎巴嫩
2,0,0,0,2,0,20200229,0,0,0,0,Lebanon,黎巴嫩
2,0,0,0,2,0,20200301,0,0,0,0,Lebanon,黎巴嫩
10,8,0,0,10,8,20200302,0,0,0,0,Lebanon,黎巴嫩
13,3,0,0,13,3,20200303,0,0,0,0,Lebanon,黎巴嫩
13,0,0,0,13,0,20200304,0,0,0,0,Lebanon,黎巴嫩
13,0,0,0,13,0,20200305,0,0,0,0,Lebanon,黎巴嫩
16,3,0,0,16,3,20200306,0,0,0,0,Lebanon,黎巴嫩
22,6,0,0,22,6,20200307,0,0,0,0,Lebanon,黎巴嫩
28,6,0,0,28,6,20200308,0,0,0,0,Lebanon,黎巴嫩
32,4,0,0,32,4,20200309,0,0,0,0,Lebanon,黎巴嫩
41,9,0,0,41,9,20200310,0,0,0,0,Lebanon,黎巴嫩
41,0,0,0,40,-1,20200311,1,1,0,0,Lebanon,黎巴嫩
66,25,0,0,63,23,20200312,3,2,0,0,Lebanon,黎巴嫩
66,0,0,0,63,0,20200313,3,0,0,0,Lebanon,黎巴嫩
77,11,0,0,73,10,20200314,4,1,0,0,Lebanon,黎巴嫩
93,16,1,1,89,16,20200315,3,-1,0,0,Lebanon,黎巴嫩
99,6,1,0,95,6,20200316,3,0,0,0,Lebanon,黎巴嫩
109,10,1,0,105,10,20200317,3,0,0,0,Lebanon,黎巴嫩
120,11,1,0,116,11,20200318,3,0,0,0,Lebanon,黎巴嫩
158,38,1,0,154,38,20200319,3,0,0,0,Lebanon,黎巴嫩
177,19,1,0,172,18,20200320,4,1,0,0,Lebanon,黎巴嫩
230,53,8,7,218,46,20200321,4,0,0,0,Lebanon,黎巴嫩
245,15,8,0,233,15,20200322,4,0,0,0,Lebanon,黎巴嫩
267,22,8,0,255,22,20200323,4,0,0,0,Lebanon,黎巴嫩
304,37,8,0,292,37,20200324,4,0,0,0,Lebanon,黎巴嫩
333,29,8,0,321,29,20200325,4,0,0,0,Lebanon,黎巴嫩
368,35,20,12,342,21,20200326,6,2,0,0,Lebanon,黎巴嫩
391,23,23,3,362,20,20200327,6,0,0,0,Lebanon,黎巴嫩
412,21,27,4,377,15,20200328,8,2,0,0,Lebanon,黎巴嫩
438,26,30,3,398,21,20200329,10,2,0,0,Lebanon,黎巴嫩
446,8,32,2,403,5,20200330,11,1,0,0,Lebanon,黎巴嫩
463,17,35,3,416,13,20200331,12,1,0,0,Lebanon,黎巴嫩
479,16,37,2,430,14,20200401,12,0,0,0,Lebanon,黎巴嫩
494,15,43,6,435,5,20200402,16,4,0,0,Lebanon,黎巴嫩
508,14,46,3,445,10,20200403,17,1,0,0,Lebanon,黎巴嫩
520,12,50,4,453,8,20200404,17,0,0,0,Lebanon,黎巴嫩
527,7,54,4,455,2,20200405,18,1,0,0,Lebanon,黎巴嫩
541,14,55,1,467,12,20200406,19,1,0,0,Lebanon,黎巴嫩
