confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200513,0,0,0,0,Lesotho,莱索托
1,0,0,0,1,0,20200514,0,0,0,0,Lesotho,莱索托
1,0,0,0,1,0,20200515,0,0,0,0,Lesotho,莱索托
1,0,0,0,1,0,20200516,0,0,0,0,Lesotho,莱索托
1,0,0,0,1,0,20200517,0,0,0,0,Lesotho,莱索托
1,0,0,0,1,0,20200518,0,0,0,0,Lesotho,莱索托
1,0,0,0,1,0,20200519,0,0,0,0,Lesotho,莱索托
1,0,0,0,1,0,20200520,0,0,0,0,Lesotho,莱索托
1,0,0,0,1,0,20200521,0,0,0,0,Lesotho,莱索托
1,0,0,0,1,0,20200522,0,0,0,0,Lesotho,莱索托
2,1,0,0,2,1,20200523,0,0,0,0,Lesotho,莱索托
2,0,0,0,2,0,20200524,0,0,0,0,Lesotho,莱索托
2,0,0,0,2,0,20200525,0,0,0,0,Lesotho,莱索托
2,0,0,0,2,0,20200526,0,0,0,0,Lesotho,莱索托
2,0,0,0,2,0,20200527,0,0,0,0,Lesotho,莱索托
2,0,0,0,2,0,20200528,0,0,0,0,Lesotho,莱索托
2,0,0,0,2,0,20200529,0,0,0,0,Lesotho,莱索托
2,0,0,0,2,0,20200530,0,0,0,0,Lesotho,莱索托
2,0,0,0,2,0,20200531,0,0,0,0,Lesotho,莱索托
2,0,0,0,2,0,20200601,0,0,0,0,Lesotho,莱索托
2,0,0,0,2,0,20200602,0,0,0,0,Lesotho,莱索托
2,0,0,0,2,0,20200603,0,0,0,0,Lesotho,莱索托
4,2,0,0,4,2,20200604,0,0,0,0,Lesotho,莱索托
4,0,0,0,4,0,20200605,0,0,0,0,Lesotho,莱索托
4,0,0,0,4,0,20200606,0,0,0,0,Lesotho,莱索托
4,0,0,0,4,0,20200607,0,0,0,0,Lesotho,莱索托
4,0,0,0,4,0,20200608,0,0,0,0,Lesotho,莱索托
4,0,0,0,4,0,20200609,0,0,0,0,Lesotho,莱索托
4,0,0,0,4,0,20200610,0,0,0,0,Lesotho,莱索托
4,0,0,0,4,0,20200611,0,0,0,0,Lesotho,莱索托
4,0,0,0,4,0,20200612,0,0,0,0,Lesotho,莱索托
4,0,0,0,4,0,20200613,0,0,0,0,Lesotho,莱索托
4,0,0,0,4,0,20200614,0,0,0,0,Lesotho,莱索托
4,0,0,0,4,0,20200615,0,0,0,0,Lesotho,莱索托
4,0,0,0,4,0,20200616,0,0,0,0,Lesotho,莱索托
4,0,0,0,4,0,20200617,0,0,0,0,Lesotho,莱索托
4,0,0,0,4,0,20200618,0,0,0,0,Lesotho,莱索托
4,0,0,0,4,0,20200619,0,0,0,0,Lesotho,莱索托
4,0,0,0,4,0,20200620,0,0,0,0,Lesotho,莱索托
4,0,0,0,4,0,20200621,0,0,0,0,Lesotho,莱索托
4,0,0,0,4,0,20200622,0,0,0,0,Lesotho,莱索托
12,8,0,0,12,8,20200623,0,0,0,0,Lesotho,莱索托
17,5,0,0,17,5,20200624,0,0,0,0,Lesotho,莱索托
19,2,0,0,19,2,20200625,0,0,0,0,Lesotho,莱索托
20,1,0,0,20,1,20200626,0,0,0,0,Lesotho,莱索托
24,4,0,0,24,4,20200627,0,0,0,0,Lesotho,莱索托
24,0,0,0,24,0,20200628,0,0,0,0,Lesotho,莱索托
27,3,0,0,27,3,20200629,0,0,0,0,Lesotho,莱索托
27,0,0,0,27,0,20200630,0,0,0,0,Lesotho,莱索托
27,0,0,0,27,0,20200701,0,0,0,0,Lesotho,莱索托
35,8,0,0,35,8,20200702,0,0,0,0,Lesotho,莱索托
35,0,0,0,35,0,20200703,0,0,0,0,Lesotho,莱索托
63,28,0,0,63,28,20200704,0,0,0,0,Lesotho,莱索托
79,16,0,0,79,16,20200705,0,0,0,0,Lesotho,莱索托
91,12,0,0,91,12,20200706,0,0,0,0,Lesotho,莱索托
91,0,0,0,91,0,20200707,0,0,0,0,Lesotho,莱索托
91,0,0,0,91,0,20200708,0,0,0,0,Lesotho,莱索托
