confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200325,0,0,0,0,Libya,利比亚
1,0,0,0,1,0,20200326,0,0,0,0,Libya,利比亚
1,0,0,0,1,0,20200327,0,0,0,0,Libya,利比亚
1,0,0,0,1,0,20200328,0,0,0,0,Libya,利比亚
3,2,0,0,3,2,20200329,0,0,0,0,Libya,利比亚
8,5,0,0,8,5,20200330,0,0,0,0,Libya,利比亚
8,0,0,0,8,0,20200331,0,0,0,0,Libya,利比亚
10,2,0,0,10,2,20200401,0,0,0,0,Libya,利比亚
11,1,0,0,10,0,20200402,1,1,0,0,Libya,利比亚
11,0,0,0,10,0,20200403,1,0,0,0,Libya,利比亚
17,6,0,0,16,6,20200404,1,0,0,0,Libya,利比亚
18,1,0,0,17,1,20200405,1,0,0,0,Libya,利比亚
19,1,0,0,18,1,20200406,1,0,0,0,Libya,利比亚
21,2,0,0,20,2,20200407,1,0,0,0,Libya,利比亚
21,0,0,0,20,0,20200408,1,0,0,0,Libya,利比亚
21,0,8,8,12,-8,20200409,1,0,0,0,Libya,利比亚
37,16,3,-5,29,17,20200410,5,4,0,0,Libya,利比亚
37,0,3,0,29,0,20200411,5,0,0,0,Libya,利比亚
25,-12,9,6,11,-18,20200412,5,0,0,0,Libya,利比亚
26,1,9,0,16,5,20200413,1,-4,0,0,Libya,利比亚
35,9,9,0,25,9,20200414,1,0,0,0,Libya,利比亚
35,0,9,0,25,0,20200415,1,0,0,0,Libya,利比亚
49,14,11,2,37,12,20200416,1,0,0,0,Libya,利比亚
49,0,11,0,37,0,20200417,1,0,0,0,Libya,利比亚
49,0,11,0,37,0,20200418,1,0,0,0,Libya,利比亚
51,2,11,0,39,2,20200419,1,0,0,0,Libya,利比亚
51,0,11,0,39,0,20200420,1,0,0,0,Libya,利比亚
51,0,14,3,36,-3,20200421,1,0,0,0,Libya,利比亚
59,8,15,1,43,7,20200422,1,0,0,0,Libya,利比亚
60,1,15,0,44,1,20200423,1,0,0,0,Libya,利比亚
60,0,15,0,43,-1,20200424,2,1,0,0,Libya,利比亚
61,1,18,3,41,-2,20200425,2,0,0,0,Libya,利比亚
61,0,18,0,41,0,20200426,2,0,0,0,Libya,利比亚
61,0,18,0,41,0,20200427,2,0,0,0,Libya,利比亚
61,0,18,0,41,0,20200428,2,0,0,0,Libya,利比亚
61,0,18,0,41,0,20200429,2,0,0,0,Libya,利比亚
61,0,18,0,41,0,20200430,2,0,0,0,Libya,利比亚
