confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200305,0,0,0,0,Liechtenstein,列支敦士登
1,0,0,0,1,0,20200306,0,0,0,0,Liechtenstein,列支敦士登
1,0,0,0,1,0,20200307,0,0,0,0,Liechtenstein,列支敦士登
1,0,0,0,1,0,20200308,0,0,0,0,Liechtenstein,列支敦士登
1,0,0,0,1,0,20200309,0,0,0,0,Liechtenstein,列支敦士登
1,0,0,0,1,0,20200310,0,0,0,0,Liechtenstein,列支敦士登
1,0,0,0,1,0,20200311,0,0,0,0,Liechtenstein,列支敦士登
1,0,0,0,1,0,20200312,0,0,0,0,Liechtenstein,列支敦士登
4,3,0,0,4,3,20200313,0,0,0,0,Liechtenstein,列支敦士登
4,0,0,0,4,0,20200314,0,0,0,0,Liechtenstein,列支敦士登
4,0,0,0,4,0,20200315,0,0,0,0,Liechtenstein,列支敦士登
7,3,0,0,7,3,20200316,0,0,0,0,Liechtenstein,列支敦士登
7,0,0,0,7,0,20200317,0,0,0,0,Liechtenstein,列支敦士登
7,0,0,0,7,0,20200318,0,0,0,0,Liechtenstein,列支敦士登
7,0,0,0,7,0,20200319,0,0,0,0,Liechtenstein,列支敦士登
25,18,0,0,25,18,20200320,0,0,0,0,Liechtenstein,列支敦士登
34,9,0,0,34,9,20200321,0,0,0,0,Liechtenstein,列支敦士登
36,2,0,0,36,2,20200322,0,0,0,0,Liechtenstein,列支敦士登
46,10,0,0,46,10,20200323,0,0,0,0,Liechtenstein,列支敦士登
46,0,0,0,46,0,20200324,0,0,0,0,Liechtenstein,列支敦士登
47,1,0,0,47,1,20200325,0,0,0,0,Liechtenstein,列支敦士登
51,4,0,0,51,4,20200326,0,0,0,0,Liechtenstein,列支敦士登
56,5,0,0,56,5,20200327,0,0,0,0,Liechtenstein,列支敦士登
60,4,0,0,60,4,20200328,0,0,0,0,Liechtenstein,列支敦士登
61,1,0,0,61,1,20200329,0,0,0,0,Liechtenstein,列支敦士登
62,1,0,0,62,1,20200330,0,0,0,0,Liechtenstein,列支敦士登
64,2,0,0,64,2,20200331,0,0,0,0,Liechtenstein,列支敦士登
68,4,0,0,68,4,20200401,0,0,0,0,Liechtenstein,列支敦士登
72,4,0,0,72,4,20200402,0,0,0,0,Liechtenstein,列支敦士登
75,3,0,0,75,3,20200403,0,0,0,0,Liechtenstein,列支敦士登
76,1,0,0,76,1,20200404,0,0,0,0,Liechtenstein,列支敦士登
77,1,0,0,76,0,20200405,1,1,0,0,Liechtenstein,列支敦士登
78,1,0,0,77,1,20200406,1,0,0,0,Liechtenstein,列支敦士登
78,0,0,0,77,0,20200407,1,0,0,0,Liechtenstein,列支敦士登
78,0,0,0,77,0,20200408,1,0,0,0,Liechtenstein,列支敦士登
79,1,0,0,78,1,20200409,1,0,0,0,Liechtenstein,列支敦士登
79,0,0,0,78,0,20200410,1,0,0,0,Liechtenstein,列支敦士登
80,1,0,0,79,1,20200411,1,0,0,0,Liechtenstein,列支敦士登
80,0,0,0,79,0,20200412,1,0,0,0,Liechtenstein,列支敦士登
80,0,0,0,79,0,20200413,1,0,0,0,Liechtenstein,列支敦士登
80,0,0,0,79,0,20200414,1,0,0,0,Liechtenstein,列支敦士登
81,1,0,0,80,1,20200415,1,0,0,0,Liechtenstein,列支敦士登
81,0,0,0,80,0,20200416,1,0,0,0,Liechtenstein,列支敦士登
81,0,0,0,80,0,20200417,1,0,0,0,Liechtenstein,列支敦士登
81,0,0,0,80,0,20200418,1,0,0,0,Liechtenstein,列支敦士登
82,1,0,0,81,1,20200419,1,0,0,0,Liechtenstein,列支敦士登
82,0,0,0,81,0,20200420,1,0,0,0,Liechtenstein,列支敦士登
82,0,0,0,81,0,20200421,1,0,0,0,Liechtenstein,列支敦士登
82,0,0,0,81,0,20200422,1,0,0,0,Liechtenstein,列支敦士登
82,0,0,0,81,0,20200423,1,0,0,0,Liechtenstein,列支敦士登
82,0,0,0,81,0,20200424,1,0,0,0,Liechtenstein,列支敦士登
82,0,0,0,81,0,20200425,1,0,0,0,Liechtenstein,列支敦士登
83,1,0,0,82,1,20200426,1,0,0,0,Liechtenstein,列支敦士登
83,0,0,0,82,0,20200427,1,0,0,0,Liechtenstein,列支敦士登
83,0,0,0,82,0,20200428,1,0,0,0,Liechtenstein,列支敦士登
83,0,0,0,82,0,20200429,1,0,0,0,Liechtenstein,列支敦士登
83,0,0,0,82,0,20200430,1,0,0,0,Liechtenstein,列支敦士登
83,0,0,0,82,0,20200501,1,0,0,0,Liechtenstein,列支敦士登
83,0,0,0,82,0,20200502,1,0,0,0,Liechtenstein,列支敦士登
83,0,0,0,82,0,20200503,1,0,0,0,Liechtenstein,列支敦士登
83,0,0,0,82,0,20200504,1,0,0,0,Liechtenstein,列支敦士登
83,0,0,0,82,0,20200505,1,0,0,0,Liechtenstein,列支敦士登
83,0,0,0,82,0,20200506,1,0,0,0,Liechtenstein,列支敦士登
83,0,0,0,82,0,20200507,1,0,0,0,Liechtenstein,列支敦士登
83,0,0,0,82,0,20200508,1,0,0,0,Liechtenstein,列支敦士登
83,0,0,0,82,0,20200509,1,0,0,0,Liechtenstein,列支敦士登
83,0,0,0,82,0,20200510,1,0,0,0,Liechtenstein,列支敦士登
83,0,0,0,82,0,20200511,1,0,0,0,Liechtenstein,列支敦士登
83,0,55,55,27,-55,20200512,1,0,0,0,Liechtenstein,列支敦士登
83,0,55,0,27,0,20200513,1,0,0,0,Liechtenstein,列支敦士登
83,0,55,0,27,0,20200514,1,0,0,0,Liechtenstein,列支敦士登
