confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200228,0,0,0,0,Lithuania,立陶宛
1,0,0,0,1,0,20200229,0,0,0,0,Lithuania,立陶宛
1,0,0,0,1,0,20200301,0,0,0,0,Lithuania,立陶宛
1,0,0,0,1,0,20200302,0,0,0,0,Lithuania,立陶宛
1,0,0,0,1,0,20200303,0,0,0,0,Lithuania,立陶宛
1,0,0,0,1,0,20200304,0,0,0,0,Lithuania,立陶宛
1,0,0,0,1,0,20200305,0,0,0,0,Lithuania,立陶宛
1,0,0,0,1,0,20200306,0,0,0,0,Lithuania,立陶宛
1,0,0,0,1,0,20200307,0,0,0,0,Lithuania,立陶宛
1,0,0,0,1,0,20200308,0,0,0,0,Lithuania,立陶宛
1,0,0,0,1,0,20200309,0,0,0,0,Lithuania,立陶宛
1,0,0,0,1,0,20200310,0,0,0,0,Lithuania,立陶宛
1,0,0,0,1,0,20200311,0,0,0,0,Lithuania,立陶宛
3,2,0,0,3,2,20200312,0,0,0,0,Lithuania,立陶宛
3,0,0,0,3,0,20200313,0,0,0,0,Lithuania,立陶宛
6,3,0,0,6,3,20200314,0,0,0,0,Lithuania,立陶宛
9,3,0,0,9,3,20200315,0,0,0,0,Lithuania,立陶宛
14,5,0,0,14,5,20200316,0,0,0,0,Lithuania,立陶宛
17,3,0,0,17,3,20200317,0,0,0,0,Lithuania,立陶宛
25,8,0,0,25,8,20200318,0,0,0,0,Lithuania,立陶宛
41,16,0,0,41,16,20200319,0,0,0,0,Lithuania,立陶宛
63,22,0,0,63,22,20200320,0,0,0,0,Lithuania,立陶宛
83,20,0,0,82,19,20200321,1,1,0,0,Lithuania,立陶宛
141,58,1,1,139,57,20200322,1,0,0,0,Lithuania,立陶宛
160,19,1,0,158,19,20200323,1,0,0,0,Lithuania,立陶宛
209,49,1,0,207,49,20200324,1,0,0,0,Lithuania,立陶宛
255,46,1,0,251,44,20200325,3,2,0,0,Lithuania,立陶宛
290,35,1,0,285,34,20200326,4,1,0,0,Lithuania,立陶宛
358,68,1,0,352,67,20200327,5,1,0,0,Lithuania,立陶宛
382,24,1,0,374,22,20200328,7,2,0,0,Lithuania,立陶宛
437,55,1,0,429,55,20200329,7,0,0,0,Lithuania,立陶宛
484,47,1,0,476,47,20200330,7,0,0,0,Lithuania,立陶宛
533,49,1,0,524,48,20200331,8,1,0,0,Lithuania,立陶宛
581,48,1,0,572,48,20200401,8,0,0,0,Lithuania,立陶宛
649,68,1,0,639,67,20200402,9,1,0,0,Lithuania,立陶宛
696,47,1,0,686,47,20200403,9,0,0,0,Lithuania,立陶宛
771,75,1,0,760,74,20200404,10,1,0,0,Lithuania,立陶宛
811,40,1,0,798,38,20200405,12,2,0,0,Lithuania,立陶宛
843,32,1,0,828,30,20200406,14,2,0,0,Lithuania,立陶宛
880,37,1,0,865,37,20200407,14,0,0,0,Lithuania,立陶宛
912,32,1,0,896,31,20200408,15,1,0,0,Lithuania,立陶宛
955,43,1,0,938,42,20200409,16,1,0,0,Lithuania,立陶宛
999,44,54,53,923,-15,20200410,22,6,0,0,Lithuania,立陶宛
1026,27,54,0,949,26,20200411,23,1,0,0,Lithuania,立陶宛
1053,27,97,43,933,-16,20200412,23,0,0,0,Lithuania,立陶宛
1062,9,101,4,937,4,20200413,24,1,0,0,Lithuania,立陶宛
1070,8,101,0,945,8,20200414,24,0,0,0,Lithuania,立陶宛
1091,21,138,37,923,-22,20200415,30,6,0,0,Lithuania,立陶宛
1128,37,178,40,919,-4,20200416,31,1,0,0,Lithuania,立陶宛
1149,21,210,32,906,-13,20200417,33,2,0,0,Lithuania,立陶宛
1239,90,228,18,978,72,20200418,33,0,0,0,Lithuania,立陶宛
1298,59,242,14,1021,43,20200419,35,2,0,0,Lithuania,立陶宛
1326,28,242,0,1047,26,20200420,37,2,0,0,Lithuania,立陶宛
1350,24,298,56,1014,-33,20200421,38,1,0,0,Lithuania,立陶宛
1370,20,357,59,975,-39,20200422,38,0,0,0,Lithuania,立陶宛
1398,28,399,42,960,-15,20200423,39,1,0,0,Lithuania,立陶宛
1410,12,430,31,938,-22,20200424,42,3,0,0,Lithuania,立陶宛
1426,16,460,30,925,-13,20200425,41,-1,0,0,Lithuania,立陶宛
1438,12,460,0,937,12,20200426,41,0,0,0,Lithuania,立陶宛
1449,11,467,7,941,4,20200427,41,0,0,0,Lithuania,立陶宛
1344,-105,536,69,764,-177,20200428,44,3,0,0,Lithuania,立陶宛
1449,105,563,27,841,77,20200429,45,1,0,0,Lithuania,立陶宛
1449,0,589,26,815,-26,20200430,45,0,0,0,Lithuania,立陶宛
1449,0,589,0,815,0,20200501,45,0,0,0,Lithuania,立陶宛
1449,0,632,43,771,-44,20200502,46,1,0,0,Lithuania,立陶宛
1449,0,632,0,771,0,20200503,46,0,0,0,Lithuania,立陶宛
1449,0,632,0,771,0,20200504,46,0,0,0,Lithuania,立陶宛
1449,0,697,65,704,-67,20200505,48,2,0,0,Lithuania,立陶宛
1449,0,718,21,682,-22,20200506,49,1,0,0,Lithuania,立陶宛
1433,-16,739,21,645,-37,20200507,49,0,0,0,Lithuania,立陶宛
1433,0,739,0,645,0,20200508,49,0,0,0,Lithuania,立陶宛
1436,3,739,0,648,3,20200509,49,0,0,0,Lithuania,立陶宛
1479,43,828,89,601,-47,20200510,50,1,0,0,Lithuania,立陶宛
1485,6,833,5,602,1,20200511,50,0,0,0,Lithuania,立陶宛
1491,6,850,17,591,-11,20200512,50,0,0,0,Lithuania,立陶宛
1491,0,850,0,591,0,20200513,50,0,0,0,Lithuania,立陶宛
1505,14,850,0,601,10,20200514,54,4,0,0,Lithuania,立陶宛
1523,18,965,115,504,-97,20200515,54,0,0,0,Lithuania,立陶宛
1534,11,988,23,491,-13,20200516,55,1,0,0,Lithuania,立陶宛
1534,0,988,0,491,0,20200517,55,0,0,0,Lithuania,立陶宛
1541,7,988,0,497,6,20200518,56,1,0,0,Lithuania,立陶宛
1562,21,1025,37,477,-20,20200519,60,4,0,0,Lithuania,立陶宛
1577,15,1049,24,468,-9,20200520,60,0,0,0,Lithuania,立陶宛
1593,16,1049,0,483,15,20200521,61,1,0,0,Lithuania,立陶宛
1594,1,1049,0,484,1,20200522,61,0,0,0,Lithuania,立陶宛
1604,10,1049,0,494,10,20200523,61,0,0,0,Lithuania,立陶宛
1616,12,1049,0,504,10,20200524,63,2,0,0,Lithuania,立陶宛
1623,7,1049,0,511,7,20200525,63,0,0,0,Lithuania,立陶宛
1635,12,1049,0,523,12,20200526,63,0,0,0,Lithuania,立陶宛
1639,4,1049,0,525,2,20200527,65,2,0,0,Lithuania,立陶宛
1647,8,1049,0,532,7,20200528,66,1,0,0,Lithuania,立陶宛
1656,9,1049,0,539,7,20200529,68,2,0,0,Lithuania,立陶宛
1662,6,1049,0,545,6,20200530,68,0,0,0,Lithuania,立陶宛
