confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200302,0,0,0,0,Luxembourg,卢森堡
1,0,0,0,1,0,20200303,0,0,0,0,Luxembourg,卢森堡
1,0,0,0,1,0,20200304,0,0,0,0,Luxembourg,卢森堡
1,0,0,0,1,0,20200305,0,0,0,0,Luxembourg,卢森堡
1,0,0,0,1,0,20200306,0,0,0,0,Luxembourg,卢森堡
2,1,0,0,2,1,20200307,0,0,0,0,Luxembourg,卢森堡
2,0,0,0,2,0,20200308,0,0,0,0,Luxembourg,卢森堡
2,0,0,0,2,0,20200309,0,0,0,0,Luxembourg,卢森堡
5,3,0,0,5,3,20200310,0,0,0,0,Luxembourg,卢森堡
5,0,0,0,5,0,20200311,0,0,0,0,Luxembourg,卢森堡
17,12,0,0,17,12,20200312,0,0,0,0,Luxembourg,卢森堡
17,0,0,0,17,0,20200313,0,0,0,0,Luxembourg,卢森堡
38,21,0,0,37,20,20200314,1,1,0,0,Luxembourg,卢森堡
38,0,0,0,37,0,20200315,1,0,0,0,Luxembourg,卢森堡
38,0,0,0,37,0,20200316,1,0,0,0,Luxembourg,卢森堡
81,43,0,0,80,43,20200317,1,0,0,0,Luxembourg,卢森堡
140,59,0,0,139,59,20200318,1,0,0,0,Luxembourg,卢森堡
335,195,0,0,331,192,20200319,4,3,0,0,Luxembourg,卢森堡
484,149,0,0,480,149,20200320,4,0,0,0,Luxembourg,卢森堡
670,186,0,0,662,182,20200321,8,4,0,0,Luxembourg,卢森堡
798,128,0,0,790,128,20200322,8,0,0,0,Luxembourg,卢森堡
875,77,0,0,867,77,20200323,8,0,0,0,Luxembourg,卢森堡
1099,224,0,0,1091,224,20200324,8,0,0,0,Luxembourg,卢森堡
1333,234,0,0,1325,234,20200325,8,0,0,0,Luxembourg,卢森堡
1453,120,0,0,1444,119,20200326,9,1,0,0,Luxembourg,卢森堡
1605,152,0,0,1590,146,20200327,15,6,0,0,Luxembourg,卢森堡
1831,226,0,0,1813,223,20200328,18,3,0,0,Luxembourg,卢森堡
1950,119,0,0,1929,116,20200329,21,3,0,0,Luxembourg,卢森堡
1988,38,0,0,1966,37,20200330,22,1,0,0,Luxembourg,卢森堡
2178,190,0,0,2155,189,20200331,23,1,0,0,Luxembourg,卢森堡
2319,141,0,0,2290,135,20200401,29,6,0,0,Luxembourg,卢森堡
2487,168,0,0,2457,167,20200402,30,1,0,0,Luxembourg,卢森堡
2612,125,174,174,2407,-50,20200403,31,1,0,0,Luxembourg,卢森堡
2729,117,174,0,2524,117,20200404,31,0,0,0,Luxembourg,卢森堡
2804,75,241,67,2527,3,20200405,36,5,0,0,Luxembourg,卢森堡
2804,0,241,0,2527,0,20200406,36,0,0,0,Luxembourg,卢森堡
2970,166,241,0,2688,161,20200407,41,5,0,0,Luxembourg,卢森堡
3034,64,241,0,2747,59,20200408,46,5,0,0,Luxembourg,卢森堡
3034,0,241,0,2747,0,20200409,46,0,0,0,Luxembourg,卢森堡
3163,129,241,0,2868,121,20200410,54,8,0,0,Luxembourg,卢森堡
3270,107,241,0,2967,99,20200411,62,8,0,0,Luxembourg,卢森堡
3281,11,241,0,2974,7,20200412,66,4,0,0,Luxembourg,卢森堡
3292,11,241,0,2982,8,20200413,69,3,0,0,Luxembourg,卢森堡
3307,15,241,0,2999,17,20200414,67,-2,0,0,Luxembourg,卢森堡
3373,66,241,0,3063,64,20200415,69,2,0,0,Luxembourg,卢森堡
3444,71,241,0,3134,71,20200416,69,0,0,0,Luxembourg,卢森堡
3480,36,241,0,3167,33,20200417,72,3,0,0,Luxembourg,卢森堡
3537,57,241,0,3224,57,20200418,72,0,0,0,Luxembourg,卢森堡
3550,13,241,0,3236,12,20200419,73,1,0,0,Luxembourg,卢森堡
3558,8,241,0,3242,6,20200420,75,2,0,0,Luxembourg,卢森堡
3618,60,241,0,3299,57,20200421,78,3,0,0,Luxembourg,卢森堡
3654,36,241,0,3333,34,20200422,80,2,0,0,Luxembourg,卢森堡
3665,11,241,0,3341,8,20200423,83,3,0,0,Luxembourg,卢森堡
3695,30,241,0,3369,28,20200424,85,2,0,0,Luxembourg,卢森堡
3711,16,760,519,2866,-503,20200425,85,0,0,0,Luxembourg,卢森堡
3723,12,760,0,2875,9,20200426,88,3,0,0,Luxembourg,卢森堡
3729,6,760,0,2881,6,20200427,88,0,0,0,Luxembourg,卢森堡
3729,0,3123,2363,518,-2363,20200428,88,0,0,0,Luxembourg,卢森堡
3769,40,3123,0,557,39,20200429,89,1,0,0,Luxembourg,卢森堡
3784,15,3134,11,560,3,20200430,90,1,0,0,Luxembourg,卢森堡
3802,18,3213,79,497,-63,20200501,92,2,0,0,Luxembourg,卢森堡
3812,10,3213,0,507,10,20200502,92,0,0,0,Luxembourg,卢森堡
3824,12,3379,166,349,-158,20200503,96,4,0,0,Luxembourg,卢森堡
3824,0,3379,0,349,0,20200504,96,0,0,0,Luxembourg,卢森堡
3828,4,3379,0,353,4,20200505,96,0,0,0,Luxembourg,卢森堡
3851,23,3379,0,374,21,20200506,98,2,0,0,Luxembourg,卢森堡
3859,8,3379,0,380,6,20200507,100,2,0,0,Luxembourg,卢森堡
3859,0,3379,0,380,0,20200508,100,0,0,0,Luxembourg,卢森堡
3871,12,3379,0,392,12,20200509,100,0,0,0,Luxembourg,卢森堡
3877,6,3379,0,397,5,20200510,101,1,0,0,Luxembourg,卢森堡
3888,11,3602,223,185,-212,20200511,101,0,0,0,Luxembourg,卢森堡
3894,6,3602,0,190,5,20200512,102,1,0,0,Luxembourg,卢森堡
3894,0,3602,0,190,0,20200513,102,0,0,0,Luxembourg,卢森堡
3904,10,3602,0,199,9,20200514,103,1,0,0,Luxembourg,卢森堡
3915,11,3602,0,210,11,20200515,103,0,0,0,Luxembourg,卢森堡
3930,15,3602,0,224,14,20200516,104,1,0,0,Luxembourg,卢森堡
3930,0,3602,0,224,0,20200517,104,0,0,0,Luxembourg,卢森堡
3945,15,3602,0,236,12,20200518,107,3,0,0,Luxembourg,卢森堡
3958,13,3789,187,60,-176,20200519,109,2,0,0,Luxembourg,卢森堡
3971,13,3789,0,73,13,20200520,109,0,0,0,Luxembourg,卢森堡
3971,0,3789,0,73,0,20200521,109,0,0,0,Luxembourg,卢森堡
3980,9,3789,0,82,9,20200522,109,0,0,0,Luxembourg,卢森堡
3981,1,3789,0,83,1,20200523,109,0,0,0,Luxembourg,卢森堡
3990,9,3789,0,92,9,20200524,109,0,0,0,Luxembourg,卢森堡
3992,2,3789,0,93,1,20200525,110,1,0,0,Luxembourg,卢森堡
3993,1,3789,0,94,1,20200526,110,0,0,0,Luxembourg,卢森堡
3995,2,3789,0,96,2,20200527,110,0,0,0,Luxembourg,卢森堡
4001,6,3789,0,102,6,20200528,110,0,0,0,Luxembourg,卢森堡
4008,7,3789,0,109,7,20200529,110,0,0,0,Luxembourg,卢森堡
4012,4,3789,0,113,4,20200530,110,0,0,0,Luxembourg,卢森堡
4016,4,3789,0,117,4,20200531,110,0,0,0,Luxembourg,卢森堡
4018,2,3789,0,119,2,20200601,110,0,0,0,Luxembourg,卢森堡
4019,1,3789,0,120,1,20200602,110,0,0,0,Luxembourg,卢森堡
4020,1,3789,0,121,1,20200603,110,0,0,0,Luxembourg,卢森堡
4020,0,3789,0,121,0,20200604,110,0,0,0,Luxembourg,卢森堡
4027,7,3789,0,128,7,20200605,110,0,0,0,Luxembourg,卢森堡
4032,5,3789,0,133,5,20200606,110,0,0,0,Luxembourg,卢森堡
4035,3,3789,0,136,3,20200607,110,0,0,0,Luxembourg,卢森堡
4039,4,3789,0,140,4,20200608,110,0,0,0,Luxembourg,卢森堡
4040,1,3789,0,141,1,20200609,110,0,0,0,Luxembourg,卢森堡
4046,6,3789,0,147,6,20200610,110,0,0,0,Luxembourg,卢森堡
4049,3,3789,0,150,3,20200611,110,0,0,0,Luxembourg,卢森堡
4052,3,3789,0,153,3,20200612,110,0,0,0,Luxembourg,卢森堡
4055,3,3789,0,156,3,20200613,110,0,0,0,Luxembourg,卢森堡
4063,8,3789,0,164,8,20200614,110,0,0,0,Luxembourg,卢森堡
4070,7,3789,0,171,7,20200615,110,0,0,0,Luxembourg,卢森堡
4072,2,3789,0,173,2,20200616,110,0,0,0,Luxembourg,卢森堡
4072,0,3789,0,173,0,20200617,110,0,0,0,Luxembourg,卢森堡
4085,13,3789,0,186,13,20200618,110,0,0,0,Luxembourg,卢森堡
4091,6,3789,0,192,6,20200619,110,0,0,0,Luxembourg,卢森堡
4099,8,3789,0,200,8,20200620,110,0,0,0,Luxembourg,卢森堡
4105,6,3789,0,206,6,20200621,110,0,0,0,Luxembourg,卢森堡
