confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
3,3,0,0,3,3,20200320,0,0,0,0,Madagascar,马达加斯加
3,0,0,0,3,0,20200321,0,0,0,0,Madagascar,马达加斯加
3,0,0,0,3,0,20200322,0,0,0,0,Madagascar,马达加斯加
12,9,0,0,12,9,20200323,0,0,0,0,Madagascar,马达加斯加
19,7,0,0,19,7,20200324,0,0,0,0,Madagascar,马达加斯加
19,0,0,0,19,0,20200325,0,0,0,0,Madagascar,马达加斯加
23,4,0,0,23,4,20200326,0,0,0,0,Madagascar,马达加斯加
26,3,0,0,26,3,20200327,0,0,0,0,Madagascar,马达加斯加
28,2,0,0,28,2,20200328,0,0,0,0,Madagascar,马达加斯加
43,15,0,0,43,15,20200329,0,0,0,0,Madagascar,马达加斯加
46,3,0,0,46,3,20200330,0,0,0,0,Madagascar,马达加斯加
57,11,0,0,57,11,20200331,0,0,0,0,Madagascar,马达加斯加
57,0,0,0,57,0,20200401,0,0,0,0,Madagascar,马达加斯加
59,2,0,0,59,2,20200402,0,0,0,0,Madagascar,马达加斯加
70,11,0,0,70,11,20200403,0,0,0,0,Madagascar,马达加斯加
70,0,0,0,70,0,20200404,0,0,0,0,Madagascar,马达加斯加
72,2,2,2,70,0,20200405,0,0,0,0,Madagascar,马达加斯加
82,10,2,0,80,10,20200406,0,0,0,0,Madagascar,马达加斯加
88,6,7,5,81,1,20200407,0,0,0,0,Madagascar,马达加斯加
93,5,11,4,82,1,20200408,0,0,0,0,Madagascar,马达加斯加
93,0,11,0,82,0,20200409,0,0,0,0,Madagascar,马达加斯加
102,9,11,0,91,9,20200410,0,0,0,0,Madagascar,马达加斯加
102,0,11,0,91,0,20200411,0,0,0,0,Madagascar,马达加斯加
106,4,20,9,86,-5,20200412,0,0,0,0,Madagascar,马达加斯加
106,0,20,0,86,0,20200413,0,0,0,0,Madagascar,马达加斯加
108,2,23,3,85,-1,20200414,0,0,0,0,Madagascar,马达加斯加
110,2,29,6,81,-4,20200415,0,0,0,0,Madagascar,马达加斯加
111,1,33,4,78,-3,20200416,0,0,0,0,Madagascar,马达加斯加
117,6,33,0,84,6,20200417,0,0,0,0,Madagascar,马达加斯加
120,3,35,2,85,1,20200418,0,0,0,0,Madagascar,马达加斯加
120,0,35,0,85,0,20200419,0,0,0,0,Madagascar,马达加斯加
121,1,35,0,86,1,20200420,0,0,0,0,Madagascar,马达加斯加
121,0,35,0,86,0,20200421,0,0,0,0,Madagascar,马达加斯加
121,0,35,0,86,0,20200422,0,0,0,0,Madagascar,马达加斯加
121,0,35,0,86,0,20200423,0,0,0,0,Madagascar,马达加斯加
121,0,35,0,86,0,20200424,0,0,0,0,Madagascar,马达加斯加
123,2,62,27,61,-25,20200425,0,0,0,0,Madagascar,马达加斯加
124,1,62,0,62,1,20200426,0,0,0,0,Madagascar,马达加斯加
128,4,71,9,57,-5,20200427,0,0,0,0,Madagascar,马达加斯加
128,0,71,0,57,0,20200428,0,0,0,0,Madagascar,马达加斯加
128,0,71,0,57,0,20200429,0,0,0,0,Madagascar,马达加斯加
128,0,71,0,57,0,20200430,0,0,0,0,Madagascar,马达加斯加
132,4,94,23,38,-19,20200501,0,0,0,0,Madagascar,马达加斯加
135,3,97,3,38,0,20200502,0,0,0,0,Madagascar,马达加斯加
149,14,97,0,52,14,20200503,0,0,0,0,Madagascar,马达加斯加
151,2,97,0,54,2,20200504,0,0,0,0,Madagascar,马达加斯加
158,7,97,0,61,7,20200505,0,0,0,0,Madagascar,马达加斯加
158,0,101,4,57,-4,20200506,0,0,0,0,Madagascar,马达加斯加
193,35,101,0,92,35,20200507,0,0,0,0,Madagascar,马达加斯加
193,0,101,0,92,0,20200508,0,0,0,0,Madagascar,马达加斯加
193,0,101,0,92,0,20200509,0,0,0,0,Madagascar,马达加斯加
193,0,101,0,92,0,20200510,0,0,0,0,Madagascar,马达加斯加
186,-7,105,4,81,-11,20200511,0,0,0,0,Madagascar,马达加斯加
192,6,105,0,87,6,20200512,0,0,0,0,Madagascar,马达加斯加
192,0,105,0,87,0,20200513,0,0,0,0,Madagascar,马达加斯加
212,20,105,0,107,20,20200514,0,0,0,0,Madagascar,马达加斯加
238,26,112,7,126,19,20200515,0,0,0,0,Madagascar,马达加斯加
283,45,114,2,169,43,20200516,0,0,0,0,Madagascar,马达加斯加
304,21,114,0,189,20,20200517,1,1,0,0,Madagascar,马达加斯加
322,18,119,5,202,13,20200518,1,0,0,0,Madagascar,马达加斯加
322,0,119,0,202,0,20200519,1,0,0,0,Madagascar,马达加斯加
371,49,131,12,238,36,20200520,2,1,0,0,Madagascar,马达加斯加
405,34,131,0,272,34,20200521,2,0,0,0,Madagascar,马达加斯加
405,0,131,0,272,0,20200522,2,0,0,0,Madagascar,马达加斯加
448,43,131,0,315,43,20200523,2,0,0,0,Madagascar,马达加斯加
488,40,131,0,355,40,20200524,2,0,0,0,Madagascar,马达加斯加
527,39,131,0,394,39,20200525,2,0,0,0,Madagascar,马达加斯加
586,59,147,16,437,43,20200526,2,0,0,0,Madagascar,马达加斯加
586,0,147,0,437,0,20200527,2,0,0,0,Madagascar,马达加斯加
656,70,154,7,500,63,20200528,2,0,0,0,Madagascar,马达加斯加
698,42,164,10,529,29,20200529,5,3,0,0,Madagascar,马达加斯加
758,60,165,1,587,58,20200530,6,1,0,0,Madagascar,马达加斯加
758,0,165,0,587,0,20200531,6,0,0,0,Madagascar,马达加斯加
771,13,165,0,600,13,20200601,6,0,0,0,Madagascar,马达加斯加
826,55,165,0,655,55,20200602,6,0,0,0,Madagascar,马达加斯加
908,82,195,30,707,52,20200603,6,0,0,0,Madagascar,马达加斯加
957,49,200,5,750,43,20200604,7,1,0,0,Madagascar,马达加斯加
975,18,201,1,767,17,20200605,7,0,0,0,Madagascar,马达加斯加
1026,51,212,11,806,39,20200606,8,1,0,0,Madagascar,马达加斯加
1052,26,233,21,810,4,20200607,9,1,0,0,Madagascar,马达加斯加
1094,42,254,21,831,21,20200608,9,0,0,0,Madagascar,马达加斯加
1138,44,274,20,855,24,20200609,9,0,0,0,Madagascar,马达加斯加
1162,24,296,22,856,1,20200610,10,1,0,0,Madagascar,马达加斯加
1162,0,296,0,856,0,20200611,10,0,0,0,Madagascar,马达加斯加
1203,41,296,0,897,41,20200612,10,0,0,0,Madagascar,马达加斯加
1252,49,362,66,880,-17,20200613,10,0,0,0,Madagascar,马达加斯加
1252,0,362,0,880,0,20200614,10,0,0,0,Madagascar,马达加斯加
1272,20,362,0,900,20,20200615,10,0,0,0,Madagascar,马达加斯加
1290,18,362,0,918,18,20200616,10,0,0,0,Madagascar,马达加斯加
1290,0,362,0,918,0,20200617,10,0,0,0,Madagascar,马达加斯加
1378,88,362,0,1004,86,20200618,12,2,0,0,Madagascar,马达加斯加
1443,65,498,136,932,-72,20200619,13,1,0,0,Madagascar,马达加斯加
1503,60,618,120,872,-60,20200620,13,0,0,0,Madagascar,马达加斯加
1596,93,655,37,927,55,20200621,14,1,0,0,Madagascar,马达加斯加
1640,44,692,37,933,6,20200622,15,1,0,0,Madagascar,马达加斯加
1724,84,732,40,977,44,20200623,15,0,0,0,Madagascar,马达加斯加
1787,63,779,47,992,15,20200624,16,1,0,0,Madagascar,马达加斯加
1829,42,823,44,990,-2,20200625,16,0,0,0,Madagascar,马达加斯加
1829,0,823,0,990,0,20200626,16,0,0,0,Madagascar,马达加斯加
2005,176,907,84,1082,92,20200627,16,0,0,0,Madagascar,马达加斯加
2078,73,944,37,1118,36,20200628,16,0,0,0,Madagascar,马达加斯加
