confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
3,3,0,0,3,3,20200402,0,0,0,0,Malawi,马拉维
3,0,0,0,3,0,20200403,0,0,0,0,Malawi,马拉维
4,1,0,0,4,1,20200404,0,0,0,0,Malawi,马拉维
4,0,0,0,4,0,20200405,0,0,0,0,Malawi,马拉维
5,1,0,0,5,1,20200406,0,0,0,0,Malawi,马拉维
8,3,0,0,7,2,20200407,1,1,0,0,Malawi,马拉维
8,0,0,0,7,0,20200408,1,0,0,0,Malawi,马拉维
8,0,0,0,7,0,20200409,1,0,0,0,Malawi,马拉维
9,1,0,0,8,1,20200410,1,0,0,0,Malawi,马拉维
12,3,0,0,10,2,20200411,2,1,0,0,Malawi,马拉维
12,0,0,0,10,0,20200412,2,0,0,0,Malawi,马拉维
16,4,0,0,14,4,20200413,2,0,0,0,Malawi,马拉维
16,0,0,0,14,0,20200414,2,0,0,0,Malawi,马拉维
16,0,0,0,14,0,20200415,2,0,0,0,Malawi,马拉维
16,0,0,0,14,0,20200416,2,0,0,0,Malawi,马拉维
16,0,0,0,14,0,20200417,2,0,0,0,Malawi,马拉维
17,1,0,0,15,1,20200418,2,0,0,0,Malawi,马拉维
17,0,0,0,15,0,20200419,2,0,0,0,Malawi,马拉维
17,0,0,0,15,0,20200420,2,0,0,0,Malawi,马拉维
18,1,3,3,13,-2,20200421,2,0,0,0,Malawi,马拉维
23,5,3,0,18,5,20200422,2,0,0,0,Malawi,马拉维
33,10,3,0,27,9,20200423,3,1,0,0,Malawi,马拉维
33,0,3,0,27,0,20200424,3,0,0,0,Malawi,马拉维
33,0,3,0,27,0,20200425,3,0,0,0,Malawi,马拉维
33,0,3,0,27,0,20200426,3,0,0,0,Malawi,马拉维
36,3,4,1,29,2,20200427,3,0,0,0,Malawi,马拉维
36,0,4,0,29,0,20200428,3,0,0,0,Malawi,马拉维
36,0,4,0,29,0,20200429,3,0,0,0,Malawi,马拉维
37,1,7,3,27,-2,20200430,3,0,0,0,Malawi,马拉维
37,0,7,0,27,0,20200501,3,0,0,0,Malawi,马拉维
38,1,9,2,26,-1,20200502,3,0,0,0,Malawi,马拉维
38,0,9,0,26,0,20200503,3,0,0,0,Malawi,马拉维
39,1,9,0,27,1,20200504,3,0,0,0,Malawi,马拉维
41,2,9,0,29,2,20200505,3,0,0,0,Malawi,马拉维
43,2,9,0,31,2,20200506,3,0,0,0,Malawi,马拉维
43,0,9,0,31,0,20200507,3,0,0,0,Malawi,马拉维
43,0,9,0,31,0,20200508,3,0,0,0,Malawi,马拉维
56,13,14,5,39,8,20200509,3,0,0,0,Malawi,马拉维
56,0,14,0,39,0,20200510,3,0,0,0,Malawi,马拉维
57,1,24,10,30,-9,20200511,3,0,0,0,Malawi,马拉维
57,0,24,0,30,0,20200512,3,0,0,0,Malawi,马拉维
