confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
3,3,0,0,3,3,20200126,0,0,0,0,Malaysia,马来西亚
4,1,0,0,4,1,20200127,0,0,0,0,Malaysia,马来西亚
4,0,0,0,4,0,20200128,0,0,0,0,Malaysia,马来西亚
4,0,0,0,4,0,20200129,0,0,0,0,Malaysia,马来西亚
7,3,0,0,7,3,20200130,0,0,0,0,Malaysia,马来西亚
8,1,0,0,8,1,20200131,0,0,0,0,Malaysia,马来西亚
8,0,0,0,8,0,20200201,0,0,0,0,Malaysia,马来西亚
8,0,0,0,8,0,20200202,0,0,0,0,Malaysia,马来西亚
8,0,0,0,8,0,20200203,0,0,0,0,Malaysia,马来西亚
10,2,0,0,10,2,20200204,0,0,0,0,Malaysia,马来西亚
10,0,0,0,10,0,20200205,0,0,0,0,Malaysia,马来西亚
12,2,0,0,12,2,20200206,0,0,0,0,Malaysia,马来西亚
14,2,0,0,14,2,20200207,0,0,0,0,Malaysia,马来西亚
15,1,0,0,15,1,20200208,0,0,0,0,Malaysia,马来西亚
17,2,0,0,17,2,20200209,0,0,0,0,Malaysia,马来西亚
18,1,0,0,18,1,20200210,0,0,0,0,Malaysia,马来西亚
18,0,0,0,18,0,20200211,0,0,0,0,Malaysia,马来西亚
18,0,0,0,18,0,20200212,0,0,0,0,Malaysia,马来西亚
18,0,0,0,18,0,20200213,0,0,0,0,Malaysia,马来西亚
19,1,0,0,19,1,20200214,0,0,0,0,Malaysia,马来西亚
21,2,0,0,21,2,20200215,0,0,0,0,Malaysia,马来西亚
22,1,0,0,22,1,20200216,0,0,0,0,Malaysia,马来西亚
22,0,0,0,22,0,20200217,0,0,0,0,Malaysia,马来西亚
22,0,0,0,22,0,20200218,0,0,0,0,Malaysia,马来西亚
22,0,0,0,22,0,20200219,0,0,0,0,Malaysia,马来西亚
22,0,0,0,22,0,20200220,0,0,0,0,Malaysia,马来西亚
22,0,0,0,22,0,20200221,0,0,0,0,Malaysia,马来西亚
22,0,0,0,22,0,20200222,0,0,0,0,Malaysia,马来西亚
22,0,0,0,22,0,20200223,0,0,0,0,Malaysia,马来西亚
22,0,0,0,22,0,20200224,0,0,0,0,Malaysia,马来西亚
22,0,0,0,22,0,20200225,0,0,0,0,Malaysia,马来西亚
22,0,0,0,22,0,20200226,0,0,0,0,Malaysia,马来西亚
22,0,0,0,22,0,20200227,0,0,0,0,Malaysia,马来西亚
24,2,0,0,24,2,20200228,0,0,0,0,Malaysia,马来西亚
24,0,0,0,24,0,20200229,0,0,0,0,Malaysia,马来西亚
24,0,0,0,24,0,20200301,0,0,0,0,Malaysia,马来西亚
24,0,0,0,24,0,20200302,0,0,0,0,Malaysia,马来西亚
29,5,0,0,29,5,20200303,0,0,0,0,Malaysia,马来西亚
50,21,0,0,50,21,20200304,0,0,0,0,Malaysia,马来西亚
50,0,0,0,50,0,20200305,0,0,0,0,Malaysia,马来西亚
55,5,0,0,55,5,20200306,0,0,0,0,Malaysia,马来西亚
83,28,0,0,83,28,20200307,0,0,0,0,Malaysia,马来西亚
93,10,0,0,93,10,20200308,0,0,0,0,Malaysia,马来西亚
93,0,0,0,93,0,20200309,0,0,0,0,Malaysia,马来西亚
117,24,0,0,117,24,20200310,0,0,0,0,Malaysia,马来西亚
129,12,0,0,129,12,20200311,0,0,0,0,Malaysia,马来西亚
129,0,0,0,129,0,20200312,0,0,0,0,Malaysia,马来西亚
129,0,0,0,129,0,20200313,0,0,0,0,Malaysia,马来西亚
197,68,0,0,197,68,20200314,0,0,0,0,Malaysia,马来西亚
238,41,32,32,206,9,20200315,0,0,0,0,Malaysia,马来西亚
553,315,42,10,511,305,20200316,0,0,0,0,Malaysia,马来西亚
553,0,49,7,504,-7,20200317,0,0,0,0,Malaysia,马来西亚
553,0,60,11,493,-11,20200318,0,0,0,0,Malaysia,马来西亚
900,347,60,0,838,345,20200319,2,2,0,0,Malaysia,马来西亚
1030,130,87,27,940,102,20200320,3,1,0,0,Malaysia,马来西亚
1183,153,114,27,1065,125,20200321,4,1,0,0,Malaysia,马来西亚
1306,123,139,25,1157,92,20200322,10,6,0,0,Malaysia,马来西亚
1518,212,139,0,1365,208,20200323,14,4,0,0,Malaysia,马来西亚
1624,106,183,44,1426,61,20200324,15,1,0,0,Malaysia,马来西亚
1796,172,199,16,1578,152,20200325,19,4,0,0,Malaysia,马来西亚
2031,235,215,16,1793,215,20200326,23,4,0,0,Malaysia,马来西亚
2161,130,259,44,1876,83,20200327,26,3,0,0,Malaysia,马来西亚
2320,159,320,61,1973,97,20200328,27,1,0,0,Malaysia,马来西亚
2470,150,388,68,2048,75,20200329,34,7,0,0,Malaysia,马来西亚
2626,156,388,0,2204,156,20200330,34,0,0,0,Malaysia,马来西亚
2766,140,537,149,2186,-18,20200331,43,9,0,0,Malaysia,马来西亚
2908,142,645,108,2218,32,20200401,45,2,0,0,Malaysia,马来西亚
3116,208,767,122,2299,81,20200402,50,5,0,0,Malaysia,马来西亚
3333,217,827,60,2453,154,20200403,53,3,0,0,Malaysia,马来西亚
3483,150,915,88,2511,58,20200404,57,4,0,0,Malaysia,马来西亚
3662,179,1005,90,2596,85,20200405,61,4,0,0,Malaysia,马来西亚
3793,131,1241,236,2490,-106,20200406,62,1,0,0,Malaysia,马来西亚
3963,170,1321,80,2579,89,20200407,63,1,0,0,Malaysia,马来西亚
4119,156,1487,166,2567,-12,20200408,65,2,0,0,Malaysia,马来西亚
4228,109,1608,121,2553,-14,20200409,67,2,0,0,Malaysia,马来西亚
4346,118,1830,222,2446,-107,20200410,70,3,0,0,Malaysia,马来西亚
4530,184,1995,165,2462,16,20200411,73,3,0,0,Malaysia,马来西亚
4683,153,2108,113,2499,37,20200412,76,3,0,0,Malaysia,马来西亚
4817,134,2276,168,2464,-35,20200413,77,1,0,0,Malaysia,马来西亚
4987,170,2478,202,2427,-37,20200414,82,5,0,0,Malaysia,马来西亚
5072,85,2647,169,2343,-84,20200415,82,0,0,0,Malaysia,马来西亚
5182,110,2766,119,2332,-11,20200416,84,2,0,0,Malaysia,马来西亚
5251,69,2967,201,2198,-134,20200417,86,2,0,0,Malaysia,马来西亚
5305,54,3102,135,2115,-83,20200418,88,2,0,0,Malaysia,马来西亚
5389,84,3197,95,2103,-12,20200419,89,1,0,0,Malaysia,马来西亚
5425,36,3295,98,2041,-62,20200420,89,0,0,0,Malaysia,马来西亚
5482,57,3349,54,2041,0,20200421,92,3,0,0,Malaysia,马来西亚
5532,50,3452,103,1987,-54,20200422,93,1,0,0,Malaysia,马来西亚
5603,71,3542,90,1966,-21,20200423,95,2,0,0,Malaysia,马来西亚
5691,88,3663,121,1932,-34,20200424,96,1,0,0,Malaysia,马来西亚
5742,51,3762,99,1882,-50,20200425,98,2,0,0,Malaysia,马来西亚
5780,38,3762,0,1918,36,20200426,100,2,0,0,Malaysia,马来西亚
5820,40,3957,195,1764,-154,20200427,99,-1,0,0,Malaysia,马来西亚
5851,31,4032,75,1719,-45,20200428,100,1,0,0,Malaysia,马来西亚
5945,94,4087,55,1758,39,20200429,100,0,0,0,Malaysia,马来西亚
6002,57,4171,84,1729,-29,20200430,102,2,0,0,Malaysia,马来西亚
6071,69,4210,39,1758,29,20200501,103,1,0,0,Malaysia,马来西亚
6176,105,4326,116,1734,-24,20200502,116,13,0,0,Malaysia,马来西亚
6298,122,4413,87,1780,46,20200503,105,-11,0,0,Malaysia,马来西亚
6353,55,4484,71,1764,-16,20200504,105,0,0,0,Malaysia,马来西亚
6383,30,4567,83,1710,-54,20200505,106,1,0,0,Malaysia,马来西亚
6428,45,4702,135,1619,-91,20200506,107,1,0,0,Malaysia,马来西亚
6467,39,4776,74,1584,-35,20200507,107,0,0,0,Malaysia,马来西亚
6535,68,4864,88,1564,-20,20200508,107,0,0,0,Malaysia,马来西亚
6589,54,4929,65,1552,-12,20200509,108,1,0,0,Malaysia,马来西亚
6656,67,5025,96,1523,-29,20200510,108,0,0,0,Malaysia,马来西亚
6726,70,5113,88,1504,-19,20200511,109,1,0,0,Malaysia,马来西亚
6742,16,5223,110,1409,-95,20200512,110,1,0,0,Malaysia,马来西亚
6742,0,5223,0,1409,0,20200513,110,0,0,0,Malaysia,马来西亚
6819,77,5351,128,1356,-53,20200514,112,2,0,0,Malaysia,马来西亚
6855,36,5439,88,1304,-52,20200515,112,0,0,0,Malaysia,马来西亚
6872,17,5512,73,1247,-57,20200516,113,1,0,0,Malaysia,马来西亚
6894,22,5571,59,1210,-37,20200517,113,0,0,0,Malaysia,马来西亚
6941,47,5615,44,1213,3,20200518,113,0,0,0,Malaysia,马来西亚
6978,37,5646,31,1218,5,20200519,114,1,0,0,Malaysia,马来西亚
7009,31,5706,60,1189,-29,20200520,114,0,0,0,Malaysia,马来西亚
7059,50,5796,90,1149,-40,20200521,114,0,0,0,Malaysia,马来西亚
7137,78,5859,63,1163,14,20200522,115,1,0,0,Malaysia,马来西亚
7185,48,5912,53,1158,-5,20200523,115,0,0,0,Malaysia,马来西亚
7245,60,5945,33,1185,27,20200524,115,0,0,0,Malaysia,马来西亚
7417,172,5979,34,1323,138,20200525,115,0,0,0,Malaysia,马来西亚
7604,187,6041,62,1448,125,20200526,115,0,0,0,Malaysia,马来西亚
7619,15,6083,42,1421,-27,20200527,115,0,0,0,Malaysia,马来西亚
7619,0,6083,0,1421,0,20200528,115,0,0,0,Malaysia,马来西亚
7732,113,6235,152,1382,-39,20200529,115,0,0,0,Malaysia,马来西亚
7762,30,6330,95,1317,-65,20200530,115,0,0,0,Malaysia,马来西亚
