confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200308,0,0,0,0,Maldives,马尔代夫
4,2,0,0,4,2,20200309,0,0,0,0,Maldives,马尔代夫
4,0,0,0,4,0,20200310,0,0,0,0,Maldives,马尔代夫
8,4,0,0,8,4,20200311,0,0,0,0,Maldives,马尔代夫
8,0,0,0,8,0,20200312,0,0,0,0,Maldives,马尔代夫
8,0,0,0,8,0,20200313,0,0,0,0,Maldives,马尔代夫
9,1,0,0,9,1,20200314,0,0,0,0,Maldives,马尔代夫
10,1,0,0,10,1,20200315,0,0,0,0,Maldives,马尔代夫
13,3,0,0,13,3,20200316,0,0,0,0,Maldives,马尔代夫
13,0,0,0,13,0,20200317,0,0,0,0,Maldives,马尔代夫
13,0,0,0,13,0,20200318,0,0,0,0,Maldives,马尔代夫
13,0,0,0,13,0,20200319,0,0,0,0,Maldives,马尔代夫
13,0,0,0,13,0,20200320,0,0,0,0,Maldives,马尔代夫
13,0,0,0,13,0,20200321,0,0,0,0,Maldives,马尔代夫
13,0,0,0,13,0,20200322,0,0,0,0,Maldives,马尔代夫
13,0,0,0,13,0,20200323,0,0,0,0,Maldives,马尔代夫
13,0,0,0,13,0,20200324,0,0,0,0,Maldives,马尔代夫
13,0,0,0,13,0,20200325,0,0,0,0,Maldives,马尔代夫
13,0,0,0,13,0,20200326,0,0,0,0,Maldives,马尔代夫
13,0,0,0,13,0,20200327,0,0,0,0,Maldives,马尔代夫
13,0,0,0,13,0,20200328,0,0,0,0,Maldives,马尔代夫
17,4,11,11,6,-7,20200329,0,0,0,0,Maldives,马尔代夫
17,0,11,0,6,0,20200330,0,0,0,0,Maldives,马尔代夫
18,1,13,2,5,-1,20200331,0,0,0,0,Maldives,马尔代夫
18,0,13,0,5,0,20200401,0,0,0,0,Maldives,马尔代夫
18,0,13,0,5,0,20200402,0,0,0,0,Maldives,马尔代夫
19,1,13,0,6,1,20200403,0,0,0,0,Maldives,马尔代夫
19,0,13,0,6,0,20200404,0,0,0,0,Maldives,马尔代夫
19,0,13,0,6,0,20200405,0,0,0,0,Maldives,马尔代夫
19,0,13,0,6,0,20200406,0,0,0,0,Maldives,马尔代夫
19,0,13,0,6,0,20200407,0,0,0,0,Maldives,马尔代夫
19,0,13,0,6,0,20200408,0,0,0,0,Maldives,马尔代夫
19,0,13,0,6,0,20200409,0,0,0,0,Maldives,马尔代夫
19,0,13,0,6,0,20200410,0,0,0,0,Maldives,马尔代夫
19,0,13,0,6,0,20200411,0,0,0,0,Maldives,马尔代夫
20,1,14,1,6,0,20200412,0,0,0,0,Maldives,马尔代夫
20,0,14,0,6,0,20200413,0,0,0,0,Maldives,马尔代夫
20,0,14,0,6,0,20200414,0,0,0,0,Maldives,马尔代夫
20,0,14,0,6,0,20200415,0,0,0,0,Maldives,马尔代夫
23,3,16,2,7,1,20200416,0,0,0,0,Maldives,马尔代夫
28,5,16,0,12,5,20200417,0,0,0,0,Maldives,马尔代夫
34,6,16,0,18,6,20200418,0,0,0,0,Maldives,马尔代夫
52,18,16,0,36,18,20200419,0,0,0,0,Maldives,马尔代夫
67,15,16,0,51,15,20200420,0,0,0,0,Maldives,马尔代夫
67,0,16,0,51,0,20200421,0,0,0,0,Maldives,马尔代夫
85,18,16,0,69,18,20200422,0,0,0,0,Maldives,马尔代夫
94,9,16,0,78,9,20200423,0,0,0,0,Maldives,马尔代夫
128,34,16,0,112,34,20200424,0,0,0,0,Maldives,马尔代夫
141,13,16,0,125,13,20200425,0,0,0,0,Maldives,马尔代夫
191,50,17,1,174,49,20200426,0,0,0,0,Maldives,马尔代夫
226,35,17,0,209,35,20200427,0,0,0,0,Maldives,马尔代夫
250,24,17,0,233,24,20200428,0,0,0,0,Maldives,马尔代夫
277,27,17,0,260,27,20200429,0,0,0,0,Maldives,马尔代夫
396,119,17,0,378,118,20200430,1,1,0,0,Maldives,马尔代夫
481,85,17,0,463,85,20200501,1,0,0,0,Maldives,马尔代夫
519,38,18,1,500,37,20200502,1,0,0,0,Maldives,马尔代夫
519,0,18,0,500,0,20200503,1,0,0,0,Maldives,马尔代夫
527,8,18,0,508,8,20200504,1,0,0,0,Maldives,马尔代夫
573,46,20,2,551,43,20200505,2,1,0,0,Maldives,马尔代夫
