confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200325,0,0,0,0,Mali,马里
2,0,0,0,2,0,20200326,0,0,0,0,Mali,马里
11,9,0,0,11,9,20200327,0,0,0,0,Mali,马里
18,7,0,0,18,7,20200328,0,0,0,0,Mali,马里
20,2,0,0,19,1,20200329,1,1,0,0,Mali,马里
25,5,0,0,23,4,20200330,2,1,0,0,Mali,马里
28,3,0,0,26,3,20200331,2,0,0,0,Mali,马里
31,3,0,0,28,2,20200401,3,1,0,0,Mali,马里
36,5,0,0,33,5,20200402,3,0,0,0,Mali,马里
39,3,0,0,36,3,20200403,3,0,0,0,Mali,马里
41,2,1,1,37,1,20200404,3,0,0,0,Mali,马里
45,4,1,0,39,2,20200405,5,2,0,0,Mali,马里
47,2,1,0,41,2,20200406,5,0,0,0,Mali,马里
56,9,1,0,50,9,20200407,5,0,0,0,Mali,马里
59,3,16,15,36,-14,20200408,7,2,0,0,Mali,马里
74,15,22,6,45,9,20200409,7,0,0,0,Mali,马里
87,13,22,0,58,13,20200410,7,0,0,0,Mali,马里
105,18,22,0,74,16,20200411,9,2,0,0,Mali,马里
116,11,25,3,82,8,20200412,9,0,0,0,Mali,马里
123,7,26,1,87,5,20200413,10,1,0,0,Mali,马里
144,21,34,8,97,10,20200414,13,3,0,0,Mali,马里
148,4,34,0,101,4,20200415,13,0,0,0,Mali,马里
171,23,34,0,124,23,20200416,13,0,0,0,Mali,马里
190,19,34,0,143,19,20200417,13,0,0,0,Mali,马里
216,26,41,7,162,19,20200418,13,0,0,0,Mali,马里
224,8,42,1,168,6,20200419,14,1,0,0,Mali,马里
246,22,56,14,176,8,20200420,14,0,0,0,Mali,马里
258,12,57,1,187,11,20200421,14,0,0,0,Mali,马里
258,0,57,0,187,0,20200422,14,0,0,0,Mali,马里
310,52,77,20,212,25,20200423,21,7,0,0,Mali,马里
325,15,87,10,217,5,20200424,21,0,0,0,Mali,马里
370,45,91,4,258,41,20200425,21,0,0,0,Mali,马里
370,0,91,0,258,0,20200426,21,0,0,0,Mali,马里
389,19,112,21,254,-4,20200427,23,2,0,0,Mali,马里
424,35,122,10,278,24,20200428,24,1,0,0,Mali,马里
482,58,129,7,328,50,20200429,25,1,0,0,Mali,马里
490,8,135,6,329,1,20200430,26,1,0,0,Mali,马里
508,18,196,61,286,-43,20200501,26,0,0,0,Mali,马里
508,0,196,0,286,0,20200502,26,0,0,0,Mali,马里
544,36,196,0,322,36,20200503,26,0,0,0,Mali,马里
563,19,196,0,340,18,20200504,27,1,0,0,Mali,马里
612,49,228,32,352,12,20200505,32,5,0,0,Mali,马里
631,19,261,33,338,-14,20200506,32,0,0,0,Mali,马里
650,19,271,10,347,9,20200507,32,0,0,0,Mali,马里
650,0,271,0,347,0,20200508,32,0,0,0,Mali,马里
692,42,298,27,357,10,20200509,37,5,0,0,Mali,马里
692,0,298,0,357,0,20200510,37,0,0,0,Mali,马里
712,20,377,79,296,-61,20200511,39,2,0,0,Mali,马里
730,18,398,21,292,-4,20200512,40,1,0,0,Mali,马里
730,0,398,0,292,0,20200513,40,0,0,0,Mali,马里
758,28,398,0,316,24,20200514,44,4,0,0,Mali,马里
806,48,455,57,305,-11,20200515,46,2,0,0,Mali,马里
835,29,479,24,308,3,20200516,48,2,0,0,Mali,马里
860,25,494,15,314,6,20200517,52,4,0,0,Mali,马里
860,0,494,0,314,0,20200518,52,0,0,0,Mali,马里
901,41,529,35,319,5,20200519,53,1,0,0,Mali,马里
931,30,543,14,333,14,20200520,55,2,0,0,Mali,马里
931,0,543,0,333,0,20200521,55,0,0,0,Mali,马里
931,0,543,0,333,0,20200522,55,0,0,0,Mali,马里
1015,84,574,31,378,45,20200523,63,8,0,0,Mali,马里
1015,0,574,0,378,0,20200524,63,0,0,0,Mali,马里
1030,15,574,0,391,13,20200525,65,2,0,0,Mali,马里
1077,47,617,43,390,-1,20200526,70,5,0,0,Mali,马里
1116,39,632,15,414,24,20200527,70,0,0,0,Mali,马里
1194,78,652,20,470,56,20200528,72,2,0,0,Mali,马里
