confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
3,3,0,0,3,3,20200308,0,0,0,0,Malta,马耳他
3,0,0,0,3,0,20200309,0,0,0,0,Malta,马耳他
4,1,0,0,4,1,20200310,0,0,0,0,Malta,马耳他
4,0,0,0,4,0,20200311,0,0,0,0,Malta,马耳他
6,2,0,0,6,2,20200312,0,0,0,0,Malta,马耳他
9,3,0,0,9,3,20200313,0,0,0,0,Malta,马耳他
12,3,0,0,12,3,20200314,0,0,0,0,Malta,马耳他
12,0,0,0,12,0,20200315,0,0,0,0,Malta,马耳他
21,9,0,0,21,9,20200316,0,0,0,0,Malta,马耳他
30,9,0,0,30,9,20200317,0,0,0,0,Malta,马耳他
38,8,0,0,38,8,20200318,0,0,0,0,Malta,马耳他
38,0,0,0,38,0,20200319,0,0,0,0,Malta,马耳他
53,15,0,0,53,15,20200320,0,0,0,0,Malta,马耳他
64,11,0,0,64,11,20200321,0,0,0,0,Malta,马耳他
73,9,0,0,73,9,20200322,0,0,0,0,Malta,马耳他
90,17,0,0,90,17,20200323,0,0,0,0,Malta,马耳他
107,17,0,0,107,17,20200324,0,0,0,0,Malta,马耳他
120,13,0,0,120,13,20200325,0,0,0,0,Malta,马耳他
129,9,0,0,129,9,20200326,0,0,0,0,Malta,马耳他
134,5,0,0,134,5,20200327,0,0,0,0,Malta,马耳他
139,5,0,0,139,5,20200328,0,0,0,0,Malta,马耳他
139,0,0,0,139,0,20200329,0,0,0,0,Malta,马耳他
151,12,0,0,151,12,20200330,0,0,0,0,Malta,马耳他
169,18,0,0,169,18,20200331,0,0,0,0,Malta,马耳他
169,0,0,0,169,0,20200401,0,0,0,0,Malta,马耳他
188,19,0,0,188,19,20200402,0,0,0,0,Malta,马耳他
202,14,0,0,202,14,20200403,0,0,0,0,Malta,马耳他
213,11,0,0,213,11,20200404,0,0,0,0,Malta,马耳他
227,14,0,0,227,14,20200405,0,0,0,0,Malta,马耳他
241,14,0,0,241,14,20200406,0,0,0,0,Malta,马耳他
293,52,0,0,293,52,20200407,0,0,0,0,Malta,马耳他
299,6,0,0,299,6,20200408,0,0,0,0,Malta,马耳他
299,0,0,0,298,-1,20200409,1,1,0,0,Malta,马耳他
350,51,0,0,348,50,20200410,2,1,0,0,Malta,马耳他
370,20,0,0,367,19,20200411,3,1,0,0,Malta,马耳他
378,8,44,44,331,-36,20200412,3,0,0,0,Malta,马耳他
384,6,44,0,337,6,20200413,3,0,0,0,Malta,马耳他
384,0,44,0,337,0,20200414,3,0,0,0,Malta,马耳他
399,15,44,0,352,15,20200415,3,0,0,0,Malta,马耳他
399,0,44,0,352,0,20200416,3,0,0,0,Malta,马耳他
412,13,44,0,365,13,20200417,3,0,0,0,Malta,马耳他
422,10,44,0,375,10,20200418,3,0,0,0,Malta,马耳他
426,4,44,0,379,4,20200419,3,0,0,0,Malta,马耳他
427,1,44,0,380,1,20200420,3,0,0,0,Malta,马耳他
431,4,44,0,384,4,20200421,3,0,0,0,Malta,马耳他
443,12,44,0,396,12,20200422,3,0,0,0,Malta,马耳他
444,1,44,0,397,1,20200423,3,0,0,0,Malta,马耳他
445,1,44,0,398,1,20200424,3,0,0,0,Malta,马耳他
447,2,44,0,400,2,20200425,3,0,0,0,Malta,马耳他
448,1,282,238,162,-238,20200426,4,1,0,0,Malta,马耳他
448,0,282,0,162,0,20200427,4,0,0,0,Malta,马耳他
450,2,282,0,164,2,20200428,4,0,0,0,Malta,马耳他
463,13,339,57,120,-44,20200429,4,0,0,0,Malta,马耳他
465,2,351,12,110,-10,20200430,4,0,0,0,Malta,马耳他
467,2,367,16,96,-14,20200501,4,0,0,0,Malta,马耳他
467,0,367,0,96,0,20200502,4,0,0,0,Malta,马耳他
467,0,367,0,96,0,20200503,4,0,0,0,Malta,马耳他
477,10,367,0,106,10,20200504,4,0,0,0,Malta,马耳他
480,3,367,0,109,3,20200505,4,0,0,0,Malta,马耳他
482,2,367,0,110,1,20200506,5,1,0,0,Malta,马耳他
484,2,367,0,112,2,20200507,5,0,0,0,Malta,马耳他
486,2,367,0,114,2,20200508,5,0,0,0,Malta,马耳他
489,3,367,0,117,3,20200509,5,0,0,0,Malta,马耳他
490,1,367,0,118,1,20200510,5,0,0,0,Malta,马耳他
496,6,367,0,124,6,20200511,5,0,0,0,Malta,马耳他
503,7,367,0,131,7,20200512,5,0,0,0,Malta,马耳他
503,0,367,0,131,0,20200513,5,0,0,0,Malta,马耳他
508,5,367,0,135,4,20200514,6,1,0,0,Malta,马耳他
522,14,367,0,149,14,20200515,6,0,0,0,Malta,马耳他
532,10,367,0,159,10,20200516,6,0,0,0,Malta,马耳他
546,14,367,0,173,14,20200517,6,0,0,0,Malta,马耳他
553,7,367,0,180,7,20200518,6,0,0,0,Malta,马耳他
558,5,367,0,185,5,20200519,6,0,0,0,Malta,马耳他
560,2,367,0,187,2,20200520,6,0,0,0,Malta,马耳他
584,24,367,0,211,24,20200521,6,0,0,0,Malta,马耳他
599,15,367,0,226,15,20200522,6,0,0,0,Malta,马耳他
600,1,367,0,227,1,20200523,6,0,0,0,Malta,马耳他
609,9,367,0,236,9,20200524,6,0,0,0,Malta,马耳他
610,1,367,0,237,1,20200525,6,0,0,0,Malta,马耳他
611,1,367,0,238,1,20200526,6,0,0,0,Malta,马耳他
611,0,367,0,238,0,20200527,6,0,0,0,Malta,马耳他
615,4,367,0,241,3,20200528,7,1,0,0,Malta,马耳他
616,1,367,0,242,1,20200529,7,0,0,0,Malta,马耳他
616,0,367,0,242,0,20200530,7,0,0,0,Malta,马耳他
616,0,367,0,242,0,20200531,7,0,0,0,Malta,马耳他
616,0,367,0,242,0,20200601,7,0,0,0,Malta,马耳他
619,3,367,0,243,1,20200602,9,2,0,0,Malta,马耳他
620,1,367,0,244,1,20200603,9,0,0,0,Malta,马耳他
622,2,367,0,246,2,20200604,9,0,0,0,Malta,马耳他
622,0,367,0,246,0,20200605,9,0,0,0,Malta,马耳他
622,0,367,0,246,0,20200606,9,0,0,0,Malta,马耳他
622,0,367,0,246,0,20200607,9,0,0,0,Malta,马耳他
629,7,367,0,253,7,20200608,9,0,0,0,Malta,马耳他
630,1,367,0,254,1,20200609,9,0,0,0,Malta,马耳他
634,4,367,0,258,4,20200610,9,0,0,0,Malta,马耳他
635,1,367,0,259,1,20200611,9,0,0,0,Malta,马耳他
640,5,367,0,264,5,20200612,9,0,0,0,Malta,马耳他
645,5,367,0,269,5,20200613,9,0,0,0,Malta,马耳他
646,1,367,0,270,1,20200614,9,0,0,0,Malta,马耳他
646,0,367,0,270,0,20200615,9,0,0,0,Malta,马耳他
649,3,367,0,273,3,20200616,9,0,0,0,Malta,马耳他
649,0,367,0,273,0,20200617,9,0,0,0,Malta,马耳他
662,13,367,0,286,13,20200618,9,0,0,0,Malta,马耳他
663,1,367,0,287,1,20200619,9,0,0,0,Malta,马耳他
663,0,367,0,287,0,20200620,9,0,0,0,Malta,马耳他
664,1,367,0,288,1,20200621,9,0,0,0,Malta,马耳他
665,1,367,0,289,1,20200622,9,0,0,0,Malta,马耳他
665,0,367,0,289,0,20200623,9,0,0,0,Malta,马耳他
665,0,367,0,289,0,20200624,9,0,0,0,Malta,马耳他
665,0,367,0,289,0,20200625,9,0,0,0,Malta,马耳他
668,3,367,0,292,3,20200626,9,0,0,0,Malta,马耳他
670,2,367,0,294,2,20200627,9,0,0,0,Malta,马耳他
670,0,367,0,294,0,20200628,9,0,0,0,Malta,马耳他
670,0,367,0,294,0,20200629,9,0,0,0,Malta,马耳他
670,0,367,0,294,0,20200630,9,0,0,0,Malta,马耳他
670,0,367,0,294,0,20200701,9,0,0,0,Malta,马耳他
670,0,367,0,294,0,20200702,9,0,0,0,Malta,马耳他
670,0,367,0,294,0,20200703,9,0,0,0,Malta,马耳他
672,2,367,0,296,2,20200704,9,0,0,0,Malta,马耳他
672,0,367,0,296,0,20200705,9,0,0,0,Malta,马耳他
672,0,367,0,296,0,20200706,9,0,0,0,Malta,马耳他
672,0,367,0,296,0,20200707,9,0,0,0,Malta,马耳他
673,1,367,0,297,1,20200708,9,0,0,0,Malta,马耳他
