confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200308,0,0,0,0,Martinique,马提尼克
2,0,0,0,2,0,20200309,0,0,0,0,Martinique,马提尼克
2,0,0,0,2,0,20200310,0,0,0,0,Martinique,马提尼克
3,1,0,0,3,1,20200311,0,0,0,0,Martinique,马提尼克
3,0,0,0,3,0,20200312,0,0,0,0,Martinique,马提尼克
4,1,0,0,4,1,20200313,0,0,0,0,Martinique,马提尼克
6,2,0,0,6,2,20200314,0,0,0,0,Martinique,马提尼克
10,4,0,0,10,4,20200315,0,0,0,0,Martinique,马提尼克
15,5,0,0,15,5,20200316,0,0,0,0,Martinique,马提尼克
16,1,0,0,16,1,20200317,0,0,0,0,Martinique,马提尼克
16,0,0,0,16,0,20200318,0,0,0,0,Martinique,马提尼克
16,0,0,0,16,0,20200319,0,0,0,0,Martinique,马提尼克
32,16,0,0,32,16,20200320,0,0,0,0,Martinique,马提尼克
32,0,0,0,32,0,20200321,0,0,0,0,Martinique,马提尼克
32,0,0,0,32,0,20200322,0,0,0,0,Martinique,马提尼克
32,0,0,0,32,0,20200323,0,0,0,0,Martinique,马提尼克
53,21,0,0,53,21,20200324,0,0,0,0,Martinique,马提尼克
57,4,0,0,57,4,20200325,0,0,0,0,Martinique,马提尼克
66,9,0,0,65,8,20200326,1,1,0,0,Martinique,马提尼克
66,0,0,0,65,0,20200327,1,0,0,0,Martinique,马提尼克
93,27,0,0,92,27,20200328,1,0,0,0,Martinique,马提尼克
93,0,0,0,92,0,20200329,1,0,0,0,Martinique,马提尼克
105,12,0,0,103,11,20200330,2,1,0,0,Martinique,马提尼克
111,6,0,0,109,6,20200331,2,0,0,0,Martinique,马提尼克
119,8,0,0,117,8,20200401,2,0,0,0,Martinique,马提尼克
128,9,0,0,125,8,20200402,3,1,0,0,Martinique,马提尼克
131,3,0,0,128,3,20200403,3,0,0,0,Martinique,马提尼克
138,7,0,0,135,7,20200404,3,0,0,0,Martinique,马提尼克
145,7,0,0,142,7,20200405,3,0,0,0,Martinique,马提尼克
145,0,0,0,142,0,20200406,3,0,0,0,Martinique,马提尼克
149,4,0,0,145,3,20200407,4,1,0,0,Martinique,马提尼克
151,2,0,0,147,2,20200408,4,0,0,0,Martinique,马提尼克
152,1,0,0,148,1,20200409,4,0,0,0,Martinique,马提尼克
154,2,0,0,148,0,20200410,6,2,0,0,Martinique,马提尼克
154,0,0,0,148,0,20200411,6,0,0,0,Martinique,马提尼克
155,1,0,0,149,1,20200412,6,0,0,0,Martinique,马提尼克
156,1,0,0,150,1,20200413,6,0,0,0,Martinique,马提尼克
157,1,0,0,149,-1,20200414,8,2,0,0,Martinique,马提尼克
157,0,0,0,149,0,20200415,8,0,0,0,Martinique,马提尼克
158,1,0,0,150,1,20200416,8,0,0,0,Martinique,马提尼克
159,1,0,0,151,1,20200417,8,0,0,0,Martinique,马提尼克
159,0,0,0,151,0,20200418,8,0,0,0,Martinique,马提尼克
163,4,0,0,151,0,20200419,12,4,0,0,Martinique,马提尼克
163,0,0,0,151,0,20200420,12,0,0,0,Martinique,马提尼克
163,0,0,0,149,-2,20200421,14,2,0,0,Martinique,马提尼克
163,0,0,0,149,0,20200422,14,0,0,0,Martinique,马提尼克
164,1,0,0,150,1,20200423,14,0,0,0,Martinique,马提尼克
170,6,0,0,156,6,20200424,14,0,0,0,Martinique,马提尼克
170,0,0,0,156,0,20200425,14,0,0,0,Martinique,马提尼克
170,0,0,0,156,0,20200426,14,0,0,0,Martinique,马提尼克
175,5,0,0,161,5,20200427,14,0,0,0,Martinique,马提尼克
175,0,0,0,161,0,20200428,14,0,0,0,Martinique,马提尼克
175,0,0,0,161,0,20200429,14,0,0,0,Martinique,马提尼克
175,0,0,0,161,0,20200430,14,0,0,0,Martinique,马提尼克
178,3,0,0,164,3,20200501,14,0,0,0,Martinique,马提尼克
179,1,0,0,165,1,20200502,14,0,0,0,Martinique,马提尼克
180,1,0,0,166,1,20200503,14,0,0,0,Martinique,马提尼克
181,1,0,0,167,1,20200504,14,0,0,0,Martinique,马提尼克
181,0,0,0,167,0,20200505,14,0,0,0,Martinique,马提尼克
181,0,0,0,167,0,20200506,14,0,0,0,Martinique,马提尼克
182,1,0,0,168,1,20200507,14,0,0,0,Martinique,马提尼克
182,0,0,0,168,0,20200508,14,0,0,0,Martinique,马提尼克
183,1,0,0,169,1,20200509,14,0,0,0,Martinique,马提尼克
186,3,0,0,172,3,20200510,14,0,0,0,Martinique,马提尼克
187,1,0,0,173,1,20200511,14,0,0,0,Martinique,马提尼克
187,0,0,0,173,0,20200512,14,0,0,0,Martinique,马提尼克
187,0,0,0,173,0,20200513,14,0,0,0,Martinique,马提尼克
189,2,0,0,175,2,20200514,14,0,0,0,Martinique,马提尼克
189,0,0,0,175,0,20200515,14,0,0,0,Martinique,马提尼克
189,0,0,0,175,0,20200516,14,0,0,0,Martinique,马提尼克
192,3,0,0,178,3,20200517,14,0,0,0,Martinique,马提尼克
192,0,0,0,178,0,20200518,14,0,0,0,Martinique,马提尼克
192,0,0,0,178,0,20200519,14,0,0,0,Martinique,马提尼克
192,0,0,0,178,0,20200520,14,0,0,0,Martinique,马提尼克
192,0,0,0,178,0,20200521,14,0,0,0,Martinique,马提尼克
192,0,0,0,178,0,20200522,14,0,0,0,Martinique,马提尼克
197,5,0,0,183,5,20200523,14,0,0,0,Martinique,马提尼克
197,0,0,0,183,0,20200524,14,0,0,0,Martinique,马提尼克
197,0,0,0,183,0,20200525,14,0,0,0,Martinique,马提尼克
197,0,0,0,183,0,20200526,14,0,0,0,Martinique,马提尼克
197,0,0,0,183,0,20200527,14,0,0,0,Martinique,马提尼克
197,0,0,0,183,0,20200528,14,0,0,0,Martinique,马提尼克
197,0,0,0,183,0,20200529,14,0,0,0,Martinique,马提尼克
197,0,0,0,183,0,20200530,14,0,0,0,Martinique,马提尼克
200,3,0,0,186,3,20200531,14,0,0,0,Martinique,马提尼克
200,0,0,0,186,0,20200601,14,0,0,0,Martinique,马提尼克
200,0,0,0,186,0,20200602,14,0,0,0,Martinique,马提尼克
200,0,0,0,186,0,20200603,14,0,0,0,Martinique,马提尼克
200,0,0,0,186,0,20200604,14,0,0,0,Martinique,马提尼克
200,0,0,0,186,0,20200605,14,0,0,0,Martinique,马提尼克
200,0,0,0,186,0,20200606,14,0,0,0,Martinique,马提尼克
202,2,0,0,188,2,20200607,14,0,0,0,Martinique,马提尼克
202,0,0,0,188,0,20200608,14,0,0,0,Martinique,马提尼克
202,0,0,0,188,0,20200609,14,0,0,0,Martinique,马提尼克
202,0,0,0,188,0,20200610,14,0,0,0,Martinique,马提尼克
202,0,0,0,188,0,20200611,14,0,0,0,Martinique,马提尼克
202,0,0,0,188,0,20200612,14,0,0,0,Martinique,马提尼克
202,0,0,0,188,0,20200613,14,0,0,0,Martinique,马提尼克
202,0,0,0,188,0,20200614,14,0,0,0,Martinique,马提尼克
202,0,0,0,188,0,20200615,14,0,0,0,Martinique,马提尼克
202,0,0,0,188,0,20200616,14,0,0,0,Martinique,马提尼克
202,0,0,0,188,0,20200617,14,0,0,0,Martinique,马提尼克
202,0,0,0,188,0,20200618,14,0,0,0,Martinique,马提尼克
221,19,0,0,207,19,20200619,14,0,0,0,Martinique,马提尼克
221,0,0,0,207,0,20200620,14,0,0,0,Martinique,马提尼克
236,15,0,0,222,15,20200621,14,0,0,0,Martinique,马提尼克
236,0,0,0,222,0,20200622,14,0,0,0,Martinique,马提尼克
236,0,0,0,222,0,20200623,14,0,0,0,Martinique,马提尼克
236,0,0,0,222,0,20200624,14,0,0,0,Martinique,马提尼克
236,0,0,0,222,0,20200625,14,0,0,0,Martinique,马提尼克
236,0,0,0,222,0,20200626,14,0,0,0,Martinique,马提尼克
236,0,0,0,222,0,20200627,14,0,0,0,Martinique,马提尼克
242,6,0,0,228,6,20200628,14,0,0,0,Martinique,马提尼克
242,0,0,0,228,0,20200629,14,0,0,0,Martinique,马提尼克
242,0,0,0,228,0,20200630,14,0,0,0,Martinique,马提尼克
242,0,0,0,228,0,20200701,14,0,0,0,Martinique,马提尼克
242,0,0,0,228,0,20200702,14,0,0,0,Martinique,马提尼克
242,0,0,0,228,0,20200703,14,0,0,0,Martinique,马提尼克
242,0,0,0,228,0,20200704,14,0,0,0,Martinique,马提尼克
249,7,0,0,235,7,20200705,14,0,0,0,Martinique,马提尼克
249,0,0,0,235,0,20200706,14,0,0,0,Martinique,马提尼克
249,0,0,0,235,0,20200707,14,0,0,0,Martinique,马提尼克
249,0,0,0,235,0,20200708,14,0,0,0,Martinique,马提尼克
