confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
7,7,0,0,7,7,20200319,0,0,0,0,Mauritius,毛里求斯
12,5,0,0,12,5,20200320,0,0,0,0,Mauritius,毛里求斯
14,2,0,0,13,1,20200321,1,1,0,0,Mauritius,毛里求斯
24,10,0,0,22,9,20200322,2,1,0,0,Mauritius,毛里求斯
36,12,2,2,32,10,20200323,2,0,0,0,Mauritius,毛里求斯
42,6,2,0,38,6,20200324,2,0,0,0,Mauritius,毛里求斯
48,6,0,-2,46,8,20200325,2,0,0,0,Mauritius,毛里求斯
81,33,0,0,79,33,20200326,2,0,0,0,Mauritius,毛里求斯
94,13,0,0,92,13,20200327,2,0,0,0,Mauritius,毛里求斯
102,8,0,0,100,8,20200328,2,0,0,0,Mauritius,毛里求斯
107,5,0,0,105,5,20200329,2,0,0,0,Mauritius,毛里求斯
131,24,0,0,128,23,20200330,3,1,0,0,Mauritius,毛里求斯
143,12,0,0,138,10,20200331,5,2,0,0,Mauritius,毛里求斯
161,18,0,0,155,17,20200401,6,1,0,0,Mauritius,毛里求斯
169,8,0,0,162,7,20200402,7,1,0,0,Mauritius,毛里求斯
186,17,0,0,179,17,20200403,7,0,0,0,Mauritius,毛里求斯
196,10,0,0,189,10,20200404,7,0,0,0,Mauritius,毛里求斯
227,31,0,0,220,31,20200405,7,0,0,0,Mauritius,毛里求斯
244,17,4,4,233,13,20200406,7,0,0,0,Mauritius,毛里求斯
268,24,8,4,253,20,20200407,7,0,0,0,Mauritius,毛里求斯
273,5,19,11,247,-6,20200408,7,0,0,0,Mauritius,毛里求斯
314,41,23,4,284,37,20200409,7,0,0,0,Mauritius,毛里求斯
318,4,23,0,286,2,20200410,9,2,0,0,Mauritius,毛里求斯
319,1,28,5,282,-4,20200411,9,0,0,0,Mauritius,毛里求斯
324,5,42,14,273,-9,20200412,9,0,0,0,Mauritius,毛里求斯
324,0,42,0,273,0,20200413,9,0,0,0,Mauritius,毛里求斯
324,0,51,9,264,-9,20200414,9,0,0,0,Mauritius,毛里求斯
324,0,65,14,250,-14,20200415,9,0,0,0,Mauritius,毛里求斯
324,0,81,16,234,-16,20200416,9,0,0,0,Mauritius,毛里求斯
324,0,108,27,207,-27,20200417,9,0,0,0,Mauritius,毛里求斯
325,1,180,72,136,-71,20200418,9,0,0,0,Mauritius,毛里求斯
328,3,208,28,111,-25,20200419,9,0,0,0,Mauritius,毛里求斯
328,0,224,16,95,-16,20200420,9,0,0,0,Mauritius,毛里求斯
328,0,243,19,76,-19,20200421,9,0,0,0,Mauritius,毛里求斯
329,1,261,18,59,-17,20200422,9,0,0,0,Mauritius,毛里求斯
331,2,266,5,56,-3,20200423,9,0,0,0,Mauritius,毛里求斯
331,0,285,19,37,-19,20200424,9,0,0,0,Mauritius,毛里求斯
331,0,295,10,27,-10,20200425,9,0,0,0,Mauritius,毛里求斯
331,0,295,0,27,0,20200426,9,0,0,0,Mauritius,毛里求斯
334,3,302,7,23,-4,20200427,9,0,0,0,Mauritius,毛里求斯
334,0,302,0,23,0,20200428,9,0,0,0,Mauritius,毛里求斯
334,0,306,4,18,-5,20200429,10,1,0,0,Mauritius,毛里求斯
