confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200316,0,0,0,0,Mayotte,马约特
1,0,0,0,1,0,20200317,0,0,0,0,Mayotte,马约特
1,0,0,0,1,0,20200318,0,0,0,0,Mayotte,马约特
1,0,0,0,1,0,20200319,0,0,0,0,Mayotte,马约特
4,3,0,0,4,3,20200320,0,0,0,0,Mayotte,马约特
4,0,0,0,4,0,20200321,0,0,0,0,Mayotte,马约特
11,7,0,0,11,7,20200322,0,0,0,0,Mayotte,马约特
14,3,0,0,14,3,20200323,0,0,0,0,Mayotte,马约特
24,10,0,0,24,10,20200324,0,0,0,0,Mayotte,马约特
30,6,0,0,30,6,20200325,0,0,0,0,Mayotte,马约特
35,5,0,0,35,5,20200326,0,0,0,0,Mayotte,马约特
50,15,0,0,50,15,20200327,0,0,0,0,Mayotte,马约特
50,0,0,0,50,0,20200328,0,0,0,0,Mayotte,马约特
50,0,0,0,50,0,20200329,0,0,0,0,Mayotte,马约特
82,32,0,0,82,32,20200330,0,0,0,0,Mayotte,马约特
82,0,0,0,82,0,20200331,0,0,0,0,Mayotte,马约特
101,19,0,0,101,19,20200401,0,0,0,0,Mayotte,马约特
116,15,0,0,114,13,20200402,2,2,0,0,Mayotte,马约特
128,12,0,0,126,12,20200403,2,0,0,0,Mayotte,马约特
128,0,0,0,126,0,20200404,2,0,0,0,Mayotte,马约特
147,19,0,0,145,19,20200405,2,0,0,0,Mayotte,马约特
147,0,0,0,145,0,20200406,2,0,0,0,Mayotte,马约特
164,17,0,0,162,17,20200407,2,0,0,0,Mayotte,马约特
184,20,0,0,182,20,20200408,2,0,0,0,Mayotte,马约特
186,2,0,0,184,2,20200409,2,0,0,0,Mayotte,马约特
191,5,0,0,189,5,20200410,2,0,0,0,Mayotte,马约特
191,0,0,0,189,0,20200411,2,0,0,0,Mayotte,马约特
191,0,0,0,189,0,20200412,2,0,0,0,Mayotte,马约特
207,16,0,0,204,15,20200413,3,1,0,0,Mayotte,马约特
207,0,0,0,204,0,20200414,3,0,0,0,Mayotte,马约特
217,10,0,0,214,10,20200415,3,0,0,0,Mayotte,马约特
221,4,0,0,218,4,20200416,3,0,0,0,Mayotte,马约特
233,12,0,0,230,12,20200417,3,0,0,0,Mayotte,马约特
245,12,0,0,241,11,20200418,4,1,0,0,Mayotte,马约特
245,0,0,0,241,0,20200419,4,0,0,0,Mayotte,马约特
284,39,0,0,280,39,20200420,4,0,0,0,Mayotte,马约特
284,0,0,0,280,0,20200421,4,0,0,0,Mayotte,马约特
311,27,0,0,307,27,20200422,4,0,0,0,Mayotte,马约特
326,15,0,0,322,15,20200423,4,0,0,0,Mayotte,马约特
339,13,0,0,335,13,20200424,4,0,0,0,Mayotte,马约特
354,15,0,0,350,15,20200425,4,0,0,0,Mayotte,马约特
354,0,0,0,350,0,20200426,4,0,0,0,Mayotte,马约特
401,47,0,0,397,47,20200427,4,0,0,0,Mayotte,马约特
433,32,0,0,429,32,20200428,4,0,0,0,Mayotte,马约特
460,27,0,0,456,27,20200429,4,0,0,0,Mayotte,马约特
460,0,0,0,456,0,20200430,4,0,0,0,Mayotte,马约特
539,79,0,0,535,79,20200501,4,0,0,0,Mayotte,马约特
539,0,0,0,535,0,20200502,4,0,0,0,Mayotte,马约特
596,57,0,0,590,55,20200503,6,2,0,0,Mayotte,马约特
650,54,0,0,644,54,20200504,6,0,0,0,Mayotte,马约特
686,36,0,0,680,36,20200505,6,0,0,0,Mayotte,马约特
739,53,0,0,730,50,20200506,9,3,0,0,Mayotte,马约特
739,0,0,0,730,0,20200507,9,0,0,0,Mayotte,马约特
854,115,0,0,844,114,20200508,10,1,0,0,Mayotte,马约特
890,36,0,0,879,35,20200509,11,1,0,0,Mayotte,马约特
890,0,0,0,879,0,20200510,11,0,0,0,Mayotte,马约特
