confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200229,0,0,0,0,Mexico,墨西哥
2,0,0,0,2,0,20200301,0,0,0,0,Mexico,墨西哥
5,3,0,0,5,3,20200302,0,0,0,0,Mexico,墨西哥
5,0,0,0,5,0,20200303,0,0,0,0,Mexico,墨西哥
5,0,0,0,5,0,20200304,0,0,0,0,Mexico,墨西哥
5,0,0,0,5,0,20200305,0,0,0,0,Mexico,墨西哥
5,0,0,0,5,0,20200306,0,0,0,0,Mexico,墨西哥
5,0,0,0,5,0,20200307,0,0,0,0,Mexico,墨西哥
7,2,0,0,7,2,20200308,0,0,0,0,Mexico,墨西哥
7,0,0,0,7,0,20200309,0,0,0,0,Mexico,墨西哥
7,0,0,0,7,0,20200310,0,0,0,0,Mexico,墨西哥
7,0,0,0,7,0,20200311,0,0,0,0,Mexico,墨西哥
11,4,0,0,11,4,20200312,0,0,0,0,Mexico,墨西哥
12,1,0,0,12,1,20200313,0,0,0,0,Mexico,墨西哥
26,14,0,0,26,14,20200314,0,0,0,0,Mexico,墨西哥
41,15,1,1,40,14,20200315,0,0,0,0,Mexico,墨西哥
53,12,1,0,52,12,20200316,0,0,0,0,Mexico,墨西哥
53,0,1,0,52,0,20200317,0,0,0,0,Mexico,墨西哥
82,29,1,0,81,29,20200318,0,0,0,0,Mexico,墨西哥
164,82,1,0,162,81,20200319,1,1,0,0,Mexico,墨西哥
203,39,1,0,200,38,20200320,2,1,0,0,Mexico,墨西哥
203,0,1,0,200,0,20200321,2,0,0,0,Mexico,墨西哥
251,48,1,0,248,48,20200322,2,0,0,0,Mexico,墨西哥
316,65,1,0,313,65,20200323,2,0,0,0,Mexico,墨西哥
370,54,1,0,365,52,20200324,4,2,0,0,Mexico,墨西哥
475,105,1,0,468,103,20200325,6,2,0,0,Mexico,墨西哥
585,110,1,0,576,108,20200326,8,2,0,0,Mexico,墨西哥
585,0,1,0,576,0,20200327,8,0,0,0,Mexico,墨西哥
717,132,1,0,704,128,20200328,12,4,0,0,Mexico,墨西哥
858,141,1,0,841,137,20200329,16,4,0,0,Mexico,墨西哥
993,135,1,0,972,131,20200330,20,4,0,0,Mexico,墨西哥
1215,222,1,0,1185,213,20200331,29,9,0,0,Mexico,墨西哥
1378,163,1,0,1340,155,20200401,37,8,0,0,Mexico,墨西哥
1378,0,1,0,1340,0,20200402,37,0,0,0,Mexico,墨西哥
1688,310,1,0,1627,287,20200403,60,23,0,0,Mexico,墨西哥
1688,0,1,0,1627,0,20200404,60,0,0,0,Mexico,墨西哥
1890,202,1,0,1810,183,20200405,79,19,0,0,Mexico,墨西哥
2439,549,1,0,2313,503,20200406,125,46,0,0,Mexico,墨西哥
2785,346,1,0,2643,330,20200407,141,16,0,0,Mexico,墨西哥
3181,396,1,0,3006,363,20200408,174,33,0,0,Mexico,墨西哥
3441,260,1,0,3246,240,20200409,194,20,0,0,Mexico,墨西哥
3844,403,1,0,3610,364,20200410,233,39,0,0,Mexico,墨西哥
4219,375,1,0,3945,335,20200411,273,40,0,0,Mexico,墨西哥
4661,442,1,0,4364,419,20200412,296,23,0,0,Mexico,墨西哥
5014,353,1,0,4681,317,20200413,332,36,0,0,Mexico,墨西哥
5014,0,1,0,4681,0,20200414,332,0,0,0,Mexico,墨西哥
5399,385,1,0,4992,311,20200415,406,74,0,0,Mexico,墨西哥
6297,898,1,0,5810,818,20200416,486,80,0,0,Mexico,墨西哥
6875,578,1,0,6328,518,20200417,546,60,0,0,Mexico,墨西哥
7497,622,1,0,6846,518,20200418,650,104,0,0,Mexico,墨西哥
7497,0,1,0,6846,0,20200419,650,0,0,0,Mexico,墨西哥
8261,764,1,0,7574,728,20200420,686,36,0,0,Mexico,墨西哥
9501,1240,1,0,8643,1069,20200421,857,171,0,0,Mexico,墨西哥
9501,0,1,0,8643,0,20200422,857,0,0,0,Mexico,墨西哥
11633,2132,1,0,10563,1920,20200423,1069,212,0,0,Mexico,墨西哥
12872,1239,1,0,11650,1087,20200424,1221,152,0,0,Mexico,墨西哥
13842,970,1,0,12536,886,20200425,1305,84,0,0,Mexico,墨西哥
13842,0,1,0,12536,0,20200426,1305,0,0,0,Mexico,墨西哥
14667,825,1,0,13315,779,20200427,1351,46,0,0,Mexico,墨西哥
16752,2085,2627,2626,12556,-759,20200428,1569,218,0,0,Mexico,墨西哥
17799,1047,2627,0,13440,884,20200429,1732,163,0,0,Mexico,墨西哥
19224,1425,2627,0,14738,1298,20200430,1859,127,0,0,Mexico,墨西哥
19224,0,2627,0,14738,0,20200501,1859,0,0,0,Mexico,墨西哥
22088,2864,11423,8796,8604,-6134,20200502,2061,202,0,0,Mexico,墨西哥
22088,0,11423,0,8604,0,20200503,2061,0,0,0,Mexico,墨西哥
24905,2817,13447,2024,9187,583,20200504,2271,210,0,0,Mexico,墨西哥
