confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200301,0,0,0,0,Monaco,摩纳哥
1,0,0,0,1,0,20200302,0,0,0,0,Monaco,摩纳哥
1,0,0,0,1,0,20200303,0,0,0,0,Monaco,摩纳哥
1,0,0,0,1,0,20200304,0,0,0,0,Monaco,摩纳哥
1,0,0,0,1,0,20200305,0,0,0,0,Monaco,摩纳哥
1,0,0,0,1,0,20200306,0,0,0,0,Monaco,摩纳哥
1,0,0,0,1,0,20200307,0,0,0,0,Monaco,摩纳哥
1,0,0,0,1,0,20200308,0,0,0,0,Monaco,摩纳哥
1,0,0,0,1,0,20200309,0,0,0,0,Monaco,摩纳哥
1,0,0,0,1,0,20200310,0,0,0,0,Monaco,摩纳哥
1,0,0,0,1,0,20200311,0,0,0,0,Monaco,摩纳哥
1,0,0,0,1,0,20200312,0,0,0,0,Monaco,摩纳哥
1,0,0,0,1,0,20200313,0,0,0,0,Monaco,摩纳哥
2,1,0,0,2,1,20200314,0,0,0,0,Monaco,摩纳哥
2,0,0,0,2,0,20200315,0,0,0,0,Monaco,摩纳哥
9,7,0,0,9,7,20200316,0,0,0,0,Monaco,摩纳哥
9,0,0,0,9,0,20200317,0,0,0,0,Monaco,摩纳哥
9,0,0,0,9,0,20200318,0,0,0,0,Monaco,摩纳哥
11,2,0,0,11,2,20200319,0,0,0,0,Monaco,摩纳哥
12,1,0,0,12,1,20200320,0,0,0,0,Monaco,摩纳哥
18,6,0,0,18,6,20200321,0,0,0,0,Monaco,摩纳哥
23,5,0,0,23,5,20200322,0,0,0,0,Monaco,摩纳哥
23,0,0,0,23,0,20200323,0,0,0,0,Monaco,摩纳哥
27,4,1,1,26,3,20200324,0,0,0,0,Monaco,摩纳哥
31,4,1,0,30,4,20200325,0,0,0,0,Monaco,摩纳哥
33,2,1,0,32,2,20200326,0,0,0,0,Monaco,摩纳哥
42,9,1,0,41,9,20200327,0,0,0,0,Monaco,摩纳哥
43,1,1,0,42,1,20200328,0,0,0,0,Monaco,摩纳哥
46,3,1,0,45,3,20200329,0,0,0,0,Monaco,摩纳哥
49,3,1,0,47,2,20200330,1,1,0,0,Monaco,摩纳哥
52,3,1,0,50,3,20200331,1,0,0,0,Monaco,摩纳哥
55,3,1,0,53,3,20200401,1,0,0,0,Monaco,摩纳哥
