confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200310,0,0,0,0,Mongolia,蒙古
1,0,0,0,1,0,20200311,0,0,0,0,Mongolia,蒙古
1,0,0,0,1,0,20200312,0,0,0,0,Mongolia,蒙古
1,0,0,0,1,0,20200313,0,0,0,0,Mongolia,蒙古
1,0,0,0,1,0,20200314,0,0,0,0,Mongolia,蒙古
1,0,0,0,1,0,20200315,0,0,0,0,Mongolia,蒙古
1,0,0,0,1,0,20200316,0,0,0,0,Mongolia,蒙古
4,3,0,0,4,3,20200317,0,0,0,0,Mongolia,蒙古
4,0,0,0,4,0,20200318,0,0,0,0,Mongolia,蒙古
4,0,0,0,4,0,20200319,0,0,0,0,Mongolia,蒙古
6,2,0,0,6,2,20200320,0,0,0,0,Mongolia,蒙古
10,4,0,0,10,4,20200321,0,0,0,0,Mongolia,蒙古
10,0,0,0,10,0,20200322,0,0,0,0,Mongolia,蒙古
10,0,0,0,10,0,20200323,0,0,0,0,Mongolia,蒙古
10,0,0,0,10,0,20200324,0,0,0,0,Mongolia,蒙古
10,0,0,0,10,0,20200325,0,0,0,0,Mongolia,蒙古
11,1,0,0,11,1,20200326,0,0,0,0,Mongolia,蒙古
11,0,0,0,11,0,20200327,0,0,0,0,Mongolia,蒙古
12,1,0,0,12,1,20200328,0,0,0,0,Mongolia,蒙古
12,0,0,0,12,0,20200329,0,0,0,0,Mongolia,蒙古
12,0,0,0,12,0,20200330,0,0,0,0,Mongolia,蒙古
12,0,0,0,12,0,20200331,0,0,0,0,Mongolia,蒙古
12,0,0,0,12,0,20200401,0,0,0,0,Mongolia,蒙古
14,2,0,0,14,2,20200402,0,0,0,0,Mongolia,蒙古
14,0,0,0,14,0,20200403,0,0,0,0,Mongolia,蒙古
14,0,0,0,14,0,20200404,0,0,0,0,Mongolia,蒙古
14,0,0,0,14,0,20200405,0,0,0,0,Mongolia,蒙古
15,1,2,2,13,-1,20200406,0,0,0,0,Mongolia,蒙古
15,0,2,0,13,0,20200407,0,0,0,0,Mongolia,蒙古
16,1,2,0,14,1,20200408,0,0,0,0,Mongolia,蒙古
16,0,2,0,14,0,20200409,0,0,0,0,Mongolia,蒙古
16,0,2,0,14,0,20200410,0,0,0,0,Mongolia,蒙古
16,0,2,0,14,0,20200411,0,0,0,0,Mongolia,蒙古
16,0,2,0,14,0,20200412,0,0,0,0,Mongolia,蒙古
16,0,2,0,14,0,20200413,0,0,0,0,Mongolia,蒙古
30,14,5,3,25,11,20200414,0,0,0,0,Mongolia,蒙古
30,0,5,0,25,0,20200415,0,0,0,0,Mongolia,蒙古
30,0,5,0,25,0,20200416,0,0,0,0,Mongolia,蒙古
31,1,5,0,26,1,20200417,0,0,0,0,Mongolia,蒙古
31,0,5,0,26,0,20200418,0,0,0,0,Mongolia,蒙古
32,1,5,0,27,1,20200419,0,0,0,0,Mongolia,蒙古
32,0,5,0,27,0,20200420,0,0,0,0,Mongolia,蒙古
33,1,5,0,28,1,20200421,0,0,0,0,Mongolia,蒙古
34,1,5,0,29,1,20200422,0,0,0,0,Mongolia,蒙古
35,1,5,0,30,1,20200423,0,0,0,0,Mongolia,蒙古
36,1,6,1,30,0,20200424,0,0,0,0,Mongolia,蒙古
36,0,6,0,30,0,20200425,0,0,0,0,Mongolia,蒙古
38,2,9,3,29,-1,20200426,0,0,0,0,Mongolia,蒙古
38,0,10,1,28,-1,20200427,0,0,0,0,Mongolia,蒙古
38,0,10,0,28,0,20200428,0,0,0,0,Mongolia,蒙古
38,0,10,0,28,0,20200429,0,0,0,0,Mongolia,蒙古
38,0,10,0,28,0,20200430,0,0,0,0,Mongolia,蒙古
38,0,10,0,28,0,20200501,0,0,0,0,Mongolia,蒙古
38,0,10,0,28,0,20200502,0,0,0,0,Mongolia,蒙古
39,1,10,0,29,1,20200503,0,0,0,0,Mongolia,蒙古
39,0,10,0,29,0,20200504,0,0,0,0,Mongolia,蒙古
40,1,10,0,30,1,20200505,0,0,0,0,Mongolia,蒙古
41,1,10,0,31,1,20200506,0,0,0,0,Mongolia,蒙古
41,0,10,0,31,0,20200507,0,0,0,0,Mongolia,蒙古
41,0,10,0,31,0,20200508,0,0,0,0,Mongolia,蒙古
42,1,10,0,32,1,20200509,0,0,0,0,Mongolia,蒙古
42,0,10,0,32,0,20200510,0,0,0,0,Mongolia,蒙古
42,0,10,0,32,0,20200511,0,0,0,0,Mongolia,蒙古
42,0,10,0,32,0,20200512,0,0,0,0,Mongolia,蒙古
