confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200318,0,0,0,0,Montenegro,黑山
10,8,0,0,10,8,20200319,0,0,0,0,Montenegro,黑山
10,0,0,0,10,0,20200320,0,0,0,0,Montenegro,黑山
14,4,0,0,14,4,20200321,0,0,0,0,Montenegro,黑山
14,0,0,0,14,0,20200322,0,0,0,0,Montenegro,黑山
27,13,0,0,27,13,20200323,0,0,0,0,Montenegro,黑山
27,0,0,0,27,0,20200324,0,0,0,0,Montenegro,黑山
53,26,0,0,53,26,20200325,0,0,0,0,Montenegro,黑山
53,0,0,0,52,-1,20200326,1,1,0,0,Montenegro,黑山
75,22,0,0,74,22,20200327,1,0,0,0,Montenegro,黑山
75,0,0,0,74,0,20200328,1,0,0,0,Montenegro,黑山
85,10,0,0,84,10,20200329,1,0,0,0,Montenegro,黑山
91,6,0,0,90,6,20200330,1,0,0,0,Montenegro,黑山
109,18,0,0,108,18,20200331,1,0,0,0,Montenegro,黑山
109,0,0,0,107,-1,20200401,2,1,0,0,Montenegro,黑山
120,11,0,0,118,11,20200402,2,0,0,0,Montenegro,黑山
174,54,0,0,172,54,20200403,2,0,0,0,Montenegro,黑山
174,0,0,0,172,0,20200404,2,0,0,0,Montenegro,黑山
214,40,0,0,212,40,20200405,2,0,0,0,Montenegro,黑山
233,19,0,0,231,19,20200406,2,0,0,0,Montenegro,黑山
233,0,0,0,231,0,20200407,2,0,0,0,Montenegro,黑山
249,16,0,0,247,16,20200408,2,0,0,0,Montenegro,黑山
249,0,0,0,247,0,20200409,2,0,0,0,Montenegro,黑山
257,8,3,3,252,5,20200410,2,0,0,0,Montenegro,黑山
257,0,3,0,252,0,20200411,2,0,0,0,Montenegro,黑山
267,10,5,2,259,7,20200412,3,1,0,0,Montenegro,黑山
274,7,9,4,261,2,20200413,4,1,0,0,Montenegro,黑山
283,9,46,37,233,-28,20200414,4,0,0,0,Montenegro,黑山
288,5,55,9,229,-4,20200415,4,0,0,0,Montenegro,黑山
294,6,55,0,235,6,20200416,4,0,0,0,Montenegro,黑山
303,9,55,0,244,9,20200417,4,0,0,0,Montenegro,黑山
305,2,55,0,245,1,20200418,5,1,0,0,Montenegro,黑山
308,3,55,0,248,3,20200419,5,0,0,0,Montenegro,黑山
312,4,88,33,219,-29,20200420,5,0,0,0,Montenegro,黑山
313,1,101,13,207,-12,20200421,5,0,0,0,Montenegro,黑山
315,2,116,15,194,-13,20200422,5,0,0,0,Montenegro,黑山
316,1,123,7,188,-6,20200423,5,0,0,0,Montenegro,黑山
319,3,123,0,190,2,20200424,6,1,0,0,Montenegro,黑山
320,1,153,30,161,-29,20200425,6,0,0,0,Montenegro,黑山
320,0,153,0,161,0,20200426,6,0,0,0,Montenegro,黑山
321,1,153,0,161,0,20200427,7,1,0,0,Montenegro,黑山
321,0,153,0,161,0,20200428,7,0,0,0,Montenegro,黑山
322,1,203,50,112,-49,20200429,7,0,0,0,Montenegro,黑山
322,0,203,0,112,0,20200430,7,0,0,0,Montenegro,黑山
322,0,203,0,112,0,20200501,7,0,0,0,Montenegro,黑山
322,0,203,0,112,0,20200502,7,0,0,0,Montenegro,黑山
322,0,203,0,112,0,20200503,7,0,0,0,Montenegro,黑山
322,0,203,0,111,-1,20200504,8,1,0,0,Montenegro,黑山
324,2,253,50,63,-48,20200505,8,0,0,0,Montenegro,黑山
324,0,253,0,63,0,20200506,8,0,0,0,Montenegro,黑山
324,0,265,12,51,-12,20200507,8,0,0,0,Montenegro,黑山
324,0,265,0,51,0,20200508,8,0,0,0,Montenegro,黑山
324,0,265,0,51,0,20200509,8,0,0,0,Montenegro,黑山
324,0,265,0,51,0,20200510,8,0,0,0,Montenegro,黑山
325,1,265,0,52,1,20200511,8,0,0,0,Montenegro,黑山
325,0,265,0,52,0,20200512,8,0,0,0,Montenegro,黑山
325,0,265,0,51,-1,20200513,9,1,0,0,Montenegro,黑山
325,0,265,0,51,0,20200514,9,0,0,0,Montenegro,黑山
325,0,265,0,51,0,20200515,9,0,0,0,Montenegro,黑山
325,0,265,0,51,0,20200516,9,0,0,0,Montenegro,黑山
325,0,265,0,51,0,20200517,9,0,0,0,Montenegro,黑山
325,0,265,0,51,0,20200518,9,0,0,0,Montenegro,黑山
325,0,265,0,51,0,20200519,9,0,0,0,Montenegro,黑山
325,0,265,0,51,0,20200520,9,0,0,0,Montenegro,黑山
325,0,265,0,51,0,20200521,9,0,0,0,Montenegro,黑山
325,0,265,0,51,0,20200522,9,0,0,0,Montenegro,黑山
325,0,265,0,51,0,20200523,9,0,0,0,Montenegro,黑山
324,-1,315,50,0,-51,20200524,9,0,0,0,Montenegro,黑山
324,0,315,0,0,0,20200525,9,0,0,0,Montenegro,黑山
324,0,315,0,0,0,20200526,9,0,0,0,Montenegro,黑山
324,0,315,0,0,0,20200527,9,0,0,0,Montenegro,黑山
324,0,315,0,0,0,20200528,9,0,0,0,Montenegro,黑山
324,0,315,0,0,0,20200529,9,0,0,0,Montenegro,黑山
324,0,315,0,0,0,20200530,9,0,0,0,Montenegro,黑山
324,0,315,0,0,0,20200531,9,0,0,0,Montenegro,黑山
324,0,315,0,0,0,20200601,9,0,0,0,Montenegro,黑山
324,0,315,0,0,0,20200602,9,0,0,0,Montenegro,黑山
324,0,315,0,0,0,20200603,9,0,0,0,Montenegro,黑山
324,0,315,0,0,0,20200604,9,0,0,0,Montenegro,黑山
324,0,315,0,0,0,20200605,9,0,0,0,Montenegro,黑山
324,0,315,0,0,0,20200606,9,0,0,0,Montenegro,黑山
324,0,315,0,0,0,20200607,9,0,0,0,Montenegro,黑山
324,0,315,0,0,0,20200608,9,0,0,0,Montenegro,黑山
324,0,315,0,0,0,20200609,9,0,0,0,Montenegro,黑山
324,0,315,0,0,0,20200610,9,0,0,0,Montenegro,黑山
324,0,315,0,0,0,20200611,9,0,0,0,Montenegro,黑山
324,0,315,0,0,0,20200612,9,0,0,0,Montenegro,黑山
