confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200303,0,0,0,0,Morocco,摩洛哥
1,0,0,0,1,0,20200304,0,0,0,0,Morocco,摩洛哥
2,1,0,0,2,1,20200305,0,0,0,0,Morocco,摩洛哥
2,0,0,0,2,0,20200306,0,0,0,0,Morocco,摩洛哥
2,0,0,0,2,0,20200307,0,0,0,0,Morocco,摩洛哥
2,0,0,0,2,0,20200308,0,0,0,0,Morocco,摩洛哥
2,0,0,0,2,0,20200309,0,0,0,0,Morocco,摩洛哥
2,0,0,0,2,0,20200310,0,0,0,0,Morocco,摩洛哥
3,1,0,0,2,0,20200311,1,1,0,0,Morocco,摩洛哥
5,2,0,0,4,2,20200312,1,0,0,0,Morocco,摩洛哥
6,1,0,0,5,1,20200313,1,0,0,0,Morocco,摩洛哥
7,1,0,0,6,1,20200314,1,0,0,0,Morocco,摩洛哥
18,11,0,0,17,11,20200315,1,0,0,0,Morocco,摩洛哥
28,10,0,0,27,10,20200316,1,0,0,0,Morocco,摩洛哥
38,10,1,1,35,8,20200317,2,1,0,0,Morocco,摩洛哥
38,0,1,0,35,0,20200318,2,0,0,0,Morocco,摩洛哥
63,25,1,0,60,25,20200319,2,0,0,0,Morocco,摩洛哥
77,14,2,1,72,12,20200320,3,1,0,0,Morocco,摩洛哥
96,19,2,0,91,19,20200321,3,0,0,0,Morocco,摩洛哥
115,19,3,1,108,17,20200322,4,1,0,0,Morocco,摩洛哥
143,28,5,2,134,26,20200323,4,0,0,0,Morocco,摩洛哥
170,27,6,1,159,25,20200324,5,1,0,0,Morocco,摩洛哥
225,55,7,1,212,53,20200325,6,1,0,0,Morocco,摩洛哥
275,50,7,0,258,46,20200326,10,4,0,0,Morocco,摩洛哥
345,70,11,4,311,53,20200327,23,13,0,0,Morocco,摩洛哥
359,14,11,0,324,13,20200328,24,1,0,0,Morocco,摩洛哥
463,104,13,2,424,100,20200329,26,2,0,0,Morocco,摩洛哥
556,93,14,1,509,85,20200330,33,7,0,0,Morocco,摩洛哥
617,61,24,10,557,48,20200331,36,3,0,0,Morocco,摩洛哥
654,37,29,5,586,29,20200401,39,3,0,0,Morocco,摩洛哥
708,54,31,2,633,47,20200402,44,5,0,0,Morocco,摩洛哥
791,83,57,26,686,53,20200403,48,4,0,0,Morocco,摩洛哥
919,128,66,9,794,108,20200404,59,11,0,0,Morocco,摩洛哥
1021,102,76,10,875,81,20200405,70,11,0,0,Morocco,摩洛哥
1120,99,81,5,959,84,20200406,80,10,0,0,Morocco,摩洛哥
1184,64,93,12,1001,42,20200407,90,10,0,0,Morocco,摩洛哥
1275,91,97,4,1085,84,20200408,93,3,0,0,Morocco,摩洛哥
1374,99,109,12,1168,83,20200409,97,4,0,0,Morocco,摩洛哥
1448,74,122,13,1219,51,20200410,107,10,0,0,Morocco,摩洛哥
1545,97,146,24,1288,69,20200411,111,4,0,0,Morocco,摩洛哥
1661,116,177,31,1366,78,20200412,118,7,0,0,Morocco,摩洛哥
1763,102,203,26,1434,68,20200413,126,8,0,0,Morocco,摩洛哥
1888,125,217,14,1545,111,20200414,126,0,0,0,Morocco,摩洛哥
2024,136,229,12,1668,123,20200415,127,1,0,0,Morocco,摩洛哥
2283,259,249,20,1904,236,20200416,130,3,0,0,Morocco,摩洛哥
2564,281,281,32,2148,244,20200417,135,5,0,0,Morocco,摩洛哥
2685,121,314,33,2234,86,20200418,137,2,0,0,Morocco,摩洛哥
2855,170,327,13,2387,153,20200419,141,4,0,0,Morocco,摩洛哥
3046,191,350,23,2553,166,20200420,143,2,0,0,Morocco,摩洛哥
3209,163,393,43,2671,118,20200421,145,2,0,0,Morocco,摩洛哥
3446,237,417,24,2880,209,20200422,149,4,0,0,Morocco,摩洛哥
3568,122,456,39,2957,77,20200423,155,6,0,0,Morocco,摩洛哥
3758,190,486,30,3114,157,20200424,158,3,0,0,Morocco,摩洛哥
3897,139,537,51,3201,87,20200425,159,1,0,0,Morocco,摩洛哥
4047,150,557,20,3330,129,20200426,160,1,0,0,Morocco,摩洛哥
4115,68,669,112,3285,-45,20200427,161,1,0,0,Morocco,摩洛哥
4252,137,778,109,3309,24,20200428,165,4,0,0,Morocco,摩洛哥
4321,69,928,150,3225,-84,20200429,168,3,0,0,Morocco,摩洛哥
4423,102,984,56,3269,44,20200430,170,2,0,0,Morocco,摩洛哥
4569,146,1083,99,3315,46,20200501,171,1,0,0,Morocco,摩洛哥
4729,160,1256,173,3300,-15,20200502,173,2,0,0,Morocco,摩洛哥
4880,151,1424,168,3282,-18,20200503,174,1,0,0,Morocco,摩洛哥
5053,173,1653,229,3221,-61,20200504,179,5,0,0,Morocco,摩洛哥
5219,166,1838,185,3200,-21,20200505,181,2,0,0,Morocco,摩洛哥
5408,189,2017,179,3208,8,20200506,183,2,0,0,Morocco,摩洛哥
5548,140,2179,162,3186,-22,20200507,183,0,0,0,Morocco,摩洛哥
5661,113,2302,123,3174,-12,20200508,185,2,0,0,Morocco,摩洛哥
5910,249,2416,114,3308,134,20200509,186,1,0,0,Morocco,摩洛哥
6063,153,2554,138,3321,13,20200510,188,2,0,0,Morocco,摩洛哥
6281,218,2811,257,3282,-39,20200511,188,0,0,0,Morocco,摩洛哥
6418,137,2991,180,3239,-43,20200512,188,0,0,0,Morocco,摩洛哥
6466,48,2991,0,3287,48,20200513,188,0,0,0,Morocco,摩洛哥
6593,127,2991,0,3413,126,20200514,189,1,0,0,Morocco,摩洛哥
6623,30,2991,0,3442,29,20200515,190,1,0,0,Morocco,摩洛哥
6741,118,3487,496,3062,-380,20200516,192,2,0,0,Morocco,摩洛哥
6870,129,3660,173,3018,-44,20200517,192,0,0,0,Morocco,摩洛哥
6952,82,3758,98,3002,-16,20200518,192,0,0,0,Morocco,摩洛哥
7023,71,3901,143,2929,-73,20200519,193,1,0,0,Morocco,摩洛哥
7133,110,4098,197,2841,-88,20200520,194,1,0,0,Morocco,摩洛哥
7211,78,4280,182,2735,-106,20200521,196,2,0,0,Morocco,摩洛哥
7332,121,4377,97,2758,23,20200522,197,1,0,0,Morocco,摩洛哥
7406,74,4638,261,2570,-188,20200523,198,1,0,0,Morocco,摩洛哥
7429,23,4686,48,2545,-25,20200524,198,0,0,0,Morocco,摩洛哥
7495,66,4737,51,2558,13,20200525,200,2,0,0,Morocco,摩洛哥
7577,82,4881,144,2494,-64,20200526,202,2,0,0,Morocco,摩洛哥
7601,24,4978,97,2421,-73,20200527,202,0,0,0,Morocco,摩洛哥
7636,35,5109,131,2325,-96,20200528,202,0,0,0,Morocco,摩洛哥
7714,78,5271,162,2241,-84,20200529,202,0,0,0,Morocco,摩洛哥
7780,66,5401,130,2175,-66,20200530,204,2,0,0,Morocco,摩洛哥
7807,27,5459,58,2143,-32,20200531,205,1,0,0,Morocco,摩洛哥
7807,0,5459,0,2143,0,20200601,205,0,0,0,Morocco,摩洛哥
7833,26,5893,434,1735,-408,20200602,205,0,0,0,Morocco,摩洛哥
7910,77,6643,750,1061,-674,20200603,206,1,0,0,Morocco,摩洛哥
7967,57,7160,517,600,-461,20200604,207,1,0,0,Morocco,摩洛哥
8071,104,7268,108,595,-5,20200605,208,1,0,0,Morocco,摩洛哥
8132,61,7278,10,646,51,20200606,208,0,0,0,Morocco,摩洛哥
8151,19,7278,0,665,19,20200607,208,0,0,0,Morocco,摩洛哥
8302,151,7408,130,686,21,20200608,208,0,0,0,Morocco,摩洛哥
