confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200322,0,0,0,0,Mozambique,莫桑比克
1,0,0,0,1,0,20200323,0,0,0,0,Mozambique,莫桑比克
3,2,0,0,3,2,20200324,0,0,0,0,Mozambique,莫桑比克
5,2,0,0,5,2,20200325,0,0,0,0,Mozambique,莫桑比克
7,2,0,0,7,2,20200326,0,0,0,0,Mozambique,莫桑比克
7,0,0,0,7,0,20200327,0,0,0,0,Mozambique,莫桑比克
8,1,0,0,8,1,20200328,0,0,0,0,Mozambique,莫桑比克
8,0,0,0,8,0,20200329,0,0,0,0,Mozambique,莫桑比克
8,0,0,0,8,0,20200330,0,0,0,0,Mozambique,莫桑比克
8,0,0,0,8,0,20200331,0,0,0,0,Mozambique,莫桑比克
10,2,0,0,10,2,20200401,0,0,0,0,Mozambique,莫桑比克
10,0,0,0,10,0,20200402,0,0,0,0,Mozambique,莫桑比克
10,0,0,0,10,0,20200403,0,0,0,0,Mozambique,莫桑比克
10,0,0,0,10,0,20200404,0,0,0,0,Mozambique,莫桑比克
10,0,0,0,10,0,20200405,0,0,0,0,Mozambique,莫桑比克
10,0,0,0,10,0,20200406,0,0,0,0,Mozambique,莫桑比克
10,0,0,0,10,0,20200407,0,0,0,0,Mozambique,莫桑比克
17,7,1,1,16,6,20200408,0,0,0,0,Mozambique,莫桑比克
17,0,1,0,16,0,20200409,0,0,0,0,Mozambique,莫桑比克
20,3,1,0,19,3,20200410,0,0,0,0,Mozambique,莫桑比克
20,0,1,0,19,0,20200411,0,0,0,0,Mozambique,莫桑比克
21,1,2,1,19,0,20200412,0,0,0,0,Mozambique,莫桑比克
21,0,2,0,19,0,20200413,0,0,0,0,Mozambique,莫桑比克
28,7,2,0,26,7,20200414,0,0,0,0,Mozambique,莫桑比克
29,1,2,0,27,1,20200415,0,0,0,0,Mozambique,莫桑比克
31,2,2,0,29,2,20200416,0,0,0,0,Mozambique,莫桑比克
34,3,2,0,32,3,20200417,0,0,0,0,Mozambique,莫桑比克
35,1,4,2,31,-1,20200418,0,0,0,0,Mozambique,莫桑比克
39,4,8,4,31,0,20200419,0,0,0,0,Mozambique,莫桑比克
39,0,8,0,31,0,20200420,0,0,0,0,Mozambique,莫桑比克
39,0,8,0,31,0,20200421,0,0,0,0,Mozambique,莫桑比克
41,2,8,0,33,2,20200422,0,0,0,0,Mozambique,莫桑比克
46,5,8,0,38,5,20200423,0,0,0,0,Mozambique,莫桑比克
46,0,8,0,38,0,20200424,0,0,0,0,Mozambique,莫桑比克
70,24,9,1,61,23,20200425,0,0,0,0,Mozambique,莫桑比克
70,0,9,0,61,0,20200426,0,0,0,0,Mozambique,莫桑比克
76,6,9,0,67,6,20200427,0,0,0,0,Mozambique,莫桑比克
76,0,9,0,67,0,20200428,0,0,0,0,Mozambique,莫桑比克
76,0,9,0,67,0,20200429,0,0,0,0,Mozambique,莫桑比克
76,0,9,0,67,0,20200430,0,0,0,0,Mozambique,莫桑比克
79,3,10,1,69,2,20200501,0,0,0,0,Mozambique,莫桑比克
79,0,10,0,69,0,20200502,0,0,0,0,Mozambique,莫桑比克
79,0,10,0,69,0,20200503,0,0,0,0,Mozambique,莫桑比克
80,1,10,0,70,1,20200504,0,0,0,0,Mozambique,莫桑比克
80,0,10,0,70,0,20200505,0,0,0,0,Mozambique,莫桑比克
80,0,10,0,70,0,20200506,0,0,0,0,Mozambique,莫桑比克
