confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200323,0,0,0,0,Myanmar,缅甸
2,0,0,0,2,0,20200324,0,0,0,0,Myanmar,缅甸
3,1,0,0,3,1,20200325,0,0,0,0,Myanmar,缅甸
5,2,0,0,5,2,20200326,0,0,0,0,Myanmar,缅甸
5,0,0,0,5,0,20200327,0,0,0,0,Myanmar,缅甸
8,3,0,0,8,3,20200328,0,0,0,0,Myanmar,缅甸
10,2,0,0,10,2,20200329,0,0,0,0,Myanmar,缅甸
14,4,0,0,14,4,20200330,0,0,0,0,Myanmar,缅甸
15,1,0,0,14,0,20200331,1,1,0,0,Myanmar,缅甸
16,1,0,0,15,1,20200401,1,0,0,0,Myanmar,缅甸
20,4,0,0,19,4,20200402,1,0,0,0,Myanmar,缅甸
20,0,0,0,19,0,20200403,1,0,0,0,Myanmar,缅甸
21,1,1,1,19,0,20200404,1,0,0,0,Myanmar,缅甸
21,0,1,0,19,0,20200405,1,0,0,0,Myanmar,缅甸
22,1,1,0,20,1,20200406,1,0,0,0,Myanmar,缅甸
22,0,1,0,20,0,20200407,1,0,0,0,Myanmar,缅甸
22,0,1,0,18,-2,20200408,3,2,0,0,Myanmar,缅甸
27,5,1,0,23,5,20200409,3,0,0,0,Myanmar,缅甸
28,1,1,0,24,1,20200410,3,0,0,0,Myanmar,缅甸
31,3,2,1,26,2,20200411,3,0,0,0,Myanmar,缅甸
41,10,2,0,35,9,20200412,4,1,0,0,Myanmar,缅甸
53,12,2,0,47,12,20200413,4,0,0,0,Myanmar,缅甸
62,9,2,0,56,9,20200414,4,0,0,0,Myanmar,缅甸
74,12,2,0,68,12,20200415,4,0,0,0,Myanmar,缅甸
85,11,2,0,79,11,20200416,4,0,0,0,Myanmar,缅甸
88,3,2,0,82,3,20200417,4,0,0,0,Myanmar,缅甸
98,10,2,0,91,9,20200418,5,1,0,0,Myanmar,缅甸
111,13,7,5,99,8,20200419,5,0,0,0,Myanmar,缅甸
119,8,7,0,107,8,20200420,5,0,0,0,Myanmar,缅甸
121,2,9,2,107,0,20200421,5,0,0,0,Myanmar,缅甸
121,0,9,0,107,0,20200422,5,0,0,0,Myanmar,缅甸
127,6,9,0,113,6,20200423,5,0,0,0,Myanmar,缅甸
144,17,9,0,130,17,20200424,5,0,0,0,Myanmar,缅甸
