confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200228,0,0,0,0,Netherlands,荷兰
2,1,0,0,2,1,20200229,0,0,0,0,Netherlands,荷兰
7,5,0,0,7,5,20200301,0,0,0,0,Netherlands,荷兰
13,6,0,0,13,6,20200302,0,0,0,0,Netherlands,荷兰
18,5,0,0,18,5,20200303,0,0,0,0,Netherlands,荷兰
28,10,0,0,28,10,20200304,0,0,0,0,Netherlands,荷兰
38,10,0,0,38,10,20200305,0,0,0,0,Netherlands,荷兰
82,44,0,0,82,44,20200306,0,0,0,0,Netherlands,荷兰
128,46,0,0,127,45,20200307,1,1,0,0,Netherlands,荷兰
188,60,0,0,187,60,20200308,1,0,0,0,Netherlands,荷兰
265,77,0,0,262,75,20200309,3,2,0,0,Netherlands,荷兰
321,56,0,0,318,56,20200310,3,0,0,0,Netherlands,荷兰
382,61,0,0,378,60,20200311,4,1,0,0,Netherlands,荷兰
503,121,0,0,498,120,20200312,5,1,0,0,Netherlands,荷兰
614,111,0,0,609,111,20200313,5,0,0,0,Netherlands,荷兰
804,190,0,0,794,185,20200314,10,5,0,0,Netherlands,荷兰
959,155,0,0,947,153,20200315,12,2,0,0,Netherlands,荷兰
1135,176,0,0,1115,168,20200316,20,8,0,0,Netherlands,荷兰
1413,278,0,0,1389,274,20200317,24,4,0,0,Netherlands,荷兰
1705,292,0,0,1662,273,20200318,43,19,0,0,Netherlands,荷兰
2460,755,0,0,2402,740,20200319,58,15,0,0,Netherlands,荷兰
2994,534,0,0,2888,486,20200320,106,48,0,0,Netherlands,荷兰
3631,637,0,0,3495,607,20200321,136,30,0,0,Netherlands,荷兰
4204,573,0,0,4025,530,20200322,179,43,0,0,Netherlands,荷兰
4797,593,0,0,4584,559,20200323,213,34,0,0,Netherlands,荷兰
5560,763,0,0,5284,700,20200324,276,63,0,0,Netherlands,荷兰
6412,852,0,0,6056,772,20200325,356,80,0,0,Netherlands,荷兰
7431,1019,0,0,6997,941,20200326,434,78,0,0,Netherlands,荷兰
8603,1172,0,0,8057,1060,20200327,546,112,0,0,Netherlands,荷兰
9762,1159,2954,2954,6169,-1888,20200328,639,93,0,0,Netherlands,荷兰
10866,1104,2954,0,7141,972,20200329,771,132,0,0,Netherlands,荷兰
11750,884,2954,0,7932,791,20200330,864,93,0,0,Netherlands,荷兰
12595,845,2954,0,8602,670,20200331,1039,175,0,0,Netherlands,荷兰
13614,1019,2954,0,9487,885,20200401,1173,134,0,0,Netherlands,荷兰
14697,1083,2954,0,10404,917,20200402,1339,166,0,0,Netherlands,荷兰
15723,1026,2954,0,11282,878,20200403,1487,148,0,0,Netherlands,荷兰
16627,904,2954,0,12022,740,20200404,1651,164,0,0,Netherlands,荷兰
17851,1224,2954,0,13131,1109,20200405,1766,115,0,0,Netherlands,荷兰
18803,952,2954,0,13982,851,20200406,1867,101,0,0,Netherlands,荷兰
19580,777,2954,0,14525,543,20200407,2101,234,0,0,Netherlands,荷兰
20549,969,2954,0,15347,822,20200408,2248,147,0,0,Netherlands,荷兰
21762,1213,2954,0,16412,1065,20200409,2396,148,0,0,Netherlands,荷兰
23097,1335,2954,0,17632,1220,20200410,2511,115,0,0,Netherlands,荷兰
24413,1316,2954,0,18948,1316,20200411,2511,0,0,0,Netherlands,荷兰
25587,1174,291,-2663,22559,3611,20200412,2737,226,0,0,Netherlands,荷兰
26551,964,291,0,23437,878,20200413,2823,86,0,0,Netherlands,荷兰
27419,868,291,0,24183,746,20200414,2945,122,0,0,Netherlands,荷兰
28153,734,291,0,24728,545,20200415,3134,189,0,0,Netherlands,荷兰
29214,1061,291,0,25608,880,20200416,3315,181,0,0,Netherlands,荷兰
30449,1235,291,0,26699,1091,20200417,3459,144,0,0,Netherlands,荷兰
31589,1140,291,0,27697,998,20200418,3601,142,0,0,Netherlands,荷兰
32655,1066,291,0,28680,983,20200419,3684,83,0,0,Netherlands,荷兰
33405,750,291,0,29363,683,20200420,3751,67,0,0,Netherlands,荷兰
34134,729,291,0,29927,564,20200421,3916,165,0,0,Netherlands,荷兰
34842,708,291,0,30497,570,20200422,4054,138,0,0,Netherlands,荷兰
35729,887,291,0,31261,764,20200423,4177,123,0,0,Netherlands,荷兰
36535,806,291,0,31955,694,20200424,4289,112,0,0,Netherlands,荷兰
37190,655,291,0,32490,535,20200425,4409,120,0,0,Netherlands,荷兰
37845,655,291,0,33079,589,20200426,4475,66,0,0,Netherlands,荷兰
38245,400,291,0,33436,357,20200427,4518,43,0,0,Netherlands,荷兰
38416,171,291,0,33559,123,20200428,4566,48,0,0,Netherlands,荷兰
38802,386,291,0,33800,241,20200429,4711,145,0,0,Netherlands,荷兰
39316,514,291,0,34230,430,20200430,4795,84,0,0,Netherlands,荷兰
39791,475,291,0,34607,377,20200501,4893,98,0,0,Netherlands,荷兰
40236,445,291,0,34958,351,20200502,4987,94,0,0,Netherlands,荷兰
40571,335,291,0,35224,266,20200503,5056,69,0,0,Netherlands,荷兰
40770,199,291,0,35397,173,20200504,5082,26,0,0,Netherlands,荷兰
41087,317,291,0,35628,231,20200505,5168,86,0,0,Netherlands,荷兰
41319,232,291,0,35824,196,20200506,5204,36,0,0,Netherlands,荷兰
41774,455,291,0,36195,371,20200507,5288,84,0,0,Netherlands,荷兰
42093,319,291,0,36443,248,20200508,5359,71,0,0,Netherlands,荷兰
42382,289,291,0,36669,226,20200509,5422,63,0,0,Netherlands,荷兰
42627,245,291,0,36896,227,20200510,5440,18,0,0,Netherlands,荷兰
42788,161,291,0,37041,145,20200511,5456,16,0,0,Netherlands,荷兰
42984,196,291,0,37183,142,20200512,5510,54,0,0,Netherlands,荷兰
43211,227,291,0,37358,175,20200513,5562,52,0,0,Netherlands,荷兰
43481,270,291,0,37600,242,20200514,5590,28,0,0,Netherlands,荷兰
43681,200,291,0,37747,147,20200515,5643,53,0,0,Netherlands,荷兰
43870,189,291,0,37909,162,20200516,5670,27,0,0,Netherlands,荷兰
43995,125,291,0,38024,115,20200517,5680,10,0,0,Netherlands,荷兰
44141,146,291,0,38156,132,20200518,5694,14,0,0,Netherlands,荷兰
44249,108,291,0,38243,87,20200519,5715,21,0,0,Netherlands,荷兰
44447,198,291,0,38408,165,20200520,5748,33,0,0,Netherlands,荷兰
44700,253,291,0,38634,226,20200521,5775,27,0,0,Netherlands,荷兰
44888,188,291,0,38809,175,20200522,5788,13,0,0,Netherlands,荷兰
45064,176,291,0,38962,153,20200523,5811,23,0,0,Netherlands,荷兰
45236,172,291,0,39123,161,20200524,5822,11,0,0,Netherlands,荷兰
45445,209,291,0,39324,201,20200525,5830,8,0,0,Netherlands,荷兰
45578,133,291,0,39431,107,20200526,5856,26,0,0,Netherlands,荷兰
45768,190,291,0,39606,175,20200527,5871,15,0,0,Netherlands,荷兰
45950,182,291,0,39756,150,20200528,5903,32,0,0,Netherlands,荷兰
46126,176,291,0,39904,148,20200529,5931,28,0,0,Netherlands,荷兰
46257,131,291,0,40015,111,20200530,5951,20,0,0,Netherlands,荷兰
46442,185,291,0,40195,180,20200531,5956,5,0,0,Netherlands,荷兰
46545,103,291,0,40292,97,20200601,5962,6,0,0,Netherlands,荷兰
46647,102,11750,11459,28930,-11362,20200602,5967,5,0,0,Netherlands,荷兰
46733,86,11750,0,29006,76,20200603,5977,10,0,0,Netherlands,荷兰
46942,209,11750,0,29202,196,20200604,5990,13,0,0,Netherlands,荷兰
47152,210,11782,32,29365,163,20200605,6005,15,0,0,Netherlands,荷兰
47335,183,11782,0,29542,177,20200606,6011,6,0,0,Netherlands,荷兰
47574,239,11782,0,29779,237,20200607,6013,2,0,0,Netherlands,荷兰
47574,0,11782,0,29779,0,20200608,6013,0,0,0,Netherlands,荷兰
47903,329,11782,0,30090,311,20200609,6031,18,0,0,Netherlands,荷兰
48087,184,11805,23,30240,150,20200610,6042,11,0,0,Netherlands,荷兰
48251,164,11808,3,30399,159,20200611,6044,2,0,0,Netherlands,荷兰
48251,0,11808,0,30399,0,20200612,6044,0,0,0,Netherlands,荷兰
48461,210,11808,0,30600,201,20200613,6053,9,0,0,Netherlands,荷兰
48640,179,11808,0,30775,175,20200614,6057,4,0,0,Netherlands,荷兰
48948,308,11808,0,31075,300,20200615,6065,8,0,0,Netherlands,荷兰
49087,139,11808,0,31209,134,20200616,6070,5,0,0,Netherlands,荷兰
49204,117,11808,0,31322,113,20200617,6074,4,0,0,Netherlands,荷兰
49319,115,11808,0,31433,111,20200618,6078,4,0,0,Netherlands,荷兰
49426,107,11808,0,31537,104,20200619,6081,3,0,0,Netherlands,荷兰
49502,76,11808,0,31605,68,20200620,6089,8,0,0,Netherlands,荷兰
49593,91,11808,0,31695,90,20200621,6090,1,0,0,Netherlands,荷兰
49658,65,11808,0,31760,65,20200622,6090,0,0,0,Netherlands,荷兰
49722,64,11808,0,31819,59,20200623,6095,5,0,0,Netherlands,荷兰
49804,82,11808,0,31899,80,20200624,6097,2,0,0,Netherlands,荷兰
49914,110,11808,0,32006,107,20200625,6100,3,0,0,Netherlands,荷兰
50005,91,11808,0,32094,88,20200626,6103,3,0,0,Netherlands,荷兰
50074,69,11868,60,32101,7,20200627,6105,2,0,0,Netherlands,荷兰
50147,73,11868,0,32174,73,20200628,6105,0,0,0,Netherlands,荷兰
50147,0,11868,0,32174,0,20200629,6105,0,0,0,Netherlands,荷兰
50223,76,11868,0,32248,74,20200630,6107,2,0,0,Netherlands,荷兰
50273,50,11868,0,32292,44,20200701,6113,6,0,0,Netherlands,荷兰
50335,62,11868,0,32352,60,20200702,6115,2,0,0,Netherlands,荷兰
50357,22,11868,0,32374,22,20200703,6115,0,0,0,Netherlands,荷兰
50432,75,11868,0,32449,75,20200704,6115,0,0,0,Netherlands,荷兰
50493,61,11868,0,32508,59,20200705,6117,2,0,0,Netherlands,荷兰
50566,73,11868,0,32580,72,20200706,6118,1,0,0,Netherlands,荷兰
50694,128,11886,18,32676,96,20200707,6132,14,0,0,Netherlands,荷兰
50694,0,11886,0,32676,0,20200708,6132,0,0,0,Netherlands,荷兰
