confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200228,0,0,0,0,New Zealand,新西兰
1,0,0,0,1,0,20200229,0,0,0,0,New Zealand,新西兰
1,0,0,0,1,0,20200301,0,0,0,0,New Zealand,新西兰
1,0,0,0,1,0,20200302,0,0,0,0,New Zealand,新西兰
2,1,0,0,2,1,20200303,0,0,0,0,New Zealand,新西兰
2,0,0,0,2,0,20200304,0,0,0,0,New Zealand,新西兰
2,0,0,0,2,0,20200305,0,0,0,0,New Zealand,新西兰
4,2,0,0,4,2,20200306,0,0,0,0,New Zealand,新西兰
5,1,0,0,5,1,20200307,0,0,0,0,New Zealand,新西兰
5,0,0,0,5,0,20200308,0,0,0,0,New Zealand,新西兰
5,0,0,0,5,0,20200309,0,0,0,0,New Zealand,新西兰
5,0,0,0,5,0,20200310,0,0,0,0,New Zealand,新西兰
5,0,0,0,5,0,20200311,0,0,0,0,New Zealand,新西兰
5,0,0,0,5,0,20200312,0,0,0,0,New Zealand,新西兰
5,0,0,0,5,0,20200313,0,0,0,0,New Zealand,新西兰
6,1,0,0,6,1,20200314,0,0,0,0,New Zealand,新西兰
6,0,0,0,6,0,20200315,0,0,0,0,New Zealand,新西兰
6,0,0,0,6,0,20200316,0,0,0,0,New Zealand,新西兰
11,5,0,0,11,5,20200317,0,0,0,0,New Zealand,新西兰
11,0,0,0,11,0,20200318,0,0,0,0,New Zealand,新西兰
39,28,0,0,39,28,20200319,0,0,0,0,New Zealand,新西兰
53,14,0,0,53,14,20200320,0,0,0,0,New Zealand,新西兰
53,0,0,0,53,0,20200321,0,0,0,0,New Zealand,新西兰
102,49,0,0,102,49,20200322,0,0,0,0,New Zealand,新西兰
102,0,0,0,102,0,20200323,0,0,0,0,New Zealand,新西兰
142,40,0,0,142,40,20200324,0,0,0,0,New Zealand,新西兰
205,63,0,0,205,63,20200325,0,0,0,0,New Zealand,新西兰
278,73,0,0,278,73,20200326,0,0,0,0,New Zealand,新西兰
338,60,37,37,301,23,20200327,0,0,0,0,New Zealand,新西兰
451,113,50,13,401,100,20200328,0,0,0,0,New Zealand,新西兰
514,63,50,0,463,62,20200329,1,1,0,0,New Zealand,新西兰
589,75,50,0,538,75,20200330,1,0,0,0,New Zealand,新西兰
647,58,50,0,596,58,20200331,1,0,0,0,New Zealand,新西兰
647,0,50,0,596,0,20200401,1,0,0,0,New Zealand,新西兰
723,76,50,0,672,76,20200402,1,0,0,0,New Zealand,新西兰
950,227,50,0,899,227,20200403,1,0,0,0,New Zealand,新西兰
950,0,50,0,899,0,20200404,1,0,0,0,New Zealand,新西兰
1039,89,50,0,988,89,20200405,1,0,0,0,New Zealand,新西兰
911,-128,50,0,860,-128,20200406,1,0,0,0,New Zealand,新西兰
943,32,241,191,701,-159,20200407,1,0,0,0,New Zealand,新西兰
969,26,282,41,686,-15,20200408,1,0,0,0,New Zealand,新西兰
992,23,317,35,674,-12,20200409,1,0,0,0,New Zealand,新西兰
1015,23,317,0,697,23,20200410,1,0,0,0,New Zealand,新西兰
1049,34,471,154,574,-123,20200411,4,3,0,0,New Zealand,新西兰
1049,0,471,0,574,0,20200412,4,0,0,0,New Zealand,新西兰
1072,23,628,157,435,-139,20200413,9,5,0,0,New Zealand,新西兰
1072,0,628,0,435,0,20200414,9,0,0,0,New Zealand,新西兰
1078,6,728,100,341,-94,20200415,9,0,0,0,New Zealand,新西兰
1084,6,770,42,305,-36,20200416,9,0,0,0,New Zealand,新西兰
1094,10,816,46,267,-38,20200417,11,2,0,0,New Zealand,新西兰
1098,4,912,96,174,-93,20200418,12,1,0,0,New Zealand,新西兰
1098,0,912,0,174,0,20200419,12,0,0,0,New Zealand,新西兰
1105,7,974,62,119,-55,20200420,12,0,0,0,New Zealand,新西兰
1107,2,1032,58,62,-57,20200421,13,1,0,0,New Zealand,新西兰
1113,6,1036,4,63,1,20200422,14,1,0,0,New Zealand,新西兰
1112,-1,1065,29,31,-32,20200423,16,2,0,0,New Zealand,新西兰
1114,2,1095,30,2,-29,20200424,17,1,0,0,New Zealand,新西兰
1117,3,1095,0,4,2,20200425,18,1,0,0,New Zealand,新西兰
1142,25,1121,26,3,-1,20200426,18,0,0,0,New Zealand,新西兰
1122,-20,1180,59,-77,-80,20200427,19,1,0,0,New Zealand,新西兰
1124,2,1214,34,-109,-32,20200428,19,0,0,0,New Zealand,新西兰
1126,2,1214,0,-107,2,20200429,19,0,0,0,New Zealand,新西兰
1129,3,1214,0,-104,3,20200430,19,0,0,0,New Zealand,新西兰
1132,3,1214,0,-101,3,20200501,19,0,0,0,New Zealand,新西兰
1134,2,1252,38,-138,-37,20200502,20,1,0,0,New Zealand,新西兰
1136,2,1252,0,-136,2,20200503,20,0,0,0,New Zealand,新西兰
1137,1,1252,0,-135,1,20200504,20,0,0,0,New Zealand,新西兰
1137,0,1252,0,-135,0,20200505,20,0,0,0,New Zealand,新西兰
1138,1,1252,0,-135,0,20200506,21,1,0,0,New Zealand,新西兰
1139,1,1252,0,-134,1,20200507,21,0,0,0,New Zealand,新西兰
1141,2,1347,95,-227,-93,20200508,21,0,0,0,New Zealand,新西兰
1142,1,1347,0,-226,1,20200509,21,0,0,0,New Zealand,新西兰
1144,2,1347,0,-224,2,20200510,21,0,0,0,New Zealand,新西兰
1147,3,1347,0,-221,3,20200511,21,0,0,0,New Zealand,新西兰
1147,0,1347,0,-221,0,20200512,21,0,0,0,New Zealand,新西兰
1147,0,1347,0,-221,0,20200513,21,0,0,0,New Zealand,新西兰
1147,0,1347,0,-221,0,20200514,21,0,0,0,New Zealand,新西兰
1148,1,1347,0,-220,1,20200515,21,0,0,0,New Zealand,新西兰
1148,0,1347,0,-220,0,20200516,21,0,0,0,New Zealand,新西兰
1149,1,1347,0,-219,1,20200517,21,0,0,0,New Zealand,新西兰
1149,0,1347,0,-219,0,20200518,21,0,0,0,New Zealand,新西兰
1153,4,1347,0,-215,4,20200519,21,0,0,0,New Zealand,新西兰
1153,0,1347,0,-215,0,20200520,21,0,0,0,New Zealand,新西兰
1153,0,1347,0,-215,0,20200521,21,0,0,0,New Zealand,新西兰
1153,0,1347,0,-215,0,20200522,21,0,0,0,New Zealand,新西兰
1154,1,1347,0,-214,1,20200523,21,0,0,0,New Zealand,新西兰
1154,0,1347,0,-214,0,20200524,21,0,0,0,New Zealand,新西兰
1154,0,1347,0,-214,0,20200525,21,0,0,0,New Zealand,新西兰
1154,0,1347,0,-214,0,20200526,21,0,0,0,New Zealand,新西兰
1154,0,1347,0,-214,0,20200527,21,0,0,0,New Zealand,新西兰
1154,0,1347,0,-215,-1,20200528,22,1,0,0,New Zealand,新西兰
