confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200319,0,0,0,0,Nicaragua,尼加拉瓜
1,0,0,0,1,0,20200320,0,0,0,0,Nicaragua,尼加拉瓜
1,0,0,0,1,0,20200321,0,0,0,0,Nicaragua,尼加拉瓜
2,1,0,0,2,1,20200322,0,0,0,0,Nicaragua,尼加拉瓜
2,0,0,0,2,0,20200323,0,0,0,0,Nicaragua,尼加拉瓜
2,0,0,0,2,0,20200324,0,0,0,0,Nicaragua,尼加拉瓜
2,0,0,0,2,0,20200325,0,0,0,0,Nicaragua,尼加拉瓜
2,0,0,0,2,0,20200326,0,0,0,0,Nicaragua,尼加拉瓜
2,0,0,0,2,0,20200327,0,0,0,0,Nicaragua,尼加拉瓜
2,0,0,0,1,-1,20200328,1,1,0,0,Nicaragua,尼加拉瓜
4,2,0,0,3,2,20200329,1,0,0,0,Nicaragua,尼加拉瓜
4,0,0,0,3,0,20200330,1,0,0,0,Nicaragua,尼加拉瓜
4,0,0,0,3,0,20200331,1,0,0,0,Nicaragua,尼加拉瓜
4,0,0,0,3,0,20200401,1,0,0,0,Nicaragua,尼加拉瓜
5,1,0,0,4,1,20200402,1,0,0,0,Nicaragua,尼加拉瓜
5,0,0,0,4,0,20200403,1,0,0,0,Nicaragua,尼加拉瓜
5,0,0,0,4,0,20200404,1,0,0,0,Nicaragua,尼加拉瓜
5,0,0,0,4,0,20200405,1,0,0,0,Nicaragua,尼加拉瓜
5,0,0,0,4,0,20200406,1,0,0,0,Nicaragua,尼加拉瓜
6,1,0,0,5,1,20200407,1,0,0,0,Nicaragua,尼加拉瓜
6,0,0,0,5,0,20200408,1,0,0,0,Nicaragua,尼加拉瓜
6,0,0,0,5,0,20200409,1,0,0,0,Nicaragua,尼加拉瓜
6,0,0,0,5,0,20200410,1,0,0,0,Nicaragua,尼加拉瓜
7,1,0,0,6,1,20200411,1,0,0,0,Nicaragua,尼加拉瓜
7,0,0,0,6,0,20200412,1,0,0,0,Nicaragua,尼加拉瓜
9,2,0,0,8,2,20200413,1,0,0,0,Nicaragua,尼加拉瓜
9,0,0,0,8,0,20200414,1,0,0,0,Nicaragua,尼加拉瓜
9,0,0,0,8,0,20200415,1,0,0,0,Nicaragua,尼加拉瓜
9,0,0,0,8,0,20200416,1,0,0,0,Nicaragua,尼加拉瓜
9,0,0,0,8,0,20200417,1,0,0,0,Nicaragua,尼加拉瓜
9,0,0,0,8,0,20200418,1,0,0,0,Nicaragua,尼加拉瓜
9,0,0,0,8,0,20200419,1,0,0,0,Nicaragua,尼加拉瓜
9,0,0,0,8,0,20200420,1,0,0,0,Nicaragua,尼加拉瓜
9,0,0,0,7,-1,20200421,2,1,0,0,Nicaragua,尼加拉瓜
10,1,0,0,8,1,20200422,2,0,0,0,Nicaragua,尼加拉瓜
10,0,0,0,8,0,20200423,2,0,0,0,Nicaragua,尼加拉瓜
10,0,0,0,8,0,20200424,2,0,0,0,Nicaragua,尼加拉瓜
11,1,0,0,8,0,20200425,3,1,0,0,Nicaragua,尼加拉瓜
11,0,0,0,8,0,20200426,3,0,0,0,Nicaragua,尼加拉瓜
13,2,0,0,10,2,20200427,3,0,0,0,Nicaragua,尼加拉瓜
13,0,0,0,10,0,20200428,3,0,0,0,Nicaragua,尼加拉瓜
13,0,0,0,10,0,20200429,3,0,0,0,Nicaragua,尼加拉瓜
13,0,0,0,10,0,20200430,3,0,0,0,Nicaragua,尼加拉瓜
14,1,0,0,10,0,20200501,4,1,0,0,Nicaragua,尼加拉瓜
14,0,0,0,10,0,20200502,4,0,0,0,Nicaragua,尼加拉瓜
14,0,0,0,10,0,20200503,4,0,0,0,Nicaragua,尼加拉瓜
14,0,0,0,10,0,20200504,4,0,0,0,Nicaragua,尼加拉瓜
15,1,0,0,10,0,20200505,5,1,0,0,Nicaragua,尼加拉瓜
15,0,0,0,10,0,20200506,5,0,0,0,Nicaragua,尼加拉瓜
16,1,0,0,11,1,20200507,5,0,0,0,Nicaragua,尼加拉瓜
16,0,0,0,11,0,20200508,5,0,0,0,Nicaragua,尼加拉瓜
16,0,0,0,11,0,20200509,5,0,0,0,Nicaragua,尼加拉瓜
16,0,0,0,11,0,20200510,5,0,0,0,Nicaragua,尼加拉瓜
16,0,0,0,11,0,20200511,5,0,0,0,Nicaragua,尼加拉瓜
16,0,0,0,11,0,20200512,5,0,0,0,Nicaragua,尼加拉瓜
16,0,0,0,11,0,20200513,5,0,0,0,Nicaragua,尼加拉瓜
25,9,0,0,17,6,20200514,8,3,0,0,Nicaragua,尼加拉瓜
25,0,0,0,17,0,20200515,8,0,0,0,Nicaragua,尼加拉瓜
25,0,0,0,17,0,20200516,8,0,0,0,Nicaragua,尼加拉瓜
25,0,0,0,17,0,20200517,8,0,0,0,Nicaragua,尼加拉瓜
25,0,0,0,17,0,20200518,8,0,0,0,Nicaragua,尼加拉瓜
25,0,0,0,17,0,20200519,8,0,0,0,Nicaragua,尼加拉瓜
25,0,0,0,17,0,20200520,8,0,0,0,Nicaragua,尼加拉瓜
279,254,0,0,262,245,20200521,17,9,0,0,Nicaragua,尼加拉瓜
279,0,0,0,262,0,20200522,17,0,0,0,Nicaragua,尼加拉瓜
279,0,0,0,262,0,20200523,17,0,0,0,Nicaragua,尼加拉瓜
279,0,0,0,262,0,20200524,17,0,0,0,Nicaragua,尼加拉瓜
279,0,0,0,262,0,20200525,17,0,0,0,Nicaragua,尼加拉瓜
279,0,0,0,262,0,20200526,17,0,0,0,Nicaragua,尼加拉瓜
279,0,0,0,262,0,20200527,17,0,0,0,Nicaragua,尼加拉瓜
