confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200319,0,0,0,0,Niger,尼日尔
1,0,0,0,1,0,20200320,0,0,0,0,Niger,尼日尔
1,0,0,0,1,0,20200321,0,0,0,0,Niger,尼日尔
2,1,0,0,2,1,20200322,0,0,0,0,Niger,尼日尔
2,0,0,0,2,0,20200323,0,0,0,0,Niger,尼日尔
7,5,0,0,7,5,20200324,0,0,0,0,Niger,尼日尔
7,0,0,0,7,0,20200325,0,0,0,0,Niger,尼日尔
8,1,0,0,7,0,20200326,1,1,0,0,Niger,尼日尔
10,2,0,0,9,2,20200327,1,0,0,0,Niger,尼日尔
10,0,0,0,9,0,20200328,1,0,0,0,Niger,尼日尔
10,0,0,0,9,0,20200329,1,0,0,0,Niger,尼日尔
20,10,0,0,17,8,20200330,3,2,0,0,Niger,尼日尔
20,0,0,0,17,0,20200331,3,0,0,0,Niger,尼日尔
34,14,0,0,31,14,20200401,3,0,0,0,Niger,尼日尔
74,40,0,0,69,38,20200402,5,2,0,0,Niger,尼日尔
120,46,0,0,115,46,20200403,5,0,0,0,Niger,尼日尔
144,24,0,0,136,21,20200404,8,3,0,0,Niger,尼日尔
184,40,13,13,161,25,20200405,10,2,0,0,Niger,尼日尔
253,69,26,13,217,56,20200406,10,0,0,0,Niger,尼日尔
253,0,26,0,217,0,20200407,10,0,0,0,Niger,尼日尔
342,89,28,2,303,86,20200408,11,1,0,0,Niger,尼日尔
410,68,40,12,359,56,20200409,11,0,0,0,Niger,尼日尔
438,28,41,1,386,27,20200410,11,0,0,0,Niger,尼日尔
491,53,50,9,430,44,20200411,11,0,0,0,Niger,尼日尔
529,38,75,25,442,12,20200412,12,1,0,0,Niger,尼日尔
548,19,86,11,449,7,20200413,13,1,0,0,Niger,尼日尔
570,22,90,4,466,17,20200414,14,1,0,0,Niger,尼日尔
584,14,97,7,473,7,20200415,14,0,0,0,Niger,尼日尔
609,25,105,8,489,16,20200416,15,1,0,0,Niger,尼日尔
627,18,110,5,499,10,20200417,18,3,0,0,Niger,尼日尔
639,12,113,3,507,8,20200418,19,1,0,0,Niger,尼日尔
639,0,113,0,507,0,20200419,19,0,0,0,Niger,尼日尔
655,16,124,11,511,4,20200420,20,1,0,0,Niger,尼日尔
657,2,127,3,510,-1,20200421,20,0,0,0,Niger,尼日尔
662,5,193,66,447,-63,20200422,22,2,0,0,Niger,尼日尔
671,9,256,63,391,-56,20200423,24,2,0,0,Niger,尼日尔
681,10,289,33,368,-23,20200424,24,0,0,0,Niger,尼日尔
681,0,289,0,368,0,20200425,24,0,0,0,Niger,尼日尔
684,3,289,0,368,0,20200426,27,3,0,0,Niger,尼日尔
696,12,350,61,317,-51,20200427,29,2,0,0,Niger,尼日尔
709,13,403,53,275,-42,20200428,31,2,0,0,Niger,尼日尔
713,4,435,32,246,-29,20200429,32,1,0,0,Niger,尼日尔
719,6,452,17,235,-11,20200430,32,0,0,0,Niger,尼日尔
728,9,478,26,217,-18,20200501,33,1,0,0,Niger,尼日尔
736,8,507,29,194,-23,20200502,35,2,0,0,Niger,尼日尔
736,0,507,0,194,0,20200503,35,0,0,0,Niger,尼日尔
