confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200228,0,0,0,0,Nigeria,尼日利亚
1,0,0,0,1,0,20200229,0,0,0,0,Nigeria,尼日利亚
1,0,0,0,1,0,20200301,0,0,0,0,Nigeria,尼日利亚
1,0,0,0,1,0,20200302,0,0,0,0,Nigeria,尼日利亚
1,0,0,0,1,0,20200303,0,0,0,0,Nigeria,尼日利亚
1,0,0,0,1,0,20200304,0,0,0,0,Nigeria,尼日利亚
1,0,0,0,1,0,20200305,0,0,0,0,Nigeria,尼日利亚
1,0,0,0,1,0,20200306,0,0,0,0,Nigeria,尼日利亚
1,0,0,0,1,0,20200307,0,0,0,0,Nigeria,尼日利亚
1,0,0,0,1,0,20200308,0,0,0,0,Nigeria,尼日利亚
2,1,0,0,2,1,20200309,0,0,0,0,Nigeria,尼日利亚
2,0,0,0,2,0,20200310,0,0,0,0,Nigeria,尼日利亚
2,0,0,0,2,0,20200311,0,0,0,0,Nigeria,尼日利亚
2,0,0,0,2,0,20200312,0,0,0,0,Nigeria,尼日利亚
2,0,0,0,2,0,20200313,0,0,0,0,Nigeria,尼日利亚
2,0,0,0,2,0,20200314,0,0,0,0,Nigeria,尼日利亚
2,0,0,0,2,0,20200315,0,0,0,0,Nigeria,尼日利亚
2,0,0,0,2,0,20200316,0,0,0,0,Nigeria,尼日利亚
2,0,0,0,2,0,20200317,0,0,0,0,Nigeria,尼日利亚
2,0,1,1,1,-1,20200318,0,0,0,0,Nigeria,尼日利亚
12,10,1,0,11,10,20200319,0,0,0,0,Nigeria,尼日利亚
12,0,1,0,11,0,20200320,0,0,0,0,Nigeria,尼日利亚
22,10,1,0,21,10,20200321,0,0,0,0,Nigeria,尼日利亚
30,8,2,1,28,7,20200322,0,0,0,0,Nigeria,尼日利亚
36,6,2,0,33,5,20200323,1,1,0,0,Nigeria,尼日利亚
44,8,2,0,41,8,20200324,1,0,0,0,Nigeria,尼日利亚
46,2,2,0,43,2,20200325,1,0,0,0,Nigeria,尼日利亚
65,19,2,0,62,19,20200326,1,0,0,0,Nigeria,尼日利亚
70,5,3,1,66,4,20200327,1,0,0,0,Nigeria,尼日利亚
89,19,3,0,85,19,20200328,1,0,0,0,Nigeria,尼日利亚
111,22,3,0,107,22,20200329,1,0,0,0,Nigeria,尼日利亚
131,20,8,5,121,14,20200330,2,1,0,0,Nigeria,尼日利亚
139,8,9,1,128,7,20200331,2,0,0,0,Nigeria,尼日利亚
174,35,9,0,163,35,20200401,2,0,0,0,Nigeria,尼日利亚
184,10,20,11,162,-1,20200402,2,0,0,0,Nigeria,尼日利亚
210,26,25,5,181,19,20200403,4,2,0,0,Nigeria,尼日利亚
214,4,25,0,185,4,20200404,4,0,0,0,Nigeria,尼日利亚
232,18,33,8,194,9,20200405,5,1,0,0,Nigeria,尼日利亚
238,6,35,2,198,4,20200406,5,0,0,0,Nigeria,尼日利亚
254,16,44,9,204,6,20200407,6,1,0,0,Nigeria,尼日利亚
276,22,44,0,226,22,20200408,6,0,0,0,Nigeria,尼日利亚
288,12,51,7,230,4,20200409,7,1,0,0,Nigeria,尼日利亚
305,17,58,7,240,10,20200410,7,0,0,0,Nigeria,尼日利亚
318,13,70,12,238,-2,20200411,10,3,0,0,Nigeria,尼日利亚
323,5,85,15,228,-10,20200412,10,0,0,0,Nigeria,尼日利亚
343,20,91,6,242,14,20200413,10,0,0,0,Nigeria,尼日利亚
362,19,99,8,252,10,20200414,11,1,0,0,Nigeria,尼日利亚
407,45,128,29,267,15,20200415,12,1,0,0,Nigeria,尼日利亚
442,35,152,24,277,10,20200416,13,1,0,0,Nigeria,尼日利亚
493,51,159,7,317,40,20200417,17,4,0,0,Nigeria,尼日利亚
542,49,166,7,357,40,20200418,19,2,0,0,Nigeria,尼日利亚
627,85,170,4,436,79,20200419,21,2,0,0,Nigeria,尼日利亚
627,0,170,0,436,0,20200420,21,0,0,0,Nigeria,尼日利亚
782,155,197,27,560,124,20200421,25,4,0,0,Nigeria,尼日利亚
873,91,197,0,648,88,20200422,28,3,0,0,Nigeria,尼日利亚
981,108,197,0,753,105,20200423,31,3,0,0,Nigeria,尼日利亚
1095,114,208,11,855,102,20200424,32,1,0,0,Nigeria,尼日利亚
1095,0,208,0,855,0,20200425,32,0,0,0,Nigeria,尼日利亚
1273,178,239,31,994,139,20200426,40,8,0,0,Nigeria,尼日利亚
1337,64,255,16,1042,48,20200427,40,0,0,0,Nigeria,尼日利亚
1532,195,255,0,1233,191,20200428,44,4,0,0,Nigeria,尼日利亚
1728,196,307,52,1370,137,20200429,51,7,0,0,Nigeria,尼日利亚
1932,204,319,12,1555,185,20200430,58,7,0,0,Nigeria,尼日利亚
2170,238,351,32,1751,196,20200501,68,10,0,0,Nigeria,尼日利亚
2388,218,385,34,1918,167,20200502,85,17,0,0,Nigeria,尼日利亚
2388,0,385,0,1918,0,20200503,85,0,0,0,Nigeria,尼日利亚
