confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200227,0,0,0,0,North Macedonia,北马其顿
1,0,0,0,1,0,20200228,0,0,0,0,North Macedonia,北马其顿
1,0,0,0,1,0,20200229,0,0,0,0,North Macedonia,北马其顿
1,0,0,0,1,0,20200301,0,0,0,0,North Macedonia,北马其顿
1,0,0,0,1,0,20200302,0,0,0,0,North Macedonia,北马其顿
1,0,0,0,1,0,20200303,0,0,0,0,North Macedonia,北马其顿
1,0,0,0,1,0,20200304,0,0,0,0,North Macedonia,北马其顿
1,0,0,0,1,0,20200305,0,0,0,0,North Macedonia,北马其顿
1,0,0,0,1,0,20200306,0,0,0,0,North Macedonia,北马其顿
3,2,0,0,3,2,20200307,0,0,0,0,North Macedonia,北马其顿
3,0,0,0,3,0,20200308,0,0,0,0,North Macedonia,北马其顿
3,0,0,0,3,0,20200309,0,0,0,0,North Macedonia,北马其顿
7,4,0,0,7,4,20200310,0,0,0,0,North Macedonia,北马其顿
7,0,0,0,7,0,20200311,0,0,0,0,North Macedonia,北马其顿
7,0,0,0,7,0,20200312,0,0,0,0,North Macedonia,北马其顿
7,0,0,0,7,0,20200313,0,0,0,0,North Macedonia,北马其顿
9,2,0,0,9,2,20200314,0,0,0,0,North Macedonia,北马其顿
13,4,0,0,13,4,20200315,0,0,0,0,North Macedonia,北马其顿
13,0,0,0,13,0,20200316,0,0,0,0,North Macedonia,北马其顿
19,6,0,0,19,6,20200317,0,0,0,0,North Macedonia,北马其顿
31,12,0,0,31,12,20200318,0,0,0,0,North Macedonia,北马其顿
35,4,0,0,35,4,20200319,0,0,0,0,North Macedonia,北马其顿
67,32,0,0,67,32,20200320,0,0,0,0,North Macedonia,北马其顿
70,3,0,0,70,3,20200321,0,0,0,0,North Macedonia,北马其顿
85,15,0,0,85,15,20200322,0,0,0,0,North Macedonia,北马其顿
136,51,1,1,133,48,20200323,2,2,0,0,North Macedonia,北马其顿
136,0,1,0,133,0,20200324,2,0,0,0,North Macedonia,北马其顿
148,12,1,0,145,12,20200325,2,0,0,0,North Macedonia,北马其顿
177,29,1,0,174,29,20200326,2,0,0,0,North Macedonia,北马其顿
201,24,1,0,197,23,20200327,3,1,0,0,North Macedonia,北马其顿
219,18,1,0,215,18,20200328,3,0,0,0,North Macedonia,北马其顿
257,38,1,0,250,35,20200329,6,3,0,0,North Macedonia,北马其顿
259,2,1,0,252,2,20200330,6,0,0,0,North Macedonia,北马其顿
329,70,1,0,321,69,20200331,7,1,0,0,North Macedonia,北马其顿
329,0,1,0,319,-2,20200401,9,2,0,0,North Macedonia,北马其顿
354,25,1,0,342,23,20200402,11,2,0,0,North Macedonia,北马其顿
430,76,1,0,418,76,20200403,11,0,0,0,North Macedonia,北马其顿
483,53,20,19,446,28,20200404,17,6,0,0,North Macedonia,北马其顿
555,72,23,3,514,68,20200405,18,1,0,0,North Macedonia,北马其顿
570,15,30,7,519,5,20200406,21,3,0,0,North Macedonia,北马其顿
570,0,30,0,519,0,20200407,21,0,0,0,North Macedonia,北马其顿
617,47,35,5,552,33,20200408,30,9,0,0,North Macedonia,北马其顿
663,46,35,0,598,46,20200409,30,0,0,0,North Macedonia,北马其顿
711,48,41,6,638,40,20200410,32,2,0,0,North Macedonia,北马其顿
760,49,41,0,685,47,20200411,34,2,0,0,North Macedonia,北马其顿
828,68,41,0,753,68,20200412,34,0,0,0,North Macedonia,北马其顿
854,26,44,3,772,19,20200413,38,4,0,0,North Macedonia,北马其顿
908,54,86,42,778,6,20200414,44,6,0,0,North Macedonia,北马其顿
974,66,98,12,831,53,20200415,45,1,0,0,North Macedonia,北马其顿
1081,107,121,23,914,83,20200416,46,1,0,0,North Macedonia,北马其顿
1117,36,139,18,929,15,20200417,49,3,0,0,North Macedonia,北马其顿
1170,53,164,25,957,28,20200418,49,0,0,0,North Macedonia,北马其顿
1207,37,179,15,977,20,20200419,51,2,0,0,North Macedonia,北马其顿
1225,18,200,21,971,-6,20200420,54,3,0,0,North Macedonia,北马其顿
1231,6,224,24,952,-19,20200421,55,1,0,0,North Macedonia,北马其顿
1259,28,272,48,931,-21,20200422,56,1,0,0,North Macedonia,北马其顿
1300,41,301,29,943,12,20200423,56,0,0,0,North Macedonia,北马其顿
1326,26,337,36,932,-11,20200424,57,1,0,0,North Macedonia,北马其顿
1367,41,374,37,934,2,20200425,59,2,0,0,North Macedonia,北马其顿
1367,0,374,0,934,0,20200426,59,0,0,0,North Macedonia,北马其顿
1399,32,553,179,781,-153,20200427,65,6,0,0,North Macedonia,北马其顿
1421,22,589,36,761,-20,20200428,71,6,0,0,North Macedonia,北马其顿
1442,21,627,38,742,-19,20200429,73,2,0,0,North Macedonia,北马其顿
1442,0,627,0,742,0,20200430,73,0,0,0,North Macedonia,北马其顿
1494,52,807,180,606,-136,20200501,81,8,0,0,North Macedonia,北马其顿
1506,12,852,45,646,40,20200502,8,-73,0,0,North Macedonia,北马其顿
1506,0,852,0,572,-74,20200503,82,74,0,0,North Macedonia,北马其顿
1511,5,852,0,575,3,20200504,84,2,0,0,North Macedonia,北马其顿
1518,7,852,0,581,6,20200505,85,1,0,0,North Macedonia,北马其顿
1539,21,1057,205,394,-187,20200506,88,3,0,0,North Macedonia,北马其顿
1572,33,1079,22,404,10,20200507,89,1,0,0,North Macedonia,北马其顿
1572,0,1079,0,404,0,20200508,89,0,0,0,North Macedonia,北马其顿
1586,14,1079,0,417,13,20200509,90,1,0,0,North Macedonia,北马其顿
1642,56,1136,57,415,-2,20200510,91,1,0,0,North Macedonia,北马其顿
