confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200329,0,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
2,0,0,0,2,0,20200330,0,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
2,0,0,0,2,0,20200331,0,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
6,4,0,0,5,3,20200401,1,1,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
6,0,0,0,5,0,20200402,1,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
8,2,0,0,7,2,20200403,1,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
8,0,0,0,7,0,20200404,1,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
8,0,0,0,7,0,20200405,1,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
8,0,0,0,7,0,20200406,1,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
8,0,0,0,7,0,20200407,1,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
8,0,0,0,6,-1,20200408,2,1,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
11,3,0,0,9,3,20200409,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
11,0,0,0,9,0,20200410,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
11,0,0,0,9,0,20200411,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
11,0,0,0,9,0,20200412,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
11,0,0,0,9,0,20200413,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
11,0,0,0,9,0,20200414,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
11,0,0,0,9,0,20200415,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
13,2,0,0,11,2,20200416,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
13,0,0,0,11,0,20200417,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
14,1,0,0,12,1,20200418,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
14,0,0,0,12,0,20200419,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
14,0,0,0,12,0,20200420,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
14,0,0,0,12,0,20200421,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
14,0,0,0,12,0,20200422,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
14,0,0,0,12,0,20200423,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
14,0,0,0,12,0,20200424,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
14,0,0,0,12,0,20200425,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
14,0,0,0,12,0,20200426,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
14,0,0,0,12,0,20200427,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
14,0,0,0,12,0,20200428,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
14,0,0,0,12,0,20200429,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
14,0,0,0,12,0,20200430,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
14,0,0,0,12,0,20200501,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
14,0,0,0,12,0,20200502,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
14,0,0,0,12,0,20200503,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
14,0,0,0,12,0,20200504,2,0,0,0,Northern Mariana Islands (Commonwealth of the),北马里亚纳群岛联邦
