confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200227,0,0,0,0,Norway,挪威
4,3,0,0,4,3,20200228,0,0,0,0,Norway,挪威
6,2,0,0,6,2,20200229,0,0,0,0,Norway,挪威
15,9,0,0,15,9,20200301,0,0,0,0,Norway,挪威
19,4,0,0,19,4,20200302,0,0,0,0,Norway,挪威
25,6,0,0,25,6,20200303,0,0,0,0,Norway,挪威
33,8,0,0,33,8,20200304,0,0,0,0,Norway,挪威
56,23,0,0,56,23,20200305,0,0,0,0,Norway,挪威
86,30,0,0,86,30,20200306,0,0,0,0,Norway,挪威
113,27,0,0,113,27,20200307,0,0,0,0,Norway,挪威
147,34,0,0,147,34,20200308,0,0,0,0,Norway,挪威
169,22,0,0,169,22,20200309,0,0,0,0,Norway,挪威
192,23,0,0,192,23,20200310,0,0,0,0,Norway,挪威
277,85,0,0,277,85,20200311,0,0,0,0,Norway,挪威
489,212,0,0,489,212,20200312,0,0,0,0,Norway,挪威
489,0,0,0,489,0,20200313,0,0,0,0,Norway,挪威
750,261,0,0,749,260,20200314,1,1,0,0,Norway,挪威
907,157,0,0,906,157,20200315,1,0,0,0,Norway,挪威
1077,170,0,0,1076,170,20200316,1,0,0,0,Norway,挪威
1169,92,0,0,1166,90,20200317,3,2,0,0,Norway,挪威
1308,139,0,0,1305,139,20200318,3,0,0,0,Norway,挪威
1758,450,0,0,1751,446,20200319,7,4,0,0,Norway,挪威
1939,181,0,0,1932,181,20200320,7,0,0,0,Norway,挪威
2150,211,0,0,2143,211,20200321,7,0,0,0,Norway,挪威
2262,112,0,0,2255,112,20200322,7,0,0,0,Norway,挪威
2573,311,0,0,2563,308,20200323,10,3,0,0,Norway,挪威
2796,223,0,0,2784,221,20200324,12,2,0,0,Norway,挪威
3041,245,0,0,3027,243,20200325,14,2,0,0,Norway,挪威
3315,274,0,0,3301,274,20200326,14,0,0,0,Norway,挪威
3721,406,0,0,3702,401,20200327,19,5,0,0,Norway,挪威
3981,260,0,0,3959,257,20200328,22,3,0,0,Norway,挪威
4245,264,0,0,4219,260,20200329,26,4,0,0,Norway,挪威
4451,206,0,0,4419,200,20200330,32,6,0,0,Norway,挪威
4615,164,0,0,4577,158,20200331,38,6,0,0,Norway,挪威
4848,233,0,0,4804,227,20200401,44,6,0,0,Norway,挪威
5125,277,0,0,5077,273,20200402,48,4,0,0,Norway,挪威
5356,231,0,0,5308,231,20200403,48,0,0,0,Norway,挪威
5551,195,0,0,5489,181,20200404,62,14,0,0,Norway,挪威
5686,135,0,0,5616,127,20200405,70,8,0,0,Norway,挪威
5762,76,0,0,5686,70,20200406,76,6,0,0,Norway,挪威
5903,141,0,0,5814,128,20200407,89,13,0,0,Norway,挪威
6013,110,0,0,5912,98,20200408,101,12,0,0,Norway,挪威
6157,144,0,0,6049,137,20200409,108,7,0,0,Norway,挪威
6267,110,0,0,6155,106,20200410,112,4,0,0,Norway,挪威
6408,141,0,0,6291,136,20200411,117,5,0,0,Norway,挪威
6485,77,0,0,6359,68,20200412,126,9,0,0,Norway,挪威
6547,62,0,0,6414,55,20200413,133,7,0,0,Norway,挪威
6623,76,0,0,6484,70,20200414,139,6,0,0,Norway,挪威
6740,117,0,0,6590,106,20200415,150,11,0,0,Norway,挪威
6848,108,0,0,6696,106,20200416,152,2,0,0,Norway,挪威
6937,89,0,0,6776,80,20200417,161,9,0,0,Norway,挪威
7036,99,0,0,6873,97,20200418,163,2,0,0,Norway,挪威
7078,42,0,0,6913,40,20200419,165,2,0,0,Norway,挪威
7127,49,0,0,6946,33,20200420,181,16,0,0,Norway,挪威
7191,64,0,0,7009,63,20200421,182,1,0,0,Norway,挪威
7275,84,0,0,7088,79,20200422,187,5,0,0,Norway,挪威
7361,86,0,0,7168,80,20200423,193,6,0,0,Norway,挪威
7444,83,0,0,7245,77,20200424,199,6,0,0,Norway,挪威
7493,49,0,0,7292,47,20200425,201,2,0,0,Norway,挪威
7511,18,0,0,7310,18,20200426,201,0,0,0,Norway,挪威
7554,43,0,0,7349,39,20200427,205,4,0,0,Norway,挪威
7619,65,0,0,7413,64,20200428,206,1,0,0,Norway,挪威
7680,61,0,0,7473,60,20200429,207,1,0,0,Norway,挪威
7738,58,0,0,7528,55,20200430,210,3,0,0,Norway,挪威
7770,32,0,0,7560,32,20200501,210,0,0,0,Norway,挪威
7801,31,0,0,7591,31,20200502,210,0,0,0,Norway,挪威
7832,31,0,0,7621,30,20200503,211,1,0,0,Norway,挪威
7832,0,0,0,7621,0,20200504,211,0,0,0,Norway,挪威
7847,15,0,0,7632,11,20200505,215,4,0,0,Norway,挪威
7976,129,0,0,7760,128,20200506,216,1,0,0,Norway,挪威
8015,39,0,0,7798,38,20200507,217,1,0,0,Norway,挪威
8015,0,0,0,7798,0,20200508,217,0,0,0,Norway,挪威
8084,69,0,0,7866,68,20200509,218,1,0,0,Norway,挪威
8102,18,0,0,7883,17,20200510,219,1,0,0,Norway,挪威
8122,20,0,0,7898,15,20200511,224,5,0,0,Norway,挪威
8152,30,0,0,7924,26,20200512,228,4,0,0,Norway,挪威
8152,0,0,0,7924,0,20200513,228,0,0,0,Norway,挪威
8187,35,0,0,7955,31,20200514,232,4,0,0,Norway,挪威
8206,19,0,0,7974,19,20200515,232,0,0,0,Norway,挪威
8226,20,7114,7114,880,-7094,20200516,232,0,0,0,Norway,挪威
8244,18,7114,0,898,18,20200517,232,0,0,0,Norway,挪威
8244,0,7114,0,898,0,20200518,232,0,0,0,Norway,挪威
8264,20,7114,0,917,19,20200519,233,1,0,0,Norway,挪威
8281,17,7114,0,933,16,20200520,234,1,0,0,Norway,挪威
8301,20,7999,885,68,-865,20200521,234,0,0,0,Norway,挪威
8301,0,7999,0,68,0,20200522,234,0,0,0,Norway,挪威
8309,8,7999,0,75,7,20200523,235,1,0,0,Norway,挪威
8349,40,7999,0,115,40,20200524,235,0,0,0,Norway,挪威
8360,11,7999,0,126,11,20200525,235,0,0,0,Norway,挪威
8374,14,7999,0,139,13,20200526,236,1,0,0,Norway,挪威
8391,17,7999,0,157,18,20200527,235,-1,0,0,Norway,挪威
8406,15,7999,0,171,14,20200528,236,1,0,0,Norway,挪威
8422,16,7999,0,187,16,20200529,236,0,0,0,Norway,挪威
8435,13,7999,0,200,13,20200530,236,0,0,0,Norway,挪威
8440,5,7999,0,205,5,20200531,236,0,0,0,Norway,挪威
8440,0,7999,0,205,0,20200601,236,0,0,0,Norway,挪威
