confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200225,0,0,0,0,Oman,阿曼
4,2,0,0,4,2,20200226,0,0,0,0,Oman,阿曼
4,0,0,0,4,0,20200227,0,0,0,0,Oman,阿曼
6,2,0,0,6,2,20200228,0,0,0,0,Oman,阿曼
6,0,0,0,6,0,20200229,0,0,0,0,Oman,阿曼
6,0,0,0,6,0,20200301,0,0,0,0,Oman,阿曼
6,0,0,0,6,0,20200302,0,0,0,0,Oman,阿曼
6,0,0,0,6,0,20200303,0,0,0,0,Oman,阿曼
12,6,0,0,12,6,20200304,0,0,0,0,Oman,阿曼
15,3,0,0,15,3,20200305,0,0,0,0,Oman,阿曼
16,1,0,0,16,1,20200306,0,0,0,0,Oman,阿曼
16,0,0,0,16,0,20200307,0,0,0,0,Oman,阿曼
16,0,0,0,16,0,20200308,0,0,0,0,Oman,阿曼
16,0,0,0,16,0,20200309,0,0,0,0,Oman,阿曼
18,2,0,0,18,2,20200310,0,0,0,0,Oman,阿曼
18,0,0,0,18,0,20200311,0,0,0,0,Oman,阿曼
18,0,0,0,18,0,20200312,0,0,0,0,Oman,阿曼
18,0,0,0,18,0,20200313,0,0,0,0,Oman,阿曼
19,1,0,0,19,1,20200314,0,0,0,0,Oman,阿曼
20,1,9,9,11,-8,20200315,0,0,0,0,Oman,阿曼
22,2,9,0,13,2,20200316,0,0,0,0,Oman,阿曼
24,2,12,3,12,-1,20200317,0,0,0,0,Oman,阿曼
24,0,12,0,12,0,20200318,0,0,0,0,Oman,阿曼
39,15,12,0,27,15,20200319,0,0,0,0,Oman,阿曼
48,9,13,1,35,8,20200320,0,0,0,0,Oman,阿曼
52,4,13,0,39,4,20200321,0,0,0,0,Oman,阿曼
55,3,17,4,38,-1,20200322,0,0,0,0,Oman,阿曼
66,11,17,0,49,11,20200323,0,0,0,0,Oman,阿曼
84,18,17,0,67,18,20200324,0,0,0,0,Oman,阿曼
99,15,17,0,82,15,20200325,0,0,0,0,Oman,阿曼
109,10,23,6,86,4,20200326,0,0,0,0,Oman,阿曼
131,22,23,0,108,22,20200327,0,0,0,0,Oman,阿曼
152,21,23,0,129,21,20200328,0,0,0,0,Oman,阿曼
167,15,29,6,138,9,20200329,0,0,0,0,Oman,阿曼
179,12,29,0,150,12,20200330,0,0,0,0,Oman,阿曼
179,0,29,0,150,0,20200331,0,0,0,0,Oman,阿曼
210,31,34,5,175,25,20200401,1,1,0,0,Oman,阿曼
231,21,57,23,173,-2,20200402,1,0,0,0,Oman,阿曼
252,21,57,0,193,20,20200403,2,1,0,0,Oman,阿曼
277,25,61,4,214,21,20200404,2,0,0,0,Oman,阿曼
298,21,61,0,235,21,20200405,2,0,0,0,Oman,阿曼
331,33,61,0,268,33,20200406,2,0,0,0,Oman,阿曼
371,40,67,6,302,34,20200407,2,0,0,0,Oman,阿曼
419,48,72,5,345,43,20200408,2,0,0,0,Oman,阿曼
457,38,109,37,345,0,20200409,3,1,0,0,Oman,阿曼
484,27,109,0,372,27,20200410,3,0,0,0,Oman,阿曼
546,62,109,0,434,62,20200411,3,0,0,0,Oman,阿曼
599,53,109,0,486,52,20200412,4,1,0,0,Oman,阿曼
727,128,124,15,599,113,20200413,4,0,0,0,Oman,阿曼
813,86,130,6,679,80,20200414,4,0,0,0,Oman,阿曼
910,97,131,1,775,96,20200415,4,0,0,0,Oman,阿曼
1019,109,176,45,839,64,20200416,4,0,0,0,Oman,阿曼
1069,50,176,0,887,48,20200417,6,2,0,0,Oman,阿曼
1180,111,176,0,998,111,20200418,6,0,0,0,Oman,阿曼
1266,86,233,57,1026,28,20200419,7,1,0,0,Oman,阿曼
1410,144,238,5,1165,139,20200420,7,0,0,0,Oman,阿曼
1508,98,238,0,1262,97,20200421,8,1,0,0,Oman,阿曼
1614,106,238,0,1368,106,20200422,8,0,0,0,Oman,阿曼
1716,102,307,69,1401,33,20200423,8,0,0,0,Oman,阿曼
1790,74,325,18,1456,55,20200424,9,1,0,0,Oman,阿曼
1905,115,329,4,1566,110,20200425,10,1,0,0,Oman,阿曼
1998,93,333,4,1655,89,20200426,10,0,0,0,Oman,阿曼
2049,51,364,31,1675,20,20200427,10,0,0,0,Oman,阿曼
2131,82,364,0,1757,82,20200428,10,0,0,0,Oman,阿曼
2274,143,364,0,1900,143,20200429,10,0,0,0,Oman,阿曼
2348,74,495,131,1842,-58,20200430,11,1,0,0,Oman,阿曼
2447,99,495,0,1941,99,20200501,11,0,0,0,Oman,阿曼
2483,36,750,255,1721,-220,20200502,12,1,0,0,Oman,阿曼
2568,85,750,0,1806,85,20200503,12,0,0,0,Oman,阿曼
2637,69,816,66,1809,3,20200504,12,0,0,0,Oman,阿曼
2735,98,858,42,1865,56,20200505,12,0,0,0,Oman,阿曼
2903,168,888,30,2002,137,20200506,13,1,0,0,Oman,阿曼
2958,55,980,92,1965,-37,20200507,13,0,0,0,Oman,阿曼
3112,154,1025,45,2072,107,20200508,15,2,0,0,Oman,阿曼
3224,112,1068,43,2139,67,20200509,17,2,0,0,Oman,阿曼
3400,176,1117,49,2266,127,20200510,17,0,0,0,Oman,阿曼
3574,174,1211,94,2346,80,20200511,17,0,0,0,Oman,阿曼
3721,147,1250,39,2454,108,20200512,17,0,0,0,Oman,阿曼
4019,298,1289,39,2713,259,20200513,17,0,0,0,Oman,阿曼
4341,322,1303,14,3021,308,20200514,17,0,0,0,Oman,阿曼
4625,284,1350,47,3255,234,20200515,20,3,0,0,Oman,阿曼
5029,404,1436,86,3572,317,20200516,21,1,0,0,Oman,阿曼
5186,157,1465,29,3699,127,20200517,22,1,0,0,Oman,阿曼
5379,193,1496,31,3860,161,20200518,23,1,0,0,Oman,阿曼
5671,292,1574,78,4070,210,20200519,27,4,0,0,Oman,阿曼
6043,372,1661,87,4353,283,20200520,29,2,0,0,Oman,阿曼
6370,327,1821,160,4519,166,20200521,30,1,0,0,Oman,阿曼
6794,424,1821,0,4941,422,20200522,32,2,0,0,Oman,阿曼
7257,463,1848,27,5375,434,20200523,34,2,0,0,Oman,阿曼
7770,513,1933,85,5801,426,20200524,36,2,0,0,Oman,阿曼
7770,0,1933,0,5800,-1,20200525,37,1,0,0,Oman,阿曼
8118,348,2067,134,6014,214,20200526,37,0,0,0,Oman,阿曼
8373,255,2177,110,6158,144,20200527,38,1,0,0,Oman,阿曼
9009,636,2177,0,6792,634,20200528,40,2,0,0,Oman,阿曼
9820,811,2396,219,7384,592,20200529,40,0,0,0,Oman,阿曼
10423,603,2396,0,7985,601,20200530,42,2,0,0,Oman,阿曼
11437,1014,2396,0,8994,1009,20200531,47,5,0,0,Oman,阿曼
12223,786,2682,286,9491,497,20200601,50,3,0,0,Oman,阿曼
12799,576,2812,130,9928,437,20200602,59,9,0,0,Oman,阿曼
13538,739,2845,33,10626,698,20200603,67,8,0,0,Oman,阿曼
14316,778,3451,606,10798,172,20200604,67,0,0,0,Oman,阿曼
15086,770,3451,0,11563,765,20200605,72,5,0,0,Oman,阿曼
16016,930,3451,0,12493,930,20200606,72,0,0,0,Oman,阿曼
16882,866,3451,0,13356,863,20200607,75,3,0,0,Oman,阿曼
17486,604,3793,342,13612,256,20200608,81,6,0,0,Oman,阿曼
18198,712,4152,359,13963,351,20200609,83,2,0,0,Oman,阿曼
18887,689,4329,177,14474,511,20200610,84,1,0,0,Oman,阿曼
19954,1067,6623,2294,13242,-1232,20200611,89,5,0,0,Oman,阿曼
21071,1117,7489,866,13486,244,20200612,96,7,0,0,Oman,阿曼
22077,1006,7530,41,14448,962,20200613,99,3,0,0,Oman,阿曼
