confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200227,0,0,0,0,Pakistan,巴基斯坦
2,0,0,0,2,0,20200228,0,0,0,0,Pakistan,巴基斯坦
2,0,0,0,2,0,20200229,0,0,0,0,Pakistan,巴基斯坦
4,2,0,0,4,2,20200301,0,0,0,0,Pakistan,巴基斯坦
4,0,0,0,4,0,20200302,0,0,0,0,Pakistan,巴基斯坦
5,1,0,0,5,1,20200303,0,0,0,0,Pakistan,巴基斯坦
5,0,0,0,5,0,20200304,0,0,0,0,Pakistan,巴基斯坦
5,0,0,0,5,0,20200305,0,0,0,0,Pakistan,巴基斯坦
5,0,0,0,5,0,20200306,0,0,0,0,Pakistan,巴基斯坦
5,0,0,0,5,0,20200307,0,0,0,0,Pakistan,巴基斯坦
5,0,0,0,5,0,20200308,0,0,0,0,Pakistan,巴基斯坦
6,1,0,0,6,1,20200309,0,0,0,0,Pakistan,巴基斯坦
16,10,0,0,16,10,20200310,0,0,0,0,Pakistan,巴基斯坦
16,0,0,0,16,0,20200311,0,0,0,0,Pakistan,巴基斯坦
19,3,0,0,19,3,20200312,0,0,0,0,Pakistan,巴基斯坦
20,1,0,0,20,1,20200313,0,0,0,0,Pakistan,巴基斯坦
21,1,0,0,21,1,20200314,0,0,0,0,Pakistan,巴基斯坦
28,7,1,1,27,6,20200315,0,0,0,0,Pakistan,巴基斯坦
52,24,1,0,51,24,20200316,0,0,0,0,Pakistan,巴基斯坦
187,135,1,0,186,135,20200317,0,0,0,0,Pakistan,巴基斯坦
187,0,1,0,186,0,20200318,0,0,0,0,Pakistan,巴基斯坦
448,261,2,1,444,258,20200319,2,2,0,0,Pakistan,巴基斯坦
495,47,2,0,490,46,20200320,3,1,0,0,Pakistan,巴基斯坦
730,235,2,0,725,235,20200321,3,0,0,0,Pakistan,巴基斯坦
761,31,2,0,755,30,20200322,4,1,0,0,Pakistan,巴基斯坦
875,114,6,4,863,108,20200323,6,2,0,0,Pakistan,巴基斯坦
972,97,6,0,959,96,20200324,7,1,0,0,Pakistan,巴基斯坦
1016,44,6,0,1003,44,20200325,7,0,0,0,Pakistan,巴基斯坦
1179,163,21,15,1149,146,20200326,9,2,0,0,Pakistan,巴基斯坦
1296,117,23,2,1264,115,20200327,9,0,0,0,Pakistan,巴基斯坦
1495,199,25,2,1458,194,20200328,12,3,0,0,Pakistan,巴基斯坦
1566,71,25,0,1526,68,20200329,15,3,0,0,Pakistan,巴基斯坦
1625,59,28,3,1579,53,20200330,18,3,0,0,Pakistan,巴基斯坦
1940,315,58,30,1856,277,20200331,26,8,0,0,Pakistan,巴基斯坦
2238,298,85,27,2122,266,20200401,31,5,0,0,Pakistan,巴基斯坦
2419,181,107,22,2278,156,20200402,34,3,0,0,Pakistan,巴基斯坦
2458,39,107,0,2316,38,20200403,35,1,0,0,Pakistan,巴基斯坦
2714,256,130,23,2544,228,20200404,40,5,0,0,Pakistan,巴基斯坦
3156,442,130,0,2979,435,20200405,47,7,0,0,Pakistan,巴基斯坦
3658,502,257,127,3349,370,20200406,52,5,0,0,Pakistan,巴基斯坦
4004,346,429,172,3520,171,20200407,55,3,0,0,Pakistan,巴基斯坦
4072,68,467,38,3547,27,20200408,58,3,0,0,Pakistan,巴基斯坦
4489,417,572,105,3854,307,20200409,63,5,0,0,Pakistan,巴基斯坦
4695,206,727,155,3902,48,20200410,66,3,0,0,Pakistan,巴基斯坦
5011,316,762,35,4172,270,20200411,77,11,0,0,Pakistan,巴基斯坦
5230,219,762,0,4377,205,20200412,91,14,0,0,Pakistan,巴基斯坦
5374,144,762,0,4519,142,20200413,93,2,0,0,Pakistan,巴基斯坦
5837,463,762,0,4979,460,20200414,96,3,0,0,Pakistan,巴基斯坦
6383,546,1446,684,4826,-153,20200415,111,15,0,0,Pakistan,巴基斯坦
6919,536,1446,0,5345,519,20200416,128,17,0,0,Pakistan,巴基斯坦
7392,473,1765,319,5490,145,20200417,137,9,0,0,Pakistan,巴基斯坦
7773,381,1832,67,5793,303,20200418,148,11,0,0,Pakistan,巴基斯坦
8348,575,1868,36,6312,519,20200419,168,20,0,0,Pakistan,巴基斯坦
9193,845,1970,102,7031,719,20200420,192,24,0,0,Pakistan,巴基斯坦
9595,402,2066,96,7328,297,20200421,201,9,0,0,Pakistan,巴基斯坦
9749,154,2066,0,7474,146,20200422,209,8,0,0,Pakistan,巴基斯坦
10513,764,2337,271,7952,478,20200423,224,15,0,0,Pakistan,巴基斯坦
