confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200310,0,0,0,0,Panama,巴拿马
8,7,0,0,7,6,20200311,1,1,0,0,Panama,巴拿马
10,2,0,0,9,2,20200312,1,0,0,0,Panama,巴拿马
14,4,0,0,13,4,20200313,1,0,0,0,Panama,巴拿马
27,13,0,0,26,13,20200314,1,0,0,0,Panama,巴拿马
27,0,0,0,26,0,20200315,1,0,0,0,Panama,巴拿马
43,16,0,0,42,16,20200316,1,0,0,0,Panama,巴拿马
69,26,0,0,68,26,20200317,1,0,0,0,Panama,巴拿马
69,0,0,0,68,0,20200318,1,0,0,0,Panama,巴拿马
135,66,0,0,134,66,20200319,1,0,0,0,Panama,巴拿马
200,65,0,0,199,65,20200320,1,0,0,0,Panama,巴拿马
245,45,0,0,244,45,20200321,1,0,0,0,Panama,巴拿马
245,0,0,0,242,-2,20200322,3,2,0,0,Panama,巴拿马
313,68,0,0,310,68,20200323,3,0,0,0,Panama,巴拿马
345,32,0,0,339,29,20200324,6,3,0,0,Panama,巴拿马
558,213,0,0,552,213,20200325,6,0,0,0,Panama,巴拿马
674,116,0,0,666,114,20200326,8,2,0,0,Panama,巴拿马
674,0,0,0,666,0,20200327,8,0,0,0,Panama,巴拿马
786,112,0,0,772,106,20200328,14,6,0,0,Panama,巴拿马
901,115,0,0,884,112,20200329,17,3,0,0,Panama,巴拿马
989,88,4,4,961,77,20200330,24,7,0,0,Panama,巴拿马
989,0,4,0,961,0,20200331,24,0,0,0,Panama,巴拿马
989,0,4,0,961,0,20200401,24,0,0,0,Panama,巴拿马
1181,192,4,0,1147,186,20200402,30,6,0,0,Panama,巴拿马
1317,136,4,0,1281,134,20200403,32,2,0,0,Panama,巴拿马
1801,484,4,0,1751,470,20200404,46,14,0,0,Panama,巴拿马
1801,0,4,0,1751,0,20200405,46,0,0,0,Panama,巴拿马
1801,0,4,0,1751,0,20200406,46,0,0,0,Panama,巴拿马
2100,299,4,0,2041,290,20200407,55,9,0,0,Panama,巴拿马
2100,0,4,0,2041,0,20200408,55,0,0,0,Panama,巴拿马
2249,149,4,0,2186,145,20200409,59,4,0,0,Panama,巴拿马
2528,279,4,0,2461,275,20200410,63,4,0,0,Panama,巴拿马
2752,224,4,0,2682,221,20200411,66,3,0,0,Panama,巴拿马
2974,222,4,0,2896,214,20200412,74,8,0,0,Panama,巴拿马
3234,260,4,0,3151,255,20200413,79,5,0,0,Panama,巴拿马
3400,166,4,0,3309,158,20200414,87,8,0,0,Panama,巴拿马
3472,72,4,0,3374,65,20200415,94,7,0,0,Panama,巴拿马
3574,102,4,0,3475,101,20200416,95,1,0,0,Panama,巴拿马
3751,177,4,0,3644,169,20200417,103,8,0,0,Panama,巴拿马
4016,265,4,0,3903,259,20200418,109,6,0,0,Panama,巴拿马
4210,194,4,0,4091,188,20200419,115,6,0,0,Panama,巴拿马
4273,63,4,0,4149,58,20200420,120,5,0,0,Panama,巴拿马
4467,194,4,0,4337,188,20200421,126,6,0,0,Panama,巴拿马
4658,191,4,0,4518,181,20200422,136,10,0,0,Panama,巴拿马
4821,163,4,0,4676,158,20200423,141,5,0,0,Panama,巴拿马
4992,171,4,0,4844,168,20200424,144,3,0,0,Panama,巴拿马
5166,174,4,0,5016,172,20200425,146,2,0,0,Panama,巴拿马
5338,172,4,0,5180,164,20200426,154,8,0,0,Panama,巴拿马
5538,200,4,0,5375,195,20200427,159,5,0,0,Panama,巴拿马
6021,483,455,451,5399,24,20200428,167,8,0,0,Panama,巴拿马
6021,0,455,0,5399,0,20200429,167,0,0,0,Panama,巴拿马
6200,179,455,0,5569,170,20200430,176,9,0,0,Panama,巴拿马
6378,178,455,0,5745,176,20200501,178,2,0,0,Panama,巴拿马
6532,154,455,0,5889,144,20200502,188,10,0,0,Panama,巴拿马
6720,188,455,0,6073,184,20200503,192,4,0,0,Panama,巴拿马
6720,0,455,0,6073,0,20200504,192,0,0,0,Panama,巴拿马
7197,477,455,0,6542,469,20200505,200,8,0,0,Panama,巴拿马
7387,190,455,0,6729,187,20200506,203,3,0,0,Panama,巴拿马
7523,136,455,0,6858,129,20200507,210,7,0,0,Panama,巴拿马
7731,208,455,0,7058,200,20200508,218,8,0,0,Panama,巴拿马
7868,137,455,0,7188,130,20200509,225,7,0,0,Panama,巴拿马
8070,202,455,0,7384,196,20200510,231,6,0,0,Panama,巴拿马
8282,212,455,0,7590,206,20200511,237,6,0,0,Panama,巴拿马
8448,166,455,0,7749,159,20200512,244,7,0,0,Panama,巴拿马
8616,168,455,0,7912,163,20200513,249,5,0,0,Panama,巴拿马
8616,0,455,0,7912,0,20200514,249,0,0,0,Panama,巴拿马
9628,1012,455,0,8907,995,20200515,266,17,0,0,Panama,巴拿马
9628,0,455,0,8907,0,20200516,266,0,0,0,Panama,巴拿马
9628,0,455,0,8907,0,20200517,266,0,0,0,Panama,巴拿马
9628,0,455,0,8904,-3,20200518,269,3,0,0,Panama,巴拿马
9628,0,455,0,8898,-6,20200519,275,6,0,0,Panama,巴拿马
9726,98,455,0,8992,94,20200520,279,4,0,0,Panama,巴拿马
9867,141,455,0,9131,139,20200521,281,2,0,0,Panama,巴拿马
9977,110,455,0,9235,104,20200522,287,6,0,0,Panama,巴拿马
10116,139,455,0,9370,135,20200523,291,4,0,0,Panama,巴拿马
10267,151,455,0,9517,147,20200524,295,4,0,0,Panama,巴拿马
10577,310,455,0,9823,306,20200525,299,4,0,0,Panama,巴拿马
10926,349,455,0,10165,342,20200526,306,7,0,0,Panama,巴拿马
11183,257,455,0,10418,253,20200527,310,4,0,0,Panama,巴拿马
11447,264,455,0,10679,261,20200528,313,3,0,0,Panama,巴拿马
11728,281,455,0,10958,279,20200529,315,2,0,0,Panama,巴拿马
12131,403,455,0,11356,398,20200530,320,5,0,0,Panama,巴拿马
12531,400,455,0,11750,394,20200531,326,6,0,0,Panama,巴拿马
