confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200309,0,0,0,0,Paraguay,巴拉圭
1,0,0,0,1,0,20200310,0,0,0,0,Paraguay,巴拉圭
5,4,0,0,5,4,20200311,0,0,0,0,Paraguay,巴拉圭
5,0,0,0,5,0,20200312,0,0,0,0,Paraguay,巴拉圭
5,0,0,0,5,0,20200313,0,0,0,0,Paraguay,巴拉圭
6,1,0,0,6,1,20200314,0,0,0,0,Paraguay,巴拉圭
6,0,0,0,6,0,20200315,0,0,0,0,Paraguay,巴拉圭
8,2,0,0,8,2,20200316,0,0,0,0,Paraguay,巴拉圭
9,1,0,0,9,1,20200317,0,0,0,0,Paraguay,巴拉圭
9,0,0,0,9,0,20200318,0,0,0,0,Paraguay,巴拉圭
9,0,0,0,9,0,20200319,0,0,0,0,Paraguay,巴拉圭
18,9,0,0,18,9,20200320,0,0,0,0,Paraguay,巴拉圭
18,0,0,0,18,0,20200321,0,0,0,0,Paraguay,巴拉圭
22,4,0,0,21,3,20200322,1,1,0,0,Paraguay,巴拉圭
22,0,0,0,21,0,20200323,1,0,0,0,Paraguay,巴拉圭
22,0,0,0,21,0,20200324,1,0,0,0,Paraguay,巴拉圭
37,15,0,0,34,13,20200325,3,2,0,0,Paraguay,巴拉圭
41,4,0,0,38,4,20200326,3,0,0,0,Paraguay,巴拉圭
41,0,0,0,38,0,20200327,3,0,0,0,Paraguay,巴拉圭
52,11,0,0,49,11,20200328,3,0,0,0,Paraguay,巴拉圭
56,4,0,0,53,4,20200329,3,0,0,0,Paraguay,巴拉圭
64,8,0,0,61,8,20200330,3,0,0,0,Paraguay,巴拉圭
64,0,0,0,61,0,20200331,3,0,0,0,Paraguay,巴拉圭
65,1,1,1,61,0,20200401,3,0,0,0,Paraguay,巴拉圭
69,4,1,0,65,4,20200402,3,0,0,0,Paraguay,巴拉圭
92,23,1,0,88,23,20200403,3,0,0,0,Paraguay,巴拉圭
96,4,1,0,92,4,20200404,3,0,0,0,Paraguay,巴拉圭
96,0,1,0,92,0,20200405,3,0,0,0,Paraguay,巴拉圭
104,8,1,0,100,8,20200406,3,0,0,0,Paraguay,巴拉圭
